,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.163344380999944,0.0728054475625009,0.0463413467451641,-0.00300915497881321,0,0.354601562839886,0,0,0,0.0765083686714131,0,0,0.0258869481610386,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0747463832484085,0.0740276947154321,0,0,0,0,0,0,0,0,0,0,0.10422266036123,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0653892603098977,0.0576381799497756,0,0,0.0864557564286379,0,0,0,0.048839398606003,0,0,0.054551444238522,0,0.0935556647383475,0,0.222932230967533,0,0.0872114228508317,0,0,0,0,0,0,0.0215927665100422,0,0.167915557421687,0,0,0,0,0,0,0.129635150981643,0,0,0,0,0.0384139770883997,0,0,0,0,0,0.0368036270618045,0
X601939.CH.EQUITY,0,0,0,0.195497692696147,0,0,-0.101580946740203,0,0,0,-0.021171775536769,0.143045034651807,0,0,0,0,0,0,0.150923759836641,0,0.0326876449680808,-0.0951940653988451,0,0.0162280056756442,0.125814093314404,0.56616951151668,0,0,0.0354574477380065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.00963116051487741,0,0.126265695063719,0,0,0.048379236301858,0,0.480468002042508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859705705795714,0,0,0,0,0.119154134424569,0,0,0,0,0,0,0,-0.0208071553685876,0,0,0,0,0,0,0,0,0,0,0,0.12094592051113,0,0
X600036.CH.EQUITY,0,0.0268644244939475,0,0,0,0,0.235469004058466,0.0231256334346842,0,0,0,0,0.255512519109619,0,0.172792364297983,0,0,0,0,0,0,0,0,0,0,0.170576775375748,0.254570237424489,0,0,0.0323730828673581,0,0,0,0,0,0,0,0,0.0889737148585511,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.174762900247564,0,0,0,0.0616555704601797,0,0,0.166993457079899,0,0,0,0,-0.132419527956844,0,0,0,0,0,0,0.0798735797624668,0.607788427359045,-0.0495244140810793,0,0,0,0,0,0,0.0935283151141008,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.0745485949535408,0,0.0643666949833263,0,0,0,0,0,0.164795572871341,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.17987351996174,0,0.171211268612782,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.105922933173379,0,0.073495137057505,0,0.078485496803511,0.132096242228248,0,0.0883905551891533,0,0,0,0
X601988.CH.EQUITY,0,0,8.67361737988404e-19,0.650789942920494,0.23498393333159,0,0,0,0,0,0.0681178322033608,0,0.0948011620532695,0,0,0,0.0806319526398195,0,0,0,0,-0.0218979648365078,0.0136721735495576,0,0,0,0,0,0,0,0.0313756075190086,0,0,0,-0.026585279889899,0,0.0146515857389628,0,0,0,0.0876952530839458,0,0,0,0,0,0,-0.0177766953441446,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0092893534382365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134094066886913,0,0,0.174255164586672,0.0841755631689184,0,0,0,0,0.0155416423156005,0,0,0,0,0,0,0,0,0,0.339356424275979,0,0,0,0,0.163015555989084,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0487191950789894,0,0.0711216452459801,0,-0.00760666438390395,0,0,0,0,0.0616945955177878,0.140161991963103,0,0.0786431353074279,0,0,0,0,0,0,0,0,0,0,0,0.156763421167005,0.386588475036529,0,0,0,0,0,0,0.0323053350432363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
