,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.563656778266395,0.0480808926804906,0.0303045365891749,0,0.0664831123858251,0,0,0,0,0,0,0.0467463570939271,0,0,0,0.0178706450844045,0.0620527206795402,0,0,0,0,0,0.0686128598638161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.096484513916347,0,0,0,0,0,0,0,0,0,0,0.186039590614479,0.0406421094968501,0,0,0,0,0,0,0.0496986524428929,0.0902766118258607,0,0,0,0,0,0,0,0,0,0.168987809413582,0,0,0.328730507849055,0,0,0,0.0159587566323769,0,0.0274477227778214,0,0,0
X601939.CH.EQUITY,0.468131736422302,0,0,0.183435101309087,0,0.11125100128598,0,0,0,0.0171015231641,0.13431860846277,0,0,0,0,0,0,0,0,0,0,0.000819738372617298,0,0,0,0,0.00120698399400695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445489272590933,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.436901983273793,0,0,0,0,0,0,0,0,0.176277684622428,0,0,0,0,0,0,0,0.127647722601815,0,0,0,0,0,0,0.0559496501419792,0.0424612511956028,0,0,0.0866107642686521,0.117978049144422,0,0,0,0,0,0,0,0,-0.0459747561569894,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.450820751278851,0,0.294514321691206,0,0,0,-0.280100952550569,0,0,0,0,0.566429908785335,-0.160409971495568,-0.176108295587455,0,0,0.106791618241445,0,0,0,0.310902271261807,0,0,0,0.125064669248266,0,-0.145649212353128,0,0,0,0,0.376099810113226,0,0,0,0,0,0,0,0,-0.496315439836344,-0.182958414136028,0,0
X601988.CH.EQUITY,0.0489501773181056,0,0.177284570872213,0,0.058570373515923,0,0,0,0.165350987929064,-6.93889390390723e-18,0,0,0.110542926379308,0.0638678817596891,0,0,0,0.110814398772255,0,0,0,0,0,0.398475601235758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0
X600036.CH.EQUITY,0,0.0990691965182931,0,0,0,0,0,0,0,1.38777878078145e-17,0.100223123297185,0,0.289715407506059,0,0,0,-0.0542904157526151,0.00585000516615101,0.0957637927456106,0,0,0,0,0,0.347998965399228,0,0,0,0,0.0363947875852775,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034120336015932
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0115007894223282,0,0,0,0,0,0,0.107958335451053,0,-0.0644647387050037,0,0,0.249584242858223,0,0,0,0.0922982602989748,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.339364648416239,0,0
X601628.CH.EQUITY,0,0.0134789927787734,0,0.00352224833913929,0,0,0,0,0,0,0,0.0292011079392878,0.194496011342742,0,0,0.0228320053616472,0.0161930931511873,0,0,-0.0455115431022258,0,0,0,0,0,0,0.243953802518114,0,0,0,0,0,0,0.255142992954276,0,0,0,0,0,0,0,0.129754834838527,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.141861705387363,0,0,0,0,0.00961914066570949,0.000937964024214645,0,0,0,0,0.112398535215774,0,0,0,0,0,0,0.0326012119153554,0.101812490208849,0.0188497376577842,0,0.0219089033128847,0,0,0.0784599097373521,0,0,0,0,0.112542157465835,0,0,0,0,0,-0.0217971580924881,0,0.164901854635077,0.224817055299376,0,0,0,0,0,0,0,0
