,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392678166174161,0,0.0116962194808425,0,0,0,0.227323616266662,0,0,0,0.482182858507511,0,0,0,0,0,0,0,0,0,0,0,0,0.171246367063919,-0.30192267541244,0.468522659036262,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.145591709126981,0,0,0,0,0,0,0,0.100523574639699,0,0.0632776758848105,0.0552506093879645,0,0,0,0,0,0.107694469989027,0,0.00454274878459053,0,0,0,0,0,0,0,0.164724833652024,0,0,0,0.275899576096084,0,0,0,0,0.00915146087858156,0,0,0,0
X601939.CH.EQUITY,0.509081094696574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571501011353524,0,0,0,0.0895764945419909,0,0.262171021563239,0,0,0,-0.0308415488119519,-0.42480558219799,0,0,0,0,0,1.38777878078145e-17,0,-0.10214862665725,-0.175829917881772,0,0,0,0,0.667727327158725,0,0,0,-0.0729026261528874,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0934146452942824,0,0,0,0.135209645666472,0,0.253844817986247,0,0.0168169821306432,0.363396631861838,0,-0.0992816241037889,0,0,0,0,-0.0908231599142717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.118716033725084,0.398575353204951,0,0,0,0.0106478696568034,0,0,0.135073530686041,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165963204790145,0,0,0,0,0,0,0,0,0.102214597988451,0,0,0.252763738265904,0,0,0,0,0.0768568291995651,-0.120594760177243,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.188959086163062,0,0.084549634017351,0,0,0,0.148637595379877,0,0,0.160966161243555,0,0,0,0.0594890169232324,0,-0.0462309543889751,-0.0333948519402196,0,0,0,0.0339463597754509,0,0,0,0,0,-0.234571840179071,0,0.181532348677192,0,0,0,0,0,0,0,0,0,0,0,-0.000679448424873726,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.232609414191616,0,0,0,0,0,0,0,0,0,0,0,0,0.0715803134719956,0.0689873389250347,0,0,0,0,0,0,0.134917363667924,0,0.133562641060877,0,0.0969818295517476,0,0,0,0,0,0,0.252783138728156,0,0,0,0,0,0,-0.0480884843712544,0,0,0,0,0
X600036.CH.EQUITY,0,0.215705396896896,-0.0347176439264308,0,0,0,-0.0624188835118125,0,0,0.340699098212071,0,0,0,0,0.0797114869903486,0.10182112229366,0,0,0,0,0.290070922859919,0,0,0,0,0,0,-0.0337306784490385,0.170529362808713,0,0,0,0,-0.186553887629184,0,0,0,-0.139961731694872,0,-0.0429560454031125,0,0,0,0.328649780867355,0,0,0,0,0
X601628.CH.EQUITY,0,0.200275769962277,0.0154418873520339,0.0937467881931842,0,0,0,0,0,0,0,0,0,0,0,0,0.237259199219637,0,0,0,0,0,0.0999768489297485,0,0,0,0,0,0,0,0,0,0,0,0.182201390901717,0,0,0,0,0,0,0,0.0278793623681738,0.0903750103869421,0.057181136368646,0,0,0,0
X601328.CH.EQUITY,0,0,0.0272818677386518,0,0,0,0,0.756047691685462,0,0,0,0,0.000794543018930353,0.0456937973925852,0,0,0,0,0,0,0.113939566410445,0,0,0.00269114452903073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018342573277974,0,-0.220079141865295,0,0,0
