,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0.368630267673609,0,0.29748773592371,0.00314917174798505,0,0.17280073230229,0,0.128379228827662,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.107704916918076,0,0,0,0,0,0,0,0,0,0,0,0.10449997693654,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0212715149483686,0
X601939.CH.EQUITY,0.369703621240731,0,0,0,0,0,0,0,0,0,0,0.0757543435609102,0.307435609411003,0,0,0,0,0.102148764008392,0.0709149823446167,0,0,0,0,0,0,0,-0.106725462388058,-0.0122629229812572,0,0,0,0,0,0,0,0,0.0130902204877753,0,0,0,0,0,0,0,0,0,0.0298767815033825,0,0,0.0326352280052248
X601318.CH.EQUITY,0,0,0,0,0,0,0.0589403624058073,0,0,0,0,0.279113464753969,0,0,0,0,0,0,0,0,0,0,0,0,0.0398139369779153,0,0,0,0,0,0,0,0,0.0946199948898837,0,0,0,0,0,0.421717441267614,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.421457593758943,0.0478697678501639,0,0,0.332299517091232,0,0,0,0,0,0.107127005868408,0.0107648188587627,0,0,0,0,0.0353232612345901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.264726049728226,0,0,0,0,0,0,0,0,0,0.019850572558509,0,0,0,0,0.165428886673932,0.170948757688538,0,0,0,0,0,0,0,0,0,0,0.0669094478454685,0,0,0.0240236740487514,0,0,0,0,0,0,0,0,0,0.180924448168673,0,0,0.0979063525215015,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994522901461771,0,0,0,0,0,0.131741285305327,0,-0.147480091954409,0.616375113549292,0.119032948438629,0,0,0,0,0,0,0,0,0,0.0650575701836323,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.482798114503168
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.232647368101658,0,4.33680868994202e-19,0,0.566673657539143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150829441743813,0.130382305882011,0,0,0,0,0,0,0,0.0121253300640351,0.0564903557709079,0,0.00353973274351554,0,0,0.0302388965513232,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0.0280252015657314,0,0,0,0,0.0399420637800835,0.0707546125583816,0,0.0709560274386272,0,0,0,0,0,0,0,0.347537663328644,0,0,0,0.222842970357718,0,0.193647969723091,0,0,0,0,0.0912154498981375,0,0,0.140258441002955,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0966739294446782,0.0303326698966609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459895192438864,0,0.0342560164376749,0,0,0,0,0,0,0.152413507116324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026058443741217,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10812432461966,0,0,0,0,0,0,0,0,0,0,0,0,0.311022640190233,0,0,0.244561525387239,0,0,0,0,-0.0191647945053914,-0.361304176696819,0.454506510768755,0,-0.118240180788025,0,0,0,-0.177642265797714,0.534614956923932,0,0,0
