,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.134272200014195,0,0.11100088130608,0,0.0703059733301996,0,0,0.335504205799846,0.0501883475372156,0,0,0,0,0,0,0,0,0,0.123140479397534,0,-0.0723849011669198,0,0,0,0,0,0,0,0,0.196603662823652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.399352762900413,0,0,0,0.136750684553643,0,-0.123963672173456,0,0,0.0484361834174696,0,0,0.393623362238846,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509940972071605,-0.00326798325743323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218683720263112,0,0,0,0,0,0,0,0.0817125959880802
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235072127083548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200776981335754,0,0,0,0,0,0.153601411919959,0,0,0.0799683024346344,0,0,0.175380426918362,0.18552591483332,0,0,0
X601288.CH.EQUITY,0.343500571890267,0.0716224348202745,0,0,0.380775057937326,0,0,-0.0185770494016941,0,0,0.0803793880626343,0,0,0,0,0.10711913516746,0,0,0,0,0,0,0.000126556188534313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00247288126968797,0,0.365307692295656,0,0,0,0.0283495189545023,0,0,0.23211773794736,0.0799880916386978,0,0.112023907169581,0,0,0,0,0,0.169750472793991,0,0,0,0,0,0,0.0338553906027554,-0.0384273110333677,0,0,0,0,0.0290853227369185,-1.38777878078145e-17,0,-0.0315942711334388,0,0,0,0,0.0434225782314971,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0395474082878935,0,0,0,0.0227313467163249,0,0,0,0,0.42723831117412,0,0,0,0,0,0,0,0,0,0.0210276903810257,0,0,0,0,0.116207663366464,0,0,0,0,0,0,0,0,0,0.0571355440116682,0,0,0,0.0479176984869497,0,0,0,0,0,0,0,0,0.248278649042403
X1299.HK.EQUITY,0,0,0,0,0,0.021407721668812,0,0,0,0,0,0,0,0,0.0256012442697372,0.234726109452145,0,0.159704096679,0,0,0,0.132308661075049,0,0,0,0.170653950873763,0,0,0.0914393124210117,0,0,0,0,0,0,0,0,0,0,0,0.0804573610075686,0,0,0,0,0,0,0,0.196553151504082,0
X5.HK.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.416890458936656,0,0,0,-0.644605216637934,0,0.801245150839378,0,-0.845618738794885,0,0,0.209329210028431,0.638895419946737,0,0,0,0,0,0,0,0,0.0424298571445774,0,0,0,0,0.236973825097116,0,0,0,0,0,0,0,0.00885343472215257
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.235440345248213,0,0,0,0,0,0,0,0.0485174503089454,0.207144650851156,0,0,0,0.0336862795706767,0,0,0,0.0743821930439021,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0444590751861238,0,0,0.025576783766184,0,0,0,0,0.260057887300571,0,0,0
X601658.CH.Equity,0,0,0,0.354095955011176,0,0,0,0.0840499901019411,0,0,0,0,0,0,0,-0.200797191429753,0,0,0,0,0,0,0,0,0,0,0.0278164756662904,0,0.859507266351392,0,0,0,0,0,0,0,0,0,0,0,0,-0.295705992605385,0,0,0,0,0.136741128044286,0,0,6.93889390390723e-18
