,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601318.CH.EQUITY,X601328.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601838.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X000002.CH.EQUITY
X601398.CH.EQUITY,0,0.349639608738105,0.114256955689657,0.205580088342411,0,0,0,0,0.00254279913851094,0,0,0.0937165872741269,0.151982075649285,0,0,0,0,0,0,0.0197128656942589,0,0,0,0,0,0,0,0,0,0.0160362589147468,0,0,0,0,0.0545202498291848,0.0257151548613912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.586046310516441,0,0,0,0,0,0,0,0,0,-0.0208649796112164,0,0,0,0,0,0,-0.00148950814037964,0.108931989826662,0,0,0,0.0394809909801393,0,0,-0.0346411563912206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144349560806728,0,0,0,0,0.0341772939454153,0,0.0340793307231493,0,0,0
X601288.CH.EQUITY,0,0.213337866808689,0,0.453138915768887,0,0,0,0,0,0,0.14665598704278,0,0.0149873138196113,0,0,0,0,0,0,0,-0.0180154624169677,0,0,0,0,0,0,0,0,0.00262313099278203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484842600194236,0,0,0,0,0.0659796669553891,0
X601988.CH.EQUITY,0.27763364417595,0,0.196029166156871,0,-0.0148977854224983,0,0,0.461182050963495,0,-0.00878094830734771,0,0,0.0570741261722929,0,0,0.097611938489293,-0.130907252170468,0,0,0,-0.137193089248747,0,0,0.0693564236311371,0,0.0302809987573473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10834402247033
X5.HK.EQUITY,0,0.245853458478458,0,-0.0393790863811087,0,0.0947323574483033,0.12693702187539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270356452029382,0,0,0,0,0,0,0.132485653861265,0,0,0,0,0,0,-0.105751841230912,-0.113069083684325,0,0,0.107194243209428,0,0,-0.094779010696649,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,-0.13803380248424,0,0,0,0.142690867370479,0,0,0.0555531503584838,0.0729513870703123,0,0,0,0.238245491483531,0,4.33680868994202e-19,0,0,0.456422111681069,0,0,-0.131831477971217,0,0,0,0,0,-0.0266884718203222,0,0,0,0,0,0,0,0,0,-0.00627463702529334,0,0,0,0.385662861452641,0
X601318.CH.EQUITY,0,0.208178388366097,0,0,0,-0.021736442095449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384863990823878,0,0.127190081551802,0,0,0,0,0,0,0,0.041045140207837,0,0,0.0485383175134907,0.259449609340661,0,0.0233255275159799,0,0.0284771330020587,0,0,0,0.182696661045035,0.0474443008293448,0,0,0.0914881617964921,0,0
X601328.CH.EQUITY,0.145003203107413,0.0973886317679682,0,0.242393082211367,0,0,0,0,0,0,0.0639884034028958,0,0,0.113790721307602,0,0.0320796550070925,0,0.0912407954452273,1.73472347597681e-18,0,0,0.157341376969973,0,0,0,0,0,0,0,0,0,0,0,0.0393350418079675,0,0,0,0,0,0,0,0,0,0.0500471049231628,0,0,0,0.07222712164105,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0355782324827377,0,0,0.0438623211186129,0.438971195892045,0.109260247837832,0,0.192767471951521,0,0,0.0802091783346276,0,0,0,0,0,0,0,0,0.0436688457617215,0,0,0,0,0,0,0,-0.0257799024876977,0,0,0,-0.0783538454455069,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.232944750146159,0,0,0,0.14891400791628,0,0,0,0,0,0,0,0.445629460456821,0,0,0,-0.149325366487428,-0.0446832370501454,0,0,0,0.0563880813619448,0,0,0,0.0816927926894074,0,0,0.183904016202175,0,0,0,0,0,0,0.0992655346697982,0,0,0,0.0335451161299121,0,0,0.0587949966963831,-0.0638300456674582,0,0
X600000.CH.EQUITY,0,-0.0485335699560705,0,0,0,0,0.0656562183959065,0,0,0,0,0,0,0.354798009991587,0,0,0.208819845257128,0,0,0,0,0,0,0,0,0,0.0260356983886013,0,0,0,0,0,0,0,0,0,0,0.0268207393155299,0,0,0,0,0.191754632102799,0,0,0,0,0,0,0
X267.HK.EQUITY,0.18562343774459,0,0,0,0,0.00442511175916784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242197710303572,0,0.123181560118973,0,0,0.0461708015552928,0,-0.320852372080619,0.0205727787946636,0,0,0,0,0,0,0,0,0,-0.282847443388281,0,0.0634029530373174,-3.46944695195361e-18,0,0.191293334963266,0,0.283424830045514
