,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,-0.0185500616307292,0,0,0,0,0,-0.190711138167229,0,0,0,0,-0.18828321676408,-0.2895822155517,0,0,0.038442749094403,0.0331962168246161,0.860511766311266,0,0,0,0,0,0,0.119986120151958,0,0,0.219354941972998,0,0,0,0,0,0,0,0,0,-0.125445812585126,0,0,0.177033993666008,0,0,0,0,-0.0506752025306094
X601939.CH.EQUITY,0,0,0,0,0.0376276275916574,-0.100831188531503,0,0,0,0,0,0,0,0,0.0193693155133339,0.176703995741719,0,0.0397871664262643,0,0,0.00666551251490411,0,0,0,0,0,-0.0373486551325016,0,0,0.0808943095125036,0,0,0,0,0,-0.161633300355218,0,0.0159467744000921,0,0,-0.1992713126058,0,0,0.203650222190732,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0916783273486166,0,0,0,0,0,0,0,0,0.085055262306141,0,0,0.0221980261457942,0,0,0,0.090510674308202,0,0,0.126891699672217,0,0,0,0,0,0,0,0,0,0,0,0.0971617211328316,0.0889779190385552,0,0,0,0.0839311833315913,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.0236931889291653,0,0,0,0.0662652953819797,0,0,0,0,0,0,0,0,0.256477659823106,0,0,0,0.0117898659845061,0,0,0,0,0,0,0,0,0,0,-0.0778534718397179,0,0,0,0,0.16005473265579,0,0.179431915052484,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00902819360017645,-0.00723239604906456,0,0,0,0,0,0,0,0,0.142335010447592,0,0.173672084501751,0,0,0,0,0,6.93889390390723e-18,0.411480275837338,0,0,0,0,-8.67361737988404e-19,0,0,-0.0859163471546124,0,0,0.18473380023809,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.00610459626202234,0,0,0.269820360289489,0,0,0.0259271756814879,0,0,-0.0218430635191213,0,0,0,0,0,0,-0.491338108731308,0,0,0,0,0.217114522513227,-0.262935457726347,0,0,0.0704442338853792,0,0,0,0,0,0,-0.101273778383122,0.0137340783724004,0,0,0,0,0,0.104186148831314,0.0189199287040421,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.0572224943300097,0,0,0,0,0.264319323655969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645271701744867,0.0102064048184485,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.12956119767345,0,0,0,0.280697637398535,0.159404891131673,0.0339971263482715,0.0986483226207105,0,0,0,0.0410307564833385,0,0,0,0,0,0,0,0,0,0,0.289640084093231,0.130514603192134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0958119358549508,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0468863495304498,0,0,6.93889390390723e-18,0,0,0,0,0,0.264719260612677,0.25060659095428,0,0,0.236136751922733,0,0,0,0.0415375757263882,0,0.189691437335515,0,0.110263890579686,0,0,0,0,0,0,0,0.0137522966753184,0,0,0,0,-0.0722364859783749,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0402960802687923,0,0,0,0,0,0,0,0.0411497723676943,0.0592550045651596,0,0,0,0,0,0.202853957147388,0,0,0,0.100796080950948,0.0737745294496767,0.100735568182003,0,0,0,0,0.0435543343086609,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.16522578172723
X267.HK.EQUITY,0,0,0.0826496363559996,0,0,0,0,0,0,0.348293154795836,0,0,0,0,0,0,0,0,0,0.385156029224664,0,0,-0.468950289583635,0,0,-0.00706401596450545,0,0,0,0,0,0,0,0,0,0,0,0,-0.14324775271319,0.176008307849714,0.00388495113822528,0.105232674202278,0.0291052788637626,0,0,0,0,0,0,0
