,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2880.TT.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.039446837550229,0.405436754686503,0.283667760192295,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0497953599973496,0,0,0,0,0,0,-0.0922273753822935,0,0,0,0.240165163993785,0,0.0955795900939135,0,0,0,0,0,0,0,0,-0.132473031291971,0,0,0,0,0,0,0,0,0.00535790224398081,0,0,0,0,0,0
X601939.CH.EQUITY,0.0560746140904683,0,0,0.187721367345671,0,0.0261045020562611,0.112913428655686,0,0,0.10453958401355,0,0,0,0.330324676017669,0,0,0,0,0.128608383022997,0,0.0296963280832588,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0261697799533929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.348040403923933,0.314352088775665,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0181086653460171,0.0551587001423925,0,0,0,0.103638264502999,0,0,0,0,0,0.0888613564499561,0,0,0,0,0,0,0,0.0300157440924079,0,0,0,0,0,0,0,0,0,0.0886400091850122
X601988.CH.EQUITY,0.0317206049920708,0,0.47475499995524,0,0.113527285560923,0.148039719637666,0,0,0,0.119392058142214,0,0,0,0,0,0,0,0,0,0,0.140251373301461,0,0,0,0,0,0,0.164642216136778,0.0690625195150593,0,0,0,0,-0.0975481795105016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.407578228912919,0,0,0,0,0,0,0,0,0.00313893398390539,0,0,0,0,0,0,0,-0.038525397991448,0,0.591430346639144,0,0,0,-0.0715797155734421,0.3312755656887,0,0,0,0,0,0,0.12929569587966,0,0,0.0111872399988604,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.10200588208038,0,0,0,0.0760784129702764,0.281600071669476,0,0,0,0,0.0270553265725814,0.0549185176218539,0,0,0,0,0,0,0,0,0.199238982676773,0,0,0,0,0,0,-0.0280277930245641,0,0,0,0,0.0207552570393153,0,0,0,0.107586991648783,0,0,0,0,-0.00277365768013911,0,0,0,0,0
X601328.CH.EQUITY,0,0.168079485175615,0,0.124411386951305,0,0,0,0,0,0,0,0,0.0906706529438327,0,0.144169760194396,0,0,0,0.373277801717945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00993191481276343,0,0,-0.0315152592822755,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0900750968132028,0,0,0,0,0,0,0,0.142225015578148,0.118905987178522,0.0822187104722899,0.144786893096923,0,0,0,0,0.013654669475992,0,-1.0842021724855e-19,0.0651152662761171,0,0.094813186310722,0,0,0,0,0,0.0650685158082702,0,0,0.0703620631014049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.443364004787768,0,0,0,0,0,0,0,0.296481512692526,0,0,0,0,0,0,0.142451816614489,0,-0.0758341022188369,0,0,0,0,0,0,0,0.12123705345508,0,0,0,0.0247577369381562,0,0,0,0,0,0,0.196930179445743,0,0,3.46944695195361e-18,0,0,0,0,0.0963897582877279,0,0,0,0
X601166.CH.EQUITY,0,0.0399295579296843,0,0.106792387950675,0,0,-1.38777878078145e-17,0,0,0,0.255724758934343,6.93889390390723e-18,0,0,0,0,0,0,0.0736713478425133,0,0,0,0,0,0,0,0,0.353926350819741,0,-0.0192594492353466,0,0,0,0,0,0,0,-0.110114640363225,0,0.15039646966767,0,0,0,0,0,0,0,0,0.0366274624152459,-0.194756046962457
X267.HK.EQUITY,1.73472347597681e-18,0,0,0,0.303929132064276,0,0,0,0,0.31709446628763,0,0,0,0.1026570214571,0,0,0,0,0,0.0956200633167542,0,0,0.193030029980238,0,0,0,0.0814200694599879,0,0,0,0,0,0,0.177498308654471,0,0,0,-0.0223860056683674,0,-0.173229257310467,0,-0.105881226062061,0,0,-0.0576271910384088,-0.130065976501638,0,0,-0.0921053212086575,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0784822462197115,0.0916843999549114,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00146356644590882,0.296382833416635,0,0,0,0,0,0,0,0,0.224048951527587,0,0.149721243652067,0.0303225087177397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0854556094001635,0,0,0,-0.285742445072653,0.448250854657559,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.24799323467544,0,0.143649665006057,0,0,0,0,0,0,0,0,0,0,-0.170992190178753,0,0,0.136671588532274,0,0,0,-0.0889799764894494,0,0,0,0,0,0,0.237657954427171,0.0255053041652269,0,0
X600016.CH.EQUITY,0,0.0782889767493345,0,0,0,0.312501919543409,0.0950887779511209,0,0,0,0.296238388155562,0,0,0,0.198382330386994,0,0,0,0,-0.304380620823376,0,0,0,0,0.233693875623348,0,0,0,0,0,-0.128186666983749,0,0,0,0,0,0,0,-0.19688111718742,0,-0.0084070416325417,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.395860589923089,0,0,0,0,0,0,0,0,0,0.294794038811414,0,0.169069602223193,0.212726060053742,0,0,0,0,0,0,0,0.190726752349047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14952765547484,0,-0.0263562791518043,0,0,-0.0254930307372238,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.0268469788350776,0,0,0,0.403858291357085,0.0273320454308418,0,0,0,0,0,0,0,0,0,0,0.0875678647798107,0.107155443472216,0,0,0,0,0,0,0,0,0,0,0,0,0.144340540427729,0,0,0,0,0,0,0.0556895480488789,0,0,0,0,0,0,0.123933332534112
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.191764307837089,0,0,0,0.0689046049071542,0,0,0.17686417430063,0,0,0,0,0,0,0,0,0,0,0,0.176082706127631,0,0.0306050418488312,0,0,0,0,0.0646220023578924,0.0862702522809288,0,0,0,0,-0.122211531046525,0,0,0,0,0,0,0,0.0508466404294599,0,0
X600015.CH.EQUITY,0,0,0,0.159816035098697,0,0,0,0,0,0,0,0,0.0428275186194252,0.0850169904821154,0.307991014924439,0,0,0,0.102632416499926,0,0,0,0.131062569129377,0,0,0,0,0,0,0,0,0,0,0,0,0.166297180692991,0.0372121238186317,0,0,0,0,0,0,0,0,0,0,0.0344293615326877,0,0
X601169.CH.EQUITY,0,0.0210707902940514,0,0,0,0,0.0234327264636545,0,0,0,0,0.0459513532888361,0.231808689633849,0,0,0,0,0,0,0,0,0,0.182873451696583,0.0855078571267731,0,0,0,0,0,0,0,0,0,0.211812243156511,0.0940309060986178,0,0,0,0,0,0,0,0.0594117241886543,0,0,1.73472347597681e-18,0,0,0,0
