,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0344605445074917,0,0,0,0,0,0,0,0,0,0,-0.00193361873342031,0,0.536659235660647,0.789831160535265,-0.107315510727343,0.0108883096798849,0,0,0.207391497771386,0,-0.234032171240125,0,0,0,0,-0.324460320111122,0,0,0,-0.0450290885523971,-0.0801997745871394,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.210895997563386,0,0,0,-0.0436106118841187,0,0,0,0,0,0,0,0.047758639774672,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0989723214527074,0,0.0631595933196234,0,0,0,0,0,0.249370488051919,0,0,0,0,0,0,0,0.157961018471949,0,0,0,0.188154698580261
X601939.CH.EQUITY,0,0,0,0.826022515025481,0,0,0,0,0,0.0184528970600979,-0.0766589238005413,0,0,0,0,0,0.0687860503267346,0.0735612124667844,0,0,0,0.00170279673190184,0,0,0,0,0.0551905199616479,0,0.0301298246501954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217946368945744,0,0,0,0,0.0280935363794265,0.0350523418672847
X601288.CH.EQUITY,0,0,0.866934824988296,0,-0.0665396429738001,0,0,0,0,0,0,0,0,0,0,0.0331410244418777,0.045313820032782,0.157249681772353,0,0,0,0,0,0,0,-0.102739566326307,0.0208556685545637,0,0,0,0,0,0.0147575579949484,0,0,0,0,0,0.0148683859668207,-0.123759612008576,0,0,0,0,0,-0.0267033076023576,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.103177750936887,0.0701648474981989,0.412035258277396,0,0,0,0,0,0,0,0,0,0.0376094469196693,-0.0706923955438678,0,0,0,0,0,0,0.0328841992715604,0,0,0,0,0.0700654921898707,-0.162596981152402,0,0.314803675066784,0,0,0,0,0,0.28445102576377,0,0,0.151855747270594,0,0,0
X600036.CH.EQUITY,0,0,0.383823989260644,0,0,0,0,0,0.0189904859118908,0,0,0,0,0,0,0,0.125795001947915,0,0,0.00148580931472839,0.00715610704188455,0,0,0,0,0,0.186277860904683,0,0.176596745264139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194951043470718,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0774595675329244,-0.149006021300091,0.0247355009831473,0,0.0506354018170901,0,0,0,0,-0.0658485237178092,0,0,0,0,0,0,0,-0.106427463374097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711106727333673,0,0,0.00706035974710344,0.0281264543474162,0.0204179204223878,0,0,0,0,1.04431821580336
X1299.HK.EQUITY,0,0.0985974811701308,0,0,0.172208569882343,0,0,0,0,0.211774642042798,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230744898292337,0,0,0.325401538541903,0,0,0.206345379581788,0.149670960124562,0.11079013294845,0,0,0,0,0,0,0,0,0,0.0982439722908234,0,0,-0.0898152712267539,0,0.0869172460022827,0,0.0196601069378614,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324453503994884,0,0,-0.433853648944372,0,0,0,0.0918853963272689,0,0,0.159648582277621,0.220576708001501,0.429637096331217,0,0,0,0.0424588349400649,0,0,-0.116694554745867,0,0,0,0.00217307525199513,0,0,0,0.109158633857087,-0.164473386606953,0.118437857834937,0,-0.0537023675325,0,0,0
X388.HK.EQUITY,0,0,0,0,0.346502352853109,0,0,0,0,0,0.0112068535525467,0,0,0,0,0,0,0,-0.500145635404699,0,0,0,0.250472322044341,0,0.0448567720679702,0.295494231675795,0,0,0.104608666536535,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0678150530563599,0,0,0,-0.146439452021376,0.12384551681085,0,0,0,0,0,0
