,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601997.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X002958.CH.EQUITY,X2007.HK.EQUITY,X001979.CH.EQUITY,X1109.HK.EQUITY
X601398.CH.EQUITY,0,0.0537942584555174,0,0.198062214531186,0,0,0.103226874892864,0,0,0.0595699900922701,0.0888863762174384,6.93889390390723e-18,0,0,0.00578068941755049,0,0,0,0,0,0.373744582763136,0,0.0579592325655365,0,0,0,0,0,0,0,0,0,0,0,0.085854075461858,0,0,0,0,0,0,0,0,0.0415359024095719,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.0289693134606886,0,0.0969372442109426,0.144159572303444,0,0,0.209727341095529,0,0.103487743142118,0,0,0,0.124853159047289,0.139165867822277,0,0,0,0,0,0,0,0,0.219502828665531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553777093741628,0,0,0.0677999287958308,-0.0584737709337697,0,0,0
X601288.CH.EQUITY,0.215571653960314,0,0,0.105965950684015,0,0,0,0,0,0,0,0,0,0.363150185966909,0.0287700585019007,0,0,0,0.0709245770640156,0,0,0,0,-0.0330141923666837,0,0,0,0.0946841401249994,0.0715571163893778,-0.10987337408681,0,0.183273471159194,0,0,0,4.33680868994202e-19,0.0462751553128302,0,0.0394819072207282,0,0,0,0,0,0,0.0252390068105816,-0.080379447898027,0,0,0
X601988.CH.EQUITY,0,0.0264845337893801,0.587907871524321,0,0,0,0,0,0.130359654576872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823607057198015,0,0,0,0.302556264723136,0,0,0,0,0,0,0,0,0,0.121734838024832,0.17746277045661,0,0,0,0,0,-0.517523707935551,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0763312729601126,0,0,0,0,-0.0837533965267163,0,0,0.722553168907247,0,0,0,0,0,0,0.233676855713421,0,-0.124366232028248,0.173892012743177,0,-0.328967872980214,0.0443241463855966,0.057611365823266,0,0,0.0531584389553458,0,0.235101324639296,0,0,0,-0.0650749500053623,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.27843401903715,0,-0.0468036408987543,0,0,0,0.035277609642673,0,0,0,4.33680868994202e-19,0,0,0.363258889935932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014169134045285,0,0,0,0,0,0,0,0,0,-0.00313690880384515,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.416183164266843,0,0.0555964605983371,0.0373486545873341,0,0,0,0,0,0.0693937794395924,0.179800309202397,0.0348918285495662,0.0543920064016409,0,0.0677702944211392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255381327134232,0,0,0.0185449665583804,-0.0209751900698517,0,-0.0600200225100222,0,0
X601318.CH.EQUITY,0.000940938025886343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674255786517612,0,0,0,0,0,0,0,0,-0.0153901078255889,0.528857377219152,0,0,0,0,0,0.0362395844286668,0,0,0,0,0,0,0,-0.00943886275813279,0,-0.0303857351695552,0,0.210527388376252,0,0,0.114343660426022,0,0,-0.00483070104936164
X600036.CH.EQUITY,0,0.215457024138002,0,0.15099748348123,0,0,0,0,0,0,0.0112567283151565,0,0,0,0,0,0.407393028208545,-0.18993628096857,0,0,0,0.0758853218446278,0,0,0.194449326772472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421697706192747,0,0,0.141579902447068,0.237156374129367,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.213928552218622,0,0,0,0,0,0.107144430445853,0,0,0,0.385852331884551,0,0,0,0.118457919931562,0,0,0,0,0,0.0962725438659516,0,0,0,0,0,0,0.00726281134187565,0,-0.0803478623654394,0,0,0,0,0,0,0,0.0399747302351428,0,0,0,0,0,0.0216211592624187
