,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.101611572175148,0.222919228168473,0,0,0,0,0,0,0.424501144810707,0,0,-0.0956952977638807,0,0,0,0,0,-0.0722172930953005,0,0,0,0,0,0,0,0,0,0.708865708909764,-0.0162061293587046,0,-0.0594303925325493,-0.0695240448553999,0,0,0,0,0,-0.0325771435619213
X601318.CH.EQUITY,0,0,0,0,0,0,0.117406525926092,0.046155600290175,0.158004908606062,0,0,0,0,0,0,0.0987780097688425,0,0,0.111179028892272,0.0132298544219028,0.101939375089417,0,0,0,0,0,0,0,0,0,0.0421477700541575,0,0,0.0468056665262689,0,0.0634352812092938,0,0,0.172697753502692,0,0.0891825983534079,0,0,0,0.080639098518374,0,0,0,0
X601939.CH.EQUITY,0.350815274913386,0,0,0,-0.0669221366637356,0,0,0,0,0.00375862385010557,0,0,0,-0.0377381231119181,0,0,0,0.0623048405362596,0,0,0,0,0.136229062540306,0,0,4.33680868994202e-19,-0.36834030102716,0,0,0,0,0,0,0,-0.0319852366684601,0,0,0,0,0,0.638813628963073,0,0,0,-0.0305718410727342,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.167208290871204,0,0,-0.0071811540106339,0,0,0.430836773975434,0,0,0.359438801841679,0,0,-0.0598159501031993,0,0,-0.154050438664979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149564412256635,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.140148801897141,0,0.166800818546426,0,0,0.131477636297253,0,-0.00859459625570199,0.224927604343355,0,0,0,0.0992944146793362,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.170632770831012,0,0,0,0,0,0,0,0,0,0,0.0603497536310322,0.132441458063768,0,0,0,0,0,-0.0389734781149254,0,0,0.149051240889842
X601988.CH.EQUITY,-0.0356764645970675,0,0,-0.0632373937463434,0.409574402302261,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0067489890263753,0,0,0,0.0246061526942907,0,-0.189603881634101,0,0,0,0,0.348846740874862,0,0,0,0,0,0,-0.375831687578059,0,0,0,0,0,0,0,0,0,0,0,0,0.0428740650919753,0.13192480400584,0,0,0
X600036.CH.EQUITY,0,0.278447837653967,-0.0689638143849136,0,0,0,0,0,0,0.404775118554159,0,0.0687675743654726,0,0,0,0,0.0775580549658259,0,0,0.288397516146015,0,0,0,0,0,0,0,0,0.158137450297809,0,0,0,0,-0.138325776288502,0,0,-0.179540083021779,0,-0.0258304494821597,-0.0281713788686837,0,-0.103608526498946,0.273529061750236,0,0,-0.0484129010930611,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.310810351432952,0,0,0,0,0,0,0,0,0,0,0,0,0.0586749841046807,0.081805453520247,0,0,0,0,0,0,0,0.184518559317306,0,0,0.0749271877614821,0,0,0,0,0,0,0,0,0,0,0,0,-0.156033440245851,0,-0.131829977003419,0,0,0.101728606494916,-0.0145624260627889
X601628.CH.EQUITY,0,0.130871848172683,0.0236285024092309,0.0809526399348399,0,0,0,0,0,0,0,-0.0555119280507113,0,0,0,0.308708484908979,-0.0147601350277996,0,0,0,0,0,0,0,0.133623956583938,0,0,0,0,0,0,0,0,0,0.206989761472444,0,0,0,0,0,0,0.186079882750083,0.00437339548202854,0,0.0554209343967657,0,0,0,0.0449395261489333
X601328.CH.EQUITY,0,0,0,0,0,0,0.694630125313412,0,0,0,0,0,0,0,0.0874562076706596,0,0,0.0234642465008981,0,0.180331962562359,0,0,0,0,0,0,0.118531622632401,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0862516097673375,0,0.0290419992823134,0,0,0,-0.233015307800607,0,0,0
X601166.CH.EQUITY,0.169052507581262,0,0,0.255080462522806,0,0,0,0,4.33680868994202e-19,0,0,0.305594163593561,0,0,0,0,0,0,0.0925139881424247,0,0.00851024930628486,0,0,0,0,0,0.00669295513595001,0,0,0,0.0394041397261725,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.0663532017081084,0,0,0,0,0,0,0.142705281025998,0.572066828618665,0,0,0,0,0,0,0,0,0,0.0680793234577033,0,0,0,0,0,0.300503258833509,0,0,0,0,0,0,-0.0610665953213644,0,0,-0.226253744082534,0,0,0,0,0,0,0,-0.0588338217259754,0,-0.117086662082754,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00762245565068058,0,0,0,0,0,0,0,0,-0.24490619635805,0,0,0,0.00121764916135546,0,0,0,0,0,0,0,-0.0341298096494156,0,0,0,0,0.305565826529403,0,0,0,0,0,0,0,0.415001064877385,-0.0719493954551608,0.118802094067876,0,0,-0.0169428831074391
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242002362334593,0.0948934821217902,0,0,0,0,0,0,0,0,0,0.191635183280751,0,0,0,0,0.232526687058655,0,0,0.31303698263686,0,0,0,0,0,0,0,0,0.177952097296497,1.73472347597681e-18,0.13254407631245,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0586674942656256,0,0,0,0,0,-0.15740220705485,0,-0.106543396784516,0,0,0,0,0,0,0,0,0,0,0,0.445379633008286,0.0338810332168409,0.186474953275421,0,0,0,-0.107229579711179,0,0,0,0.381128838698691,0,0,0,0,0,0,0,0.135829478757196,-0.237998612930165
