,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.524935841959251,0.168692382136953,0,0,2.77555756156289e-17,0,0,0,-0.0957646551963134,0.0552640147448489,0,0,-0.0168170820872337,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0112165363988167,0,0,0,4.33680868994202e-19,0.0384335205471504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490227116330489,0.0942207131724219
X601939.CH.EQUITY,0.127642711829209,0,0,0.215648403399916,0,0,0,0,-0.0959711138128701,0.00582243377794503,0.136739326178564,0,0,0.196930940464141,-0.0616520287983763,0,0,0,0,0,0,0,0,0,0.229283242046071,0,0,0,0,0,0,0,0,0,0,0,-0.0293607847656843,0,0,0,0,0,0,0,-0.0502420452198548,0,0,0,0.182002175473119,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0
X601288.CH.EQUITY,0.176625916108856,0,0,0,0.365772892085846,0,0,0,0,0,0.0401415368326485,0,0,0.0943750206770935,0,0,0,0,0,0.0652334562977055,0,0,0,0,0.0958006583366381,0,0,0,0,0,0,0,0,0,0.146845471635362,0,0,0,0,0,0,0,0.011387332054838,0,0,0,0,0,3.46944695195361e-18,0
X601988.CH.EQUITY,0,0,0,0.484192512585647,0,0,0,0,0,0.259132124807705,0,0,0,0,0,0.0704668786483432,0.067858558497934,0,0,0,0.0649392651487601,0,0,0,0,0,0.141137725982794,0,0,0,0,0,0,0,0,0,-0.616738913938338,0,0,0,0,0,0,0.067537104889056,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0772358508985909,0,0,0,0,-1.73472347597681e-18,0,0.000891365045122253,0,0,0.190888375511768,0,0,0,0,0,0,0,0,0,0.27354241832502,0,0,0,0,0,0,0,0,0,0.282861752061263,0,0,0,0,0,0,0,0,0.0648294060335266,0.0539298638333706,0,0,0,0,0.0243893668036341,0.0891105307965174,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109232087621171,0,-0.299090608311516,0,0,0,0,0,0,-0.447390631118793,0.0741539523391159,0.746999753035136,-0.0100760012904662,0.649866858596369,0,0,0.0181630342191242,0,0,0,-0.151635304642102,0,0,0.37626664621752,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0310760409146866,0,0,0,0,0,0,-0.195439848169819,0,0,0,0,0,0,0,0,0.28357035531021,0,0,0.0813734224671133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273339833030934,0,0,0,0,0,0,0.184429421496701,0.0707234975950919,0
X601658.CH.Equity,0,0,0,0.158282904089391,0.182122362240539,0,0,0,0,0,0,0,0,0.118452659823177,0,0,0,0,0,0,6.93889390390723e-18,-0.0828958970914784,0,0,0,0,0.0367441775394474,0,0.0940646145658757,0,0,0,0,0,0,0,0,0.276513493063233,0,0,0,0,0,0,0,0,0,0,0.437059112018296,0
