,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0.244661855778828,0,0.133305704148161,0,0.0386407860242929,0,0,0.250958802188243,0.0713480686725647,0,0.107793486304767,0,0,0,0,0,0,0,0.0599866134728531,0,0,-0.0879455373214285,0,0,0,0,0,0,0,0,0,0,0,0,0.0590946481479669,0,0,0,0,0,0,0,0,0,0.0520221440362881,0.0131696857082658,0,0,0
X601939.CH.EQUITY,0.483675786788203,0,0,0,0,0,-0.0479859127919846,0,0,0.01655232861274,0.192359972358235,0,0.229719653923807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.00149188640620832
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0
X601288.CH.EQUITY,0.346436800352708,0.0459008843258014,0,0,0.402135417981896,0,0,-0.0315241655880392,0,0,0.0627321681162895,0,0,0,0,0.114509109388223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211044323183142,0,0,0,0,0,0,0,0,0,0,0.0134326195101397,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0988129237296297,0,0.272030244651569,0,0,0,0,0,0,0.249585046418748,0,0,0.0969121466211589,0,0,0,0,0,0.142418036055885,0,0.0697420271544532,0,0,0,0,0,-0.00969429887328374,0,0.0148367826047318,0.00993908653216817,0,0,0,0,0,0,0,0,0.0570912518862057,0,0,0,0,0,0,0,0.0517757766384339,0,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-1.38777878078145e-17,0,0,0.379613615064239,0,0,0,-0.524799673501518,0,0.119298325727427,0.81351073011791,0,-0.816305523918592,0,0,0.643596357177082,0,0,0,0,0,0,0,0,0,0,0.00481375037391864,0,0,0.249339179608564,0,0,0,0,0,0,0,0.0216133766982309
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.208937376970331,-6.93889390390723e-18,0,0,0,0,0,0,0,0.199627406804748,0,0,0.0369642736458694,0,0.211485180836571,0,0,0.0278339373957849,0,0,0,0,0,0,0.0475384069891831,0,0,0,0,0,0.111227351512171,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.0957210601859882,-0.262209633214553,0.247696384865234,0,0,0,0.12400395682184,0.0804632973638157,0,0,0,0,0,0,-0.251501945558395,0,0,0,0,0,0.0103462853530235,0,0,0,0,0,0,0.723523785369646,0,0,0,0,0,0,0,0,0,0,0,0,-0.126544280737333,0,0,0,0.618866643788437,0.0649929535567423,0,0,-0.122956347587794
X601328.CH.EQUITY,0,0,0,0.286878651741288,0,0,0,-0.0394694261922307,0,-0.0570353492577539,0,0,0.399035725177241,0.0473758963178717,0,0,0,0,0.140221396149327,0,0,0,0,0,0,0,0,0,0,0,0.0691203602856405,0,0,0,0.0578767254181467,0.0310808280112841,0,0.0115521730349543,0,0,0,0.0539526436752559,0,0,0,0,1.38777878078145e-17,0,0,0
X601166.CH.EQUITY,0,0.0848720096098829,0,0.0198970982599064,0,0.160076559477695,0,0,0,0,0.00612625259964492,0,0.0366347425216245,0,0,0,0,0,0,0.0223175516960456,0,0,0,0,0,0,0,0,0,0,0.308950712217964,0,0,0,0,0,0.0695483977994973,0,0,0,0,0,0,0,0,0.225621587664065,0,0,0,0.0872522324261777
X600000.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.181738882383794,0,0,0,0,0,0,0,0.401022222864898,0,0,0,0,0,0,0.115384165282083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826557447385071,0,0,0,0.0961769096915029,0.0514891468773301,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.00796347272885299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105176143544979,0,-0.0419957863205991,0,0,0,0,0.0700660265076984,0,0,0.510848014594448,0,0.146020370745657,0,0.15730777931732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0.0898680620397204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675458550716414,0,0,0.114825542639237,0,0,0,0,0,0,0,0,0,0,-0.0747913394096626,0,0.195897613101417,0.0467032789718684,0.2832175331293,0,0,0.258232295927219,0,0,0.0273314830025541,0,0,0,0,0,0,0,0,0,0
