,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.142631734831926,0,0,0,-0.166476447095068,0.278571711980242,0,0,0.128949744014197,0,0,0,0.227163855118607,0,-0.0746184458186177,0,-0.121639293840228,0,0,0,-0.146115014009047,0,-0.244352529931082,0,0,0,-0.204552210784299,0,0,0.847670410315701,0,-0.00173825236450592,0,-0.120815584361129,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0698427713709161,0,0.179923800702475,0,0,0,0,0.128248972505048,0,0,0,0,0.128695669265296,0.0490760364700236,0.118085018594804,0,0,0,0,0,0,0,0,-0.0282461055065527,0,0.0402259677173886,0,0.0578557260044166,0.0948621158325314,0,0.242926806427537,0,0,0.015860082156022,0,0.0139351724986507,0,0,0,0,0,0,1.73472347597681e-18
X601939.CH.EQUITY,0.293479567728594,-0.068227038943121,0,0,0,0,0,0,0,0,0.169898019820723,0,0,0,0,0,0,0,0,0,0,0.0159346685754657,0,0,0,0,0,0,0,0,0,0,0,-0.133967069624045,0,-0.235630753070021,0.202516082733442,0,0,0.571528430422624,0,0,0,0,0,0.0990909329075151,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.500314845117507,0.0996462026053612,0.482225541989603,0,0,0,0,0.413438753339746,-0.385117056115501,0.284331818343717,0,0,-0.230377784179376,0,0,0,0,0,0,0,0,0,0,0,0,-0.520484154711653,0,0,0,0,0,0.0496115679747368,0,0,0,0,0,0.260208319417709,0,0.286100705990245,0,0
X5.HK.EQUITY,0,0,0,0,0,0.119494446106855,0,0.211289529721002,0,0,0,0,-0.0294648213683414,0,0.127886359611987,0.119354926436848,0,0.0997292775630804,0.00453291601632001,-0.0856762044881363,0,0.0799898674178233,0,0,0,0,0,0,0,-0.0621023146396698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125211210390545,0,0,0,0.194935066350975,0
X601988.CH.EQUITY,-0.0575154792064348,0,0,-0.00884451065808054,0.514145996707909,0,0,0,0,0,0,0,0,0,0.169866360990562,0,0,0,0,-0.0954352078793162,-0.152021610354931,0,0.272094734107399,0,0,0,0,0,0,-0.323245856702627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890252609923014,0,0,0
X600036.CH.EQUITY,0,0.148566805426264,-0.0323486624929347,0,-0.101186965905444,0,0,0,0,0,0.550429229517431,0.0674892219013873,0,0,0,0.199684287186272,0,0,0,0.369636140963619,0,0,0,0,0,0,0,0.139331239523909,-0.147114740908815,0,0,0,0,-0.0808505857381574,0,0,0,0,0,0,0,0,0,0,0,-0.0887410885312586,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.267511948870542,0,0,0,0,-0.0322929532200904,0,-0.0932058130556609,0,0,0,0,0.0056717308040085,0,0,0,0,0,0,0,0,0.153816104796059,0.0350564890857965,0,0.122965000123604,0,0.106271493160346,0,0,0,0,0,0,0,0,0,0,-0.106788871359732,0,0,0,0,0,-0.0110312592448482,0
X601628.CH.EQUITY,0,0.180030729700303,0,0.0420379460830421,0,0,0,0,0,0.105306642903146,0,0,0,0.234345459260803,0,0,0,0,0,0,0,0,0.0509241086693009,0,0,0,0,0,0,0,0,0,0,0,0.011434566153915,0.128269880092142,0,0,0,0,0,0.189364620633109,0.224168914275975,0,0,0,0,0,0
X601166.CH.EQUITY,0.0296563998546342,0,0,0.223523480441417,0,0,0.143011818243835,0,0.0232007878728797,0,0,0.163014935334882,0,0,0,0,0,0,0,0,0.14237019107069,0,0,0,0,0,0,0,0.029258940960192,0,0,0.247424493014079,0,0,0,0,0,0,0,0,-0.155644742946318,0,0,0,0,0,0,0,-0.140195614853819
