,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0,-6.93889390390723e-18,0.175971805744081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782434816806159,0,0.205070006518711,0,0,0.0492916356752537,-0.123572017582146,0,0,0,0,0,0.282456283160251,-0.16262389123441,0,0,0,0,0,0,0,0,0,0,-0.125345072308649,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.150293271420596,0,0,0,0,0.0850281771025536,0,0.00165126733766193,0,0,0,0,0,0,0.261555869123979,0,0,0,0,0,0,0,0,0.0987213472553526,0.0449944244848337,0,0,0,0,0,0,0,0.240380264497064,0,0,0,0,0,0,0,0,0.016896021590065,0.00970586564308595,0,0
X601939.CH.EQUITY,0,0,0,0.84797134261321,0,0,0,0,0,0,0,0,0,0.0499185570562829,0,0,0,-3.46944695195361e-18,0,0.035459363138907,0,0.0205544855572282,0,0.0447251752902388,0,0,0,0,0.0847161941071726,0,-0.121888195899736,0,0,0,0,0,-0.00938504417445489,0,0,0,0,0.0763514447158338,0,-0.0648158505601785,0,0,0,-3.46944695195361e-18,0.0212750340101716,0.0393207116172235
X601288.CH.EQUITY,0,0,0.896353537879955,0,0,0,-0.0606313290262109,0,0,0,0,0,0,0,0.0257659384350354,0,0,0.131013317097136,0,0,0,0,0,0,0,0.00828427331624733,-0.100445563995193,0,0,0,0.0149032913680596,0.0091027939484416,0,0,0,0,0,0,-0.106193838320001,0,0,0,0,0,0,-0.0252168370195218,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.017007679129003,0,0,0.00063083720717842,0,0,0,1.18311515398742,0,0,0,0,0,-0.242583587030749,-0.20527012765567,0,0,3.46944695195361e-18,0,0.0443126688380253,0,0,0,-0.132854483804172,0,0,0,-0.0424661829641737,0,0,0,0,0,0,0,0,0,0.01433931716099,0.0519265226392879,0,0,0,0,0.0459221736941153
X600036.CH.EQUITY,0,0,0.380160961990155,0,0,0,0,0.0854439444369034,0.00795523006133635,0,0,0,0,0,0,0,0,0,0,0.0130724896856677,0,0,0,0,0,0.059719479971766,0,0,0,0.0672406183544774,0,0,0,0.360791541578886,0,0,0,0,0,0,0,-0.0593243393317446,0,0,0.113861705478187,0,0.0726373609488819,0,0,0
X601628.CH.EQUITY,-0.0287488312779949,0.143986850926833,1.73472347597681e-18,0,0,0,0,0.0616803025378249,0,-0.116672376004296,0,0.65765083520633,0,0,0,0,0,0,0,0,0,0,0.0871171389804343,0,0,0,0,0,0,0.0628608908472735,-0.0919517567370783,0,0,0,-0.105098804315082,0,0,0.227674311681447,0,0,0,0.268656299942344,0,0,-0.063581637102916,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.140641286394892,0,0.111578795497724,0,0,0,0,0,0,0,0,0,0.158364461958816,0.149150394970564,0,-0.199079875645452,0,1.38777878078145e-17,0,0,0,0.0344542053049998,0.151519714772987,0,0,0,0,0,0,0.118127259789622,0,0.086686800547973,0,0,0,0,0,0,0.365607768756356,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.146983422423291,0,0,0,0,0,0,0,0,0.251640439368195,0,0,0,0,0,0.184500442671812,0,0,0.548322633093331,0,0.0312231013446146,0,0.1161388878996,0,0,0,0,0,0,0,0.00834860980529544,0,0,-0.130653746990361,0,-0.103564129358108,0,0.00761844632667921,0.0831828648271506,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.233519453326097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219849160903979,0.0742527942978363,0,-0.145566330531645,0,0,0,0,0,-0.129688100688065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403388341417892,0,0,0.0563233043427138,0,0,0,0
