,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.154067076794531,-1.38777878078145e-17,0,0,0,0,0,-0.0283229039662529,0,0,0,0,0,0,0,0,0,0,0,0,0.0342367067031225,0.297969335107696,0.360447301971193,0.218150532609805,-0.192164550503274,0,0,-0.0442520378910162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.246472040502054,0,0,0,-0.0836571026380113,0,0,0,0,0,0,0,0.0190124903201671,0,0,0,0,0,0,0,0,0,0,0,0.119247886609264,0.223321819712215,0.0219472236236087,0,0,0,0.218579964405337,0,0.0976465725974866,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.799788590829248,0,0,0,0,0,8.67361737988404e-19,0.000998353521233911,0,-0.0394113445814172,0,0,0,0.0419120485937045,0.121122100239482,0.050347358806064,0,0,0,0,0,0,0,0,0,0.0361481088062051,0,0,0,0,0,0,0,0,0.0453853805503538,0,0,0,0,0,0,0,0,0.00491395575933993,0,0,0
X601288.CH.EQUITY,0,0,0.918003122666983,0,-0.0868603166030039,0,0,0,0,0,0,0,0,0,0,0.017802363395709,0,0,0.118171603782943,0,0.0566500725385825,0,-0.0678864161198179,0,0,0,0,0,0.0235888040151841,0,0,0,0.0406217976301051,0,0,0.00159779249192679,0,0,-0.0257363035829653,4.33680868994202e-19,0,0,-0.0916884513066692,0,0,0,-1.0842021724855e-19,0,0,0
X601628.CH.EQUITY,0.0104037022673801,0,0,0,0,0,0,0,0,0.262156283398079,0,0.198576916406762,0,0,0,0,0,0,0,0.172195880149001,0,0,0,0,0,0,0,0,-0.128034572246016,0,0,0,0,2.16840434497101e-19,0,0,0,0.378092213568543,0,0,0,0,0,0,0,0.0931384305731297,0.292969094204268,0,0,0
X600036.CH.EQUITY,0,0,0.241583414855087,0.144748564419108,0,0,0,0,0.0966765941182738,-0.0201393149572131,0,0,0,0,0,0,0.121713582068542,0.0746236854477118,0,0,0,0,0,0,0,0.0949153947113989,0,0,0,0,0.107154970877655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122715996299455,0
X601988.CH.EQUITY,0,0,0,0.00710154388848256,-0.124091333347384,0.0733773465120783,0,0.0555533368728749,0,0,0,-0.0256299666312279,0,0,0,-0.00346449967310879,0,0,0,0,-0.0341619324528771,0,-0.01720648803058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102726962137946,0,0,0,0,0,0,1.05236857359054
X1299.HK.EQUITY,0,0.0483077631908342,0,0,0,0,0,0,0,0,0,0,0,0,0.0124166737299313,0,0,0,0,0,0,0,0.375397163248672,-0.0486321644391712,0,0,0,0,0,0.00875154140244534,0,0.239799585469028,0,0.0620638717042297,0,0.00203805847875612,0,0,0,0,0,0.0845798161680934,0,0,0,0,0.141293993519499,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013511969408439,0,0,-0.337343507032896,0,0,0,0,0,0,0,0,0.537592218755796,0.133671442443739,0,0,0,0,0,0,0,0,0,0,0.0809254920552373,0,0,-0.123401021842008,0.0433528349790917,0.146475101576615,0,-0.146780464439476,0,0.0867747129882364,0
X388.HK.EQUITY,0,0,0,0,0.209821167549817,0,0,0.127897133774688,0.108657444065517,0,0,0,0,0,0.0517798118891276,0,0,-0.296495235725138,0,0,0.0543384790489662,0,0.451681445019244,0,0,0.028842528737407,0.292607806776618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272923439667276,0
