,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.062209201708771,0,0,0,0,0,3.46944695195361e-18,0,0.393994386318759,0,0,0,0,0,0.214597105099195,0,0,0,0.219754989032915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286996138373957,0,0.24023854875132,0,0,0,0,0,0,-0.0212113460680102,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0465421566361759,0,0,0,0.0620806195955616,0,0,0,0,0.160549207843071,0.0727324803607102,0.104991703724765,0,0.00889762025359371,0,0,0,0,0.101473067854883,0,0.0743670279202261,0,0,0,0,0,0,0,0.266105720494518,0,0,0,0.129708284111875,0,0.0345350532294686,0,0.109328743492691,0,-0.017236889737149,0,0,0
X601939.CH.EQUITY,0.575051144758563,0,0,0,0,0,0,0,0,0.0379028533660941,0,0,0,0,0,0,0,0.000839880566921978,0,0.310744714090006,0,0,0.000365494547835176,0,0,-0.0685799768104959,-0.583636683733767,0,0,-0.0254260541467827,0,0,0,-2.77555756156289e-17,-0.139133559184768,0,0,0,0,0,0.566154636168901,0,0,-0.0909441130762167,0,0.124584102666206,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0519666343318535,0,0.153730746318785,0,0.259765124478908,0,0.0215083443047094,0,0.34859942570905,-0.103908232839219,0,0,0,0,-0.0726852905285743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145543699830257,0.395608102161238,0,0,0,0,0,0,0,0.17093923097423,0,0,0,0,0,0,0,0.0897860164474584,0,0,0.0351287250233844,0.0436634806301882,-0.138094213186855,0,0,0,0,0,0,0,0,0.0535334659439532,0,0,0.131033211907843,0,0,0,0,0,-0.186031018990368,0,0,0.123730122780491
X601988.CH.EQUITY,0,0,0,0,0.2517812817612,0,0,0,0,0,0.246278583860049,0,0,0,0.216537201693392,0,0,0.0411011506341489,0,-0.0550712773772956,0,0,0,0,0.0993325010535772,0,0,0,0,0,-0.207185208227944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357760768456464
X1299.HK.EQUITY,0,0,0,0,0.181208249957231,-0.0260985151123588,0,0,0,0,0,0,0,0,0,0.0810435400372352,0,0.138123211352612,3.46944695195361e-18,0,0,0,0,0,0,0.0751648203954621,0,0,0,0.115569786985785,0,0,0.0643789513843796,0.0326842605237338,0,0,0.454453380831763,0,0,0,0,0,0,0,-0.18733493908918,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,-0.127037386836838,0,0,0.468924702984595,0,0,0.0848087937526472,0,0,0.0112479084409643,0.160950216197214,0,0,0,0.327621332578226,0,0,0,0,0,0,0,0.158667203036053,0,0,0,-0.160749290573459,0,0,0,0,-0.148105648616894,-0.0474545741928895,-0.0399698047597528,0,0,0,0.00863656997298642,0.194507995650809,-0.00977623025241391,0,0,0
X601628.CH.EQUITY,0,0.21415675589292,0.00433507819123806,0.0810255158098297,0,0,0,0,0,0,0,0,0,-0.034531396563583,0,-0.051307648517689,0.202412304771054,0,0,0,0,0,0,0,0,0,0,0.0385700518335831,0,0,0,0,0,0,0.159127126744412,0.0757435936348193,0,0,0,0,0,0.218631691233445,0,0.082717140017093,0.097578989323057,0,0,0,0
X601328.CH.EQUITY,0,0,0.0626734064892437,0,0,0,0,0.698788498358797,0,0,0,0,0,0,0,0,0,0,-0.131479792049987,0,0.151596273943974,0,0,0,0,0,0.0358542462395614,0,0,0,0,0,0,0,0,0.0120074345191949,0,0,0,0,0,0,0,0,0.0539372384320158,-0.173392589940493,0,0,0
