,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.127340085903029,0.0123067636619101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947417050915661,0,0.481662361994327,0.326626861754476,0.0403810509493286,0,0.164892163806234,0,-0.252711914364486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363287203304227,0,0.00341167076790353,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.199656885177607,0,0,0,-0.0655155309266439,0,0,0.104289286659686,0,0,0,0,0,0.0491429340649837,0,0,0,0,0,0,0,0,0,0,0.19569992222339,0,0,0.0218001450386428,0,0,0,0.25209308802538,0,0.045289210732277,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0
X601939.CH.EQUITY,0,0.0642911031077481,0,0.814588279258812,0,0,0,0,0,0,0,0,-0.0308722695365693,0.0140181123205679,0,0,0.077889459818923,0.04306966731491,0.0213926768064754,0,0,0,0,0,0,0.0177642329089247,0.0271179269749657,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240542746295887,0,0,0,0
X601288.CH.EQUITY,0,0,0.867876581572967,0,-0.0896757224253021,0,0,0,0,0,0,0,0,0,0,0.0273279822870482,0,0,0.153270817306027,0,0,0,0,0,-0.0278632436972474,0.0537536139292409,0,0,0,0,0,0,0.0433244711018865,0,0,0,0,0,-0.0320012372951303,0,0,-0.116129241159809,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.101345598663346,-0.101919940635111,0.412680560928642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590166898824689,0,0,0,0,0,0,0,0,0.270658044030726,0,0,0,0
X600036.CH.EQUITY,0,0,0.408636345709189,0,0,0,0,0,0.0223462850893089,-0.00517109251957152,0,0,0,0,0,0,0.105591495316444,0,0,0.00634911702042417,0.0126624904609482,0,0,0,0,0.188886253871676,0.12002247300822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.148236989855769,0.0923485442565245,0,0.0431048519160157,0,0,0,-0.012860897901764,0,0,0,0,0,0,0,0,-0.0745488413428351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107543484550509,0,0.00763382915029983,0,0,0,0,1.04722088276337,0
X1299.HK.EQUITY,0,0,0,0,0.163066402854478,0,0,0,0,0.0821716302071689,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.212427858955237,0,0.366217159718346,0,0,0.0606652394921188,0.394946940515785,0.183515029135844,0.0926742358918997,0,0,0,0,0,0,0,0,0,0,0,0,-0.165449375164775,0,0.0796222332609073,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150465241926981,0,0,0,0,0,0,0.23111453965301,0,0.480460795503442,-0.129783756227311,0,0,0,0,0,0,-0.0313499674159477,0,0,0,0.00468048727424618,0,0,0,0.0107751527823658,0.0672102490679161,0,0,0,0,0.129015821719085
X388.HK.EQUITY,0,0,0,0,0.224724167474438,0,0,0,0.120637551819028,0,0,0,0,0,0.0181953809698933,0,0,-0.29359069417778,0,0,8.67361737988404e-19,0,0.0630724266995055,0,0.29695646995594,0,0.0628323454146726,0,0.108907568121408,0,0.0278535407980196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231438999196598,0.0947906900454162,0,0,-0.223474626757162
X601658.CH.Equity,0,0,0,0.2299098304276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297349835647643,0,-0.0691064109213078,0,0,0,-0.0614479118299722,0,0,0,0,0,0.0726656766652711,0,0,0,0,0,0,0,0,-0.0332126622047798,0,0,0.30629644299753,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.152092666499918,0,0,0,-0.0947260504617153,-3.46944695195361e-18,0,0,0.289642623469952,0,0,0,0,0,-0.046828598693892,0,0,0,0,0,-0.00439730805052529,0,0,0,0.0177260181195172,0,0.00389443099402814,0,0,0,-1.38777878078145e-17,0.2206843702782,0,0,0.238651572191687,0,0.108501390405327,0,0,0.0579423436176528,0,0.0283065667161524,0,0,0,0.129385546652116
