,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0210517570880381,0,0,0.178671513581371,0,0,0,0,0,0,0,0,-0.0106258862696556,0,0,0,0,0,0,0,0.0418628109959062,0,0,0.113384697688623,0,0,0,0,0,0,0,-0.165151280582445,0,0.0639732790621614,0,0,0.224533603848939,0,0.0389022192943187,0,0,0.0877201477423085,0,-0.120830291024079,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108190298946582,0,0.100629587532965,0,0,0.34320936002264,0,-0.032054588437709,0,0,0,0,0,0,0,0,0,0,0,-0.00352252998047635,0,0,0,0,0,0,0,-0.0694138704872481,0.334228291731683,0,0.164867881510202,0.00527317318114044,0,0,0,0,-0.0769847603390254,0
X601939.CH.EQUITY,0.241320024724496,0,0,0,0.0172229643246947,0,0,0,0,0,0,0,0,0.179865781644531,0,0,0,0,0,0.184826709744364,0.0698703395934473,0,0,0,0,0,0,0,0,0,0,0,0,0.0676662044431165,0,0,0,0,0.0645642751723128,0,0,0.124409385347834,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.350248284814939,0.00151591343083544,0.0947380852964736,0,0,0,0,0,0.131125183767961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130035780010115,-0.0511581757307562,0,0,0,0.117158109061249,0,0,0.232220418148185,0,0,0,0,0,0.127878354897441,0
X5.HK.EQUITY,0,-0.190250830308501,0,0.451879630905062,0,0,0,-0.0893095205362041,-0.0539556557724147,0,0.127752889181313,0,0,0,0,0.118252670406891,0,0.158721704988849,0,0.0246978945002443,0,0.459690296577693,0,-0.168907793301816,0,0,0,0,0,0,0,0,-0.028570732380889,0,-0.175746874458763,0,0,0,0.03847339000352,0,0,0,0.179837033431156,0,0,0,0,-0.234640779798006,0
X601988.CH.EQUITY,0,0,0,1.73472347597681e-18,0,0,0,0,0.099367315653654,0.178223065107305,0.067123970536068,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.567501592215136,0,0,0,0,0,0,0,0,-0.139600439501414,0,0,0,0,0,0,0,0,0,0.00035379983494222,0,0,0,0,0.0591405462719523,0,0
X600036.CH.EQUITY,-0.100094617197108,0.334873451210585,0,0,0,0,0,0,0,0,0,0,0,0.262275252380614,0,0,0,0,0.0762872653800671,0,0.0369294381441252,0.237917357604003,0,0,0,0,-0.0427012847922695,0,0,-0.00932851268230953,0,0,0.230543171619023,0,0,0,0.0253965289464008,0,0,0.0312208674372606,0.0631013886766003,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.150242527017535,0,0,0,0,0,0,0,-0.0356620959443862,0,0,0,-0.0799185924762639,0.205748533276243,0,0,0.125370442208331,0.234311818807905,0,0.18818042244835,0,-0.0701355915836275,0.171044807418418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170760399441599,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.275678341974188,0,0,0,0,0.139095114916619,0,0,0,0,0,0,0,0,0,0,-0.0236330846200265,0.11914179318498,0,0,0,0,0,0.029629867929802,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0448890971537547,0,0,0.103091343911993,0,0,0,0,0,0,0,0,0,0,0.244932705153979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475833296075358,0.225566993584342,0,0,0,0,0,0.17110608803356,0,-0.106911288040314,-0.0319125672388554,0,0,0,0,0,-0.071745300170502
