,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.291047309379727,0.365778083463329,0.156531499385015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131626299444787,0,0,0,0,0,0,0,0,-0.0166897436141854,0,0.00290673999043893,0,0,0,0,0,0,0.0597977189476875,0,0,0,0,0.0362305949087878,0
X601939.CH.EQUITY,0.024534415789675,0,0,0.126117641518128,0,0,0.0818632680039853,0,0,0,0,0,0,0.228433877578337,0.20486622873852,0,0,0,0,0,0.0937430946218035,1.73472347597681e-18,0,0,0,0,0,0.0536925832598343,0,-0.0495560812857198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.308984169698831,0.158147704764649,0,0.0601724386563612,0,0,0,0.0345705104134562,0,0,-0.0192224030181744,0.101720165728517,0,0,0,0,0,0,0,0,0,0,0.0686070832271129,0,-0.0107990853081983,0.0835856737528965,0,0,0,0,0,0.0595189635842588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774415080147877
X601988.CH.EQUITY,0.129082462382271,0,0.415810360040285,0,0.0781061446166765,0.0621005497248474,0,0,0,0.20766568717897,0,0,0,0,0,0,0,0,0,0,0.2184974179573,0,0,0,8.67361737988404e-19,0,0,0.0560623407897611,0.126670845052671,0,0,0,0,-0.149051125222872,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0698691784962079,0,0.34802965204287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126317010391793,-0.0177892538677454,0.521492827392028,0,0,0,-0.126099671896386,0.31109876742984,0,-0.167388290729735,0,0,0,0.196922110632903,0,0,1.73472347597681e-18,0.119753819410493,0,0,0,0,0
X601658.CH.Equity,0,0,0.0830528300851678,0.0864477950681542,0,0,0,0,0.291596511595614,0,0,0,0,0.064152056170893,0,0,0,0,0,0.0997651200682566,0,0,0,0.136852133101886,0,0,0,0.0884961557561898,0,0,-0.0757356924116677,0,0,0,0,0,0,0,0,0.124306798399598,0,0,0,0,-0.0178619824566105,0,0,0,0,0
X601328.CH.EQUITY,0.0406033760797086,0,0,0.0630355346223221,0,0,0,0,0,0,0,0,0.0633221275072399,0,0.28214289988034,0,0,0,0.332275418397354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465034545129982,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00269117207312035,0,0,0,0,0,0,0,0,0,0.16195757006059,0.0272607440521037,0.0161718444965957,0,0,0,0,8.67361737988404e-19,0,0,0,0.582608449970965,0,0,0,0,0.00943337738510414,0,0,0,0.0152476392149249,0,0,0,0.0271097596651996,0,0,0,0,0,0,0.00602316684415095,0,0,0
X600036.CH.EQUITY,0,0.0422408413727208,0,0,0,0,0,0.241319587589878,0,0.239199552481314,0,0,0,0,0,0.107585053360288,0,0,0,0,0.130505044371923,0,0,0,0,0,0,0,0,0,0,0,0.265810797247776,0,0,0,0,0,0,0,0,0,0,0.197617886364946,0,0,0,0,0,0
X601166.CH.EQUITY,0.0017851571698933,0,0,0.0808412030553716,0,0,0,0,0.0943089700104585,0,0.206409844689034,1.73472347597681e-18,0.0261170487957895,0,0,0,0,0,0.111615262452603,0,0,0,0,0,0,0,0,0.286753209267832,0,0,0,0,0,0,0,0,0,-0.159508924267432,0,0.0855309254070276,0,0,0,0,0,0,0,0,0,-0.144536557748598
