,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X5880.TT.EQUITY,X601336.CH.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,-0.0998306603330158,0,0,0,0,0,-0.230183373199456,0,-0.112681140011299,0.0504478432859015,-0.0305548994023588,0,-0.43758680627282,-0.0925542662429953,0,0.237849518392621,0,0,0.876208256457388,0,0,0,0,0,0,0,0.0150420369131716,0,0.280726371415446,0,0,0,0,0,0,0,0,0,-0.0186164975226023,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,-0.0751816756698422,0,0,0,0,0,0,0,0,0.00178606928611531,0.185458438907709,0,0.0654477801476166,0,0,0.0413719197573445,0,0,0.033333996640138,0,0,-0.0915470306359577,0,0,0,0,0,0,0,0,0,-0.161520649775283,0,0,0,-0.3042873446671,0,0,0.115153584318522,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0940281352455561,0,0,0,0.0311616902844309,0,0,0,0,0,0,0,0,0,0,0,0,0.0283973929276506,0,0,0,0.170279710645737,0,0,0.226342895556295,0,0,0,0,0,0,0,0,0,-0.109186986501293,0,0,0.0639081155609552,0,0,0,0.167780732578315,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.0485905233450973,0,0,0,0,0,0,0,0,0,0,0,0.220837438028882,0,0,0.141266775290933,0,0.110108298740149,0,0,0,0.0777132885373358,0,0.191958781822811,0,0,0,0,-0.324062295840509,0,0,0,0,0,0.0267932661244046,0,0,-0.131079178210483,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.0672157867407914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115824931304888,0,0.140791797110463,0,0,0,0,0.106309147816548,0,0.471565904009124,0,-0.0601055548503496,0,0,0,0,0,0,0,0,0.138949991277716,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207623038923724,0,-0.0844337899973458,0.2571144816877,0,0,0,-0.340375680213513,0,0,0.167804000063996,0,0,-0.0509171476278615,0,0,0.00675584720907406,0.000876589510860688,0,0,0,0,0,0,0,0,0.0760049380836799,0,-0.105595357224106,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.018619014376975,0,0,0.0594662452593447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257321405687454,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,-0.0468807126344208,0,0,0.255081201080562,0.0466907402598166,0.246022177950212,0.042900705780003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124702896999502,0,0,0,0,0,0,0,0.0194026007146358,0,0.195067419862749,0,0,0,0,0,0.182851657334581,0,0,0,0.112332080104145,0,0,0
X600036.CH.EQUITY,0,0.00422209872742777,0,0,0,0,0.0577161616448308,0,0,0,0.100100963417935,0,0,0,0,0,0.211184730086744,0,0.0202502772271791,0,0.0808725462818671,0,0,0.00465296862953057,0,0.443934778350162,0,0,0,0,0,0.0830517726481247,0,0,0,0,0,0,0,0,0,0,0.170271052878738,0,0,0,0,0,0,0.0948781014770712
X267.HK.EQUITY,0,0,0.134033392732872,0,0.141392241751716,0,0,0,0,0,0,0,0,0,-0.0513501671617877,0,0,0,0.26634999414032,0,0,0,-0.114622495939813,0,0,0,0,0.0750469493842451,0,0,0,0,0,0,0,0,0,0.0403399525160876,-0.178143687529739,0.44584043523392,0,0,0.13215667653067,0,0,0,0,0,0.0628555846128648,0
