,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.246085695717478,0,0,0,0,0,0,0,0,0,0,0.0387120829206691,0.00676726683413543,0.0567568264163135,0,0.0770506188886217,0,0.0717956430270819,0,0,0,0.432139783182657,0,0,0,0,0,0,0,0,0,0.0499321559275985,0,0,0,0,0,0,0,0,0,0,0.0688711284093007,0,0,0,0,0,0
X601939.CH.EQUITY,0.0984148771199262,0,0.0665245925452794,0,0.00135361864979674,0.145102806786323,0,0,0,0,0,0,0,0,0,0,0.0618776018316949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187669952384025,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.131381834809725,0,0.00619303348737873,0,0,0.0408166864427153,0.107429405132867,0,0.0907488721533077,0,0,0,0.252606311490624,0,0,0,0,0.234579581691244,0,0,0,0,-0.0300131245810047,0,0.0239165400399786,0,-0.0713589491704026,0,0,0,0,0,0,0,0,0,0.0904375221826157,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.432190548466786,0.276861703867867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453901558878794,0.0633805643336553,0,0.0852644337487533,0.151810163882953,0,0,0.0642045470332886,0.0416348902780938,0,0,0,0,0.0687867873303751,0,0,0.018664979402424,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029847544770949,0,0,0,0,0.578332013716097,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017885188698497,0,0,0.0778573238517191,0,0.329287095532876,0.119001151135764,0,0.192464675376578,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.233909428905009,0,0,0,0,0,0,0.00739243154511446,0,0.114845047908135,0,0,-6.93889390390723e-18,0.362568569748429,0,0,0,0,0,0,0.0789718412843687,0,0,0,-0.00626501977893874,0,0,0,0,0,0,0,0.0204974036101911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.189786670351415,0,0.0822192382724311,0,0,0,0,0,0.00244107828155362,0.0502982548741054,0.0458662944513766,0,0,0,0.276266345236125,0,0.137326623753454,0,0,0,0.0435544401434505,0,0,0,0,0,0,0,0,0,0,0,0,0.0286601684856504,0,0,0,0,0,0,0,0,0,0.0765124673831946,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470653064395019,0,0.0386310354239129,0.191567555576412,0,0,0,0,0.122087322260705,0,0,0.131120768169276,0,0,0,0,0,0.158587348564702,0,0.0585738689006091,0,0,0,0,0,0,0,0,0,0,0,0.0808653645640423,0,0,0
X600036.CH.EQUITY,0.0195476815679747,0,0,0.167535714037315,0,0,0,0,0,0,0,0.128734837571109,0,0,0,0,0.155918266103738,0,0,0,0.13078013628791,0,0,0,0.155952364352077,0,0,0,0,0,0,0.0985522984864372,0,0,0,0,0,0.00598196782412325,0,0,0,0,0,0,0,0,0.250255569510953,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.104862681853998,0,0,0,0.0132821443334974,0,0,0,0,0,0.195325606254577,0.0425750549314481,0.024520017405439,0,0,0,0.244241799621272,0,0.0251248827755481,0,0,0.223636021096376,0,0,0,0,0,-0.0795907496053767,0,0,-0.0602697419037002,0,0,0,0,0,0,0.0934913740008407,0,0,0,0,0,0
X267.HK.EQUITY,0.721900142171837,0,0,0,0,0.268967073848829,0.0436452648467114,0,0,0.352119706969697,0,0,0.0698634725391614,0,6.93889390390723e-18,0,0,0,0,0.0608937706603865,-0.205435660002617,0,0,-0.359799925047926,0,0,-0.412183718771988,0,-0.0489511684924725,0,0,0,-0.0188524220467023,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0590580695623192,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.0911990662449673,0,0,0,0,0,0,0,0,0.0811481233249352,0,0,0.128694111315264,-0.112528531472261,0,0,0,0,-0.380277485702939,0,0,0,0.0835911372238748,0,0.59939056454895,0,0,0,0,0.025243418438489,0,0,0,0.37618471494159,-0.0582096990624009,0.0394722932490741,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0968516232013929,0,0,0,0,0,0,0.0280688811078628,0,0,0,0,0,0,0,0,0.0572582432583535,0.513511809047744,0,0,0.035736311185254,0.0578797273374789,0,0,0,0,0.00552869396407888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911284535605753,0
