,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.360913419447563,0,0.310462831049548,0,0,0,0,0,0.0477131107862732,0,0,0,0,0.051336243757315,0,0,0,0,-0.044447275369074,0,0,0,0,0,0,0,0.0441584206665612,0,0,0,0,0,0,0,0,0,0,0,0,0.0902134953487314,0,0,0,0.0582119803722725,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883
X601939.CH.EQUITY,0,0,0,0.340426369064392,0,0.0711692370309177,0,0,0,0,0,0,0.434309309410635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0544544097691827,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.393470481329948,0,0,0,0,0.2673898280972,0,0,0,-0.0229975268232842,0,0,0,0,0.0443542983906962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206155885953514,0,0,3.65776940745061e-05,6.93889390390723e-18,0,0,0.0144753358853,0.0968339616936244
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.193424497402094,0,0,0,0,0,0,0,0,0,0.528746753085807,0.0228332164813441,0,0,0.0380220359989434,0,0,0,0,0.176131271653755,0.0488779965579487,0,0,0,0,0,0,0,0,0,-0.0463322367725618,0,0,0,0,0,0,0,0,0,0.087211129323923,0
X601988.CH.EQUITY,0.386315932960214,0,0,0.00304036998121484,0,0,0,0,0,0,0.0657797295240015,0,0,0,0,0,0,0,0.0148188539216591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162132889223125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330869721900404,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.337453009813103,-0.0214371801652351,0,0,0,0,0,0,0,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0.0482522312500569,0,0,0,0.077204974316153,0,0,0,0,0,0.017677165724211,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0750608151567217,0,0,0,0.42838663430173,0,0,0,0.120450230445865,0.0536318123396504,0,0,0,0,0,0,0,-0.0349440121355417,0.406744071437922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201
X601658.CH.Equity,0,0,0,0,0,0,-0.109726637033535,0,0,0,0.264407526221063,-0.17643832084176,0,0.184347745787245,-0.225261674942909,0,0,0,0,0,0,0,0,0.626426902779303,0,0,0,0,0,0,0.118878582858358,0,0,0,-0.00753918753800099,0,0,0,0,0,-1.16855286554485,0,0,0,-0.255728098125316,1.16832996131182,0,0,0,0
