,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.337696753320501,0,0.160113842462195,0,0.0774671452319424,0,0,0.221843877793057,0,0.144833959293768,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0763032297741655,0,0,0,0,0,0,0,0.0600670519063976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.408211240928831,0,0,0.199559436101791,0,0,-0.125285916354045,0,0,0.0351381546177725,0,0,0.191875047062087,-0.0375575104262435,0,0,0,0,0,0,0,0,0,0,-0.00643055077617861,0.0150687491163022,0,0,0,0,0,0,0,0,0,0,-0.0231629342295448,0,0,0,0,0,0,0,0,0,0,0.18996616565708,0,0
X601318.CH.EQUITY,0.0239099001249385,0,0,0,0,0,0,0,0,0,0.256875082890452,0,0,0,0,0,0,0,0,0,0,0.178573242913943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192624115099439,0,0,0,0,0,0,0.0600121912904836,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.286772555806806,0.165554332096726,0,0,0.117772695204389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163975562514198,0,0,0,0,0,0,0.00521903580307065,0,0,0,0.0359932134368874,0,0,0.0272236043491944,0,0,0,0.108536710987431,0,0,0.0790227872940483,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00338085353323694,0,0.51666478638867,0,0,0,0,0,0.281611472314112,0,0,0,0,0,0.0698401493811983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164790036605555,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0351430871785414,0,0,0,0,0,0,0,0,0.371481624957815,0,0,0,0,0,0,0,0,0,0,0.03544999812625,0.0244643090093834,0.124077614794073,0,0,0,0,0,0,0,0.0131113616504476,0.0876362123104178,0,0,0,0,0,0,0.054647650100939,0,0,0,0,0,0,0,0.280636370209183,0
X1299.HK.EQUITY,0,0,0,0,0,0.118234816616742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399498592847858,0.203437844600201,0,0,0.0731223598592263,0,0,0.188290536466431,0,0,0,0,0,0,0,0,0,0,0,0.195051958471031,0,0,0
X5.HK.EQUITY,0,-0.148945106597739,0,0,0,0,0,0,0,0,0,0,0,0,0.391548572485849,0,-0.122186402023189,0,0,0,0,0,0.637669636660218,-0.874833812691423,0,0,0.74932178815357,0,0,0,0,0,0,0,0,0,0,0,0,0.228653055720037,0,0,0,0,0,0,0,0,0.146479938273303,0
X601628.CH.EQUITY,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126519022701547,0,0,0.145072007470559,0,0.126429561246086,0,0,0,0,0,0,0.188097425972371,0,0,0,0,0,0,0,0,0,0,0.0449599059224224,0,0,0.0273075866689381,0,0,0,0,0.249531812060544,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.127836881304049,3.46944695195361e-18,0.264205088760328,0,0,0.400656051409001,0,0,0,0,0,0,0.129970742422572,0,0,0,0,0.0891833763273349,0,0,0,0,0,0,0,0,0,0
