,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.488852607826577,0.124103961985961,0,0,0,0,0,0.0970811674090195,-0.0769403902513694,0.116176610564468,0,0,-0.0792377104215837,0,0,0,0,0,0,0,0,0,-0.034217417226504,0,0,0,0,0,0,0,0,0,0,0,0,0.0273962299352335,0,0,0,0,0,0,0,0,0,0.0910413296446732,0.0770832586183353,0,0
X601939.CH.EQUITY,0.534120847031591,0,0,0.146521645946196,0,0,-0.111180630638876,0,0,0.0159228418619014,-5.42101086242752e-20,0,0,0.321535722501567,-0.0372210204648009,0,0,0,0,0,0,-0.122778075284877,0,0,-0.0173800932793546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889711212332717,0,0
X601318.CH.EQUITY,0,0,0,0,0.222440519543373,0,0,0,0,0,0,0,0,0,0.0400735707717957,0,0,0,0,0,0,0.19051265813898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185229962493,0,0,0,0,0,0.205511854567414,0,0.00553478969639451,0,0,0,0,0.0812477112586102
X601288.CH.EQUITY,0.372239611539949,0,0,0,0.215066050001646,0,0,0,0,0,0,0,0,0.145765452345416,0,0,0,0,0,0.0914433290063362,0.0312784905714143,0,0,0,0,0,0,0,0,0,0,0,0,0.0830734077729721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467710256203594
X601988.CH.EQUITY,0,0,0,0.500464796239475,0,0,0,0,0,0.216712319628903,0,0,0,0,0,0.327162740140393,0,0.0761082543321554,0,0,0.0173893533413855,0,0,0,0,0,0,0.0215103732892754,0,0,0,0,0,0,0,0,0,-0.56561329983944,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278306881739022,0,0,0,0,0,0.0920471572914921,0,3.46944695195361e-18,0,0,0,0.0101091002918832,0,0,0,0,0,0.186830516613042,0.0433598833036156,0,0.0906640809771807,0,0,0,0.0161002123754638,0,0,0,0,0.172107556949031,0,0,0,0,0.105900461068455,0,0.0157206530069896,0
X1299.HK.EQUITY,0.0879301495936926,0,0,0,0,0,0,0,0.186130493887055,0,0,0,0,0.0940056097742925,0,0,0.0569111907595029,0,0,0,0,0,0.0112360898748273,0,0,0,0,0,0.250939169678238,0,0,0.101228591089058,0,0,0,0.0487207211253627,0,0,0,0,0,0,0,0.0253885890923128,0,0,0.0642967571525579,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.232602588049549,0.0370809527399239,-0.140538701521262,0,0,-0.227304485050932,0,0,0,0,-0.351006249346884,0.457290720611056,0,0,0.753114431259789,0,0,0,0,0,0,0,0,0,0,0,0.391437231839928,0,0,0,0,-0.325381890989365,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.0307380923383163,0,0,0,0,0,0,0,0,0,0,0.0445116232119173,0,0,0.0888949516790018,0.105346135567824,0,0,0.105785333349518,0,0,0,0.249081124353353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610773625217769,0,0,0,0,0.311132076753879,0.0383463040949781,0
X601658.CH.Equity,0,0,0,0.17704223685069,0.057639547339513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.111057177433322,0.282023547852885,0,0,0,0,0,0,0,0,0,0.0601624221940627,0,0,0,0,0,0,0,0,0.336638910435796,0,0
