,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0906980349173716,0,0,0,0,0,0,0,0.0529171427300935,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0708691010392399,0,0,0,0.531914861160357,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207769061499678,0.487767011215884,0,0,0,0,0,0,0,0,-0.0519967625581923
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256410117548877,0.0170719635402644,0.0860989219939333,0,0.0467052677173501,0,0,0,0,0.116175778221511,0,0,0,0,0,0,0,0,0,0.253836378462894,0,0,0,0.19923160415886,0,0.0208045999775447,0.0680855726591617,0,0,0,0,0,0
X601939.CH.EQUITY,0.57666160370698,0,0,0,0,0,0,0,0,0.0503476407383831,0,0,0,0,0,-3.22789881583015e-05,-0.0306214711611297,0,0,0.232678734690827,0,0,0.0148616229723036,0,0,-0.100527759179427,-0.513381043200592,0,0,0,0,0,0,0,-0.140096289535548,0,0,0,0,0,0.54339764023342,0,-0.0870425563328357,0,0,0.171582043487522,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0516411707073921,0,0.153106926724193,0,0.258878215720016,0,0.0217871571406383,0,0.350892450866334,-0.103164581669222,0,0,0,0,-0.074690311024985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0592245292052925,0,0,0,0.172359773602184,0.368901999351348,0,0,0,0,0,0,0,0,0.0168122269115255,0,0,0,0,0,0,0,0,0,0,0,-0.20801409974813,0,0,0,0,0,0,0,0,0.120804602573198,0,0,0.298647184882359,0,0,0,0,0,-0.0881775216072527,0,0,0.0487541831955604
X601988.CH.EQUITY,0,0,0,0,0.330057754553729,0,0,0,0,0,0.161809782392523,0,0,0,0.19424702203946,0,0,0,0,-0.0957311182507586,-0.124740216681316,0,0,0,0.24370603794841,0,0,0,0,0,-0.233193935119226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235026588364384
X1299.HK.EQUITY,0,0,0,0,0.181663918619936,-0.0260481842969827,0,0,0,0,0,0,0,0,0,0.0810284969809765,0,0.138435097564125,0,0,0,0,0,0,0,0.0758646067310232,0,0,0,0.116712668432867,0,0,0.0655775863786581,0.0333325589514609,0,0,0.457529685951431,0,0,0,0,0,0,-0.187761797293322,0,0,0,0,0
X600036.CH.EQUITY,0,0.0292048212259295,0,0,0,0,-0.0373679046125664,0,0,0.518878745433096,0,0,0,0,0,0,0.114252902199709,0,0,0,0.289336487898805,0,0,0,0,0,0,0,0.154263563821961,0,0,0,-0.150425741419431,0,0,0,0,-0.153399818536984,-0.01518099699093,-0.0419027737644829,0,0,0,0.176957517006196,0,-0.0732888841606236,0,0,0
X601628.CH.EQUITY,0,0.165863947902854,0,0.0737775000061961,0,0,0,0,0,0,0,0,0,0,0,0,0.139702176977979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.176079158389594,0.135550895185968,0,0,0,0,0,0.155542754026901,0.105934450978969,0.136139156035035,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0703702084251416,0,0,0,0,0.705511153444037,0,0,0,0,0,0,0,0,0,0,0,0,0.0921429888824732,0,0,0.0167156130963074,0,0,0,0,0,0,0,0,0.026304789062682,0,0,0,0,0,0,0,0,0,0,0.00914791472741587,0,-0.143016700207427,0,-0.0387575440850781,0
