,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0.282537807522949,0.0432664438000484,0.0108641941340296,0,0,0.431390435364887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102310516647704,0,0,0,0.0488191405675089,0,0,0,0.0184661515612074,0,0,0,0,0,0,0.0747088160713431,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.182689367290316,0,0,0,0,0,0.203955536471013,0,0,0,0.0551510400692844,0,0.165326428649128,0,0,0.0969801223241994,0,0.0516795754275129,0,0,0,0,0,0,0,0,0.1165989547509,0,0,0,0,0,0,0.0526326700411162,0,0.023047131336972,0,0,0,0,0,0,0.0662806295424959,0,0,0,0,0
X601939.CH.EQUITY,0.518911867448361,0.227677079331695,0,0,0,0,0,0.0462611252794886,0,0,0,0,0,0,0,0,0.0496726115094344,0,0,0,0,-0.138633448070768,0,0,0,0,0,0,0.183219670222289,0,0,0,0.125545147483463,0,0,0,0,0,-0.187645018645871,0,0,0,0,0,0,0,0,0,0,0.113672475275738
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.557879916767688,0,-0.0832255949858805,0,0.0471269252231524,0,0,0,0,0,0,0,0.0066943906376152,0,0.0688998648026087,0.0977893042455187,0.0822715579427224,0,0,0,0,0.115451971456849,0,0,0,0.0499748819000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580671647447546,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.194113846100438,0.0144973354206599,0.0257162893690558,0,0,0,-0.155281573595464,0.199272509649357,0,0,0.148894947233006,0,0,0,0,0,0,0.177824384432532,0,0,0,0.178936338934386,0,0,0,0,0,0,0,0,0,0,0,0,0.0235236440781785,0,0,0,0,0,0,0,-0.101182169767694,0,0.337247225974757
X1299.HK.EQUITY,0,0,-0.235046406145275,0,0,0,0,0,0,0.129632915016919,0,0,0,0,0,0,0,0,0,0,0,0,0.0206720133955195,0.103390420422667,0,0,0,0,0,0,0,0,0.203598004853049,0,0,0,0,0.0111356921653808,0.174879514506467,0,0.0344626305253708,0.102261668395379,0.314636003849155,0,0,0,0.279421766032392,0,0,0
X601628.CH.EQUITY,0.114505805881818,0,0,0,0,0,0,0,0,0,0,0,-0.0556227881024058,0,0,-0.202329141285148,0,0,0,0,0,0.174172115491109,0,0,0.0149406887912132,0,-0.100585702935388,0,0,0,-0.0156167488056167,0,0,0,0.576803855904401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0968604552307497,0,0.0901453507127012,0.337471123063304,0,0,0,0,0,0,0,0,0.243304130711318,0,0,0,0.096620495540835,0,0,0,0,0,0.0388448329117862,0.0207965899895469,0,0,0,0,0,0.128454886945095,0,0,0,0,0,0,0,0,0,0,0,0,0.0107110624057885,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.279546562872589,0,0,0,0,0,0,0,0,0,0,0,-0.15077545206681,0,0,0,0,0,0,0,0,0,0.245132730062923,0,0.155843428112402,0,0.0243958501410331,0,0,0,0,0.0275503424695762,0,0,0,0,0,0,0,0.272361093465272,0,0.146641802612206,0,0,0,0,0.0941865401229603,0,0
X388.HK.EQUITY,0,0,0,0,-0.29053181179749,0.201255847441505,-0.0566879274084562,0,0,0,0,0,0.0572140314931893,0,0,0.00637916805004324,0,0,0,0,-0.048830957225039,0.531385279430968,0,0,0,0,0,0.0560476141707037,0,0,0,0,-0.125560784937727,0,0,0,0,0,0.119639585310235,0.143352416157417,0,0,0,0,0,-0.17254971590068,0.0916778144776881,0,0,0
