,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.205043477046159,0,0.0322705912017109,0.00212787824454009,0,0.393189367798366,0,0,0,0,0,0,0.00814783942830564,0,0,0,0,0,0,0,0,0,0,0.250370540627665,0,0.0427164926971617,0,0,0,0,0,0.086380715813477,0.0532662208201398,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926619874682427,0
X601318.CH.EQUITY,0,0,0.117439248996319,0,0,0,0,0,0.250230091707142,0,0,0,0.0325948782204056,0.269511571931499,0,0,0.0450378527629553,0,0,0,0,0,0,0,0,0,0,0.179258237095511,0.216611810370168,0.0621531801416773,0,0,0,0,0,0,0,0,0.0149652333686266,0,0,0,0,0,-0.112199099963613,0,0.0625744193834027,0.0208326778067827,0,0
X601939.CH.EQUITY,0.313035641817223,0.0285788970383591,0,0,0,0,0,0.31207056131817,0.29370306205584,0,0,0,0,0,0,0.214574561578079,0,0.011934241791027,0,0,0,0,0,0,0,0,0.142859924514582,0,0.226900399509861,0,-0.0288170835207522,0,0,0.0627168579965353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.182346222659282,0,0,0.0601653821407497,-0.115168273549279,0,-0.0749928157054103,0.121399803954045,0,0,0.131584928031692,0,0,0.156349012130817,0,0,0,0,0,0,0,0.412412230642833,0,0.0313731110453043,0,0,0,0,0,0,0,0,0,0,-0.0562406023348669,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.105364822931311,0,0,0,0,0.486849944884232,0,-0.0557313167461031,0,0.0471148695667758,0,0,0,0,0,0,0,0,0,0,0.141739764226964,0,0,0.0678732068541653,0,0,0.134550526061834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163476345788981,0,0,0.00280604356279973
X1299.HK.EQUITY,0,0,-0.129965685478245,0,0,0,0,0,0,0.192863087154213,0,-0.098911271812496,-0.0220810992984697,0,0,0,0,0,0,0,0,0,0.161814662293571,0,0,0,0,0,0,0,0.0895568640512042,0,0,0.148670278826342,0.00891141839839221,0,0,0,0.226855731535376,0,0,-3.46944695195361e-18,0.223896388286759,0.032589625832599,0,0.0591836758249562,0,0,0.171391352864881,0
X601628.CH.EQUITY,0.0300354388668806,0,0,0,0,0,0,0,0,0,0,0,-0.0232049264566422,0,0,-0.0114665852694708,0.0781874711715931,0,0,0,0,0,0,-0.132047670024424,0,0,0,0,0,-0.016140204134572,0,0,0,0,0,0,0,0.45190843008304,0,0,0,0,0,1.73472347597681e-18,0,0,0.053742706646898,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.527361111794617,0,0,0,-0.0079557749684177,0,0,0,0,0,0,0,0,0.283231288198449,0.0432390557118229,0.147529383538536,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041947088852603,0,0,0,0,0,0,0,0,0,0,-0.0982965134323524,0,0,0.00141493510440599,0,0
X5.HK.EQUITY,0,0,0.00879942164190044,0,0,0,0,0,0,0,0.156396016811722,0,0,0,0,0,0,0,0,0,0,0,0.239959149669792,0.0505962514250736,0.0770233259334868,0,0,0,0,0,0,0.0156817653874309,0,0.217552570369455,8.67361737988404e-19,0,0,0,0,0.29366020183851,0,0,0.141252362516378,0,0,0,0.0985148981709081,0,0,0
X388.HK.EQUITY,0,0,0,-0.175453278320575,0.0568779162939456,0,-0.140376667867748,0,-0.17233278832303,0,0,0,0,0,0,0,0,0,0,0,0,0.138249035464732,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.226756376321188,0,0,0,0.222589399550394,0,0,0.179594045506438,0,0,0,0,0.276825770319422,0,0,0.197624095603822,0
X601166.CH.EQUITY,0,0,0,0.0307875505678553,0,0,0,0,0,-0.0633544893933763,0,0,0.434720120558382,0,-0.0524680791771061,0,0,0,0,0,-0.16206656861211,0,-0.0312038314543918,0,0,0,0,-0.0197576966294398,0.27186418542987,0.154378705399186,0,0.0185813376467461,0,0.101343567128871,0,0,0,0.0796153843247889,0,0,0,0,0,0,0,-0.0812589494966606,0.0343739745559793,0,0,0
X601658.CH.Equity,0,0,0,-0.302222953493598,0.176861795681511,0,0.0522214961521754,0.317954037877841,0,0,0.364131274057565,0,0,0,0,0.00209739664308555,0.188150750242514,0.222775376842656,0,0,0,0,0,0,0,0,0,-0.426667291589327,0.0442283608323496,0,0,0,0,0,0.138348986177753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.0192976716383787,0,0,0,0,0,0,0,0,0.494395156866723,0,0,0.0652745780630197,0,0,0.11376186968359,0,-0.101598860663368,0,0,0,0,0.347760214360232,0,0,0,0,0.154850288690472,0,0,0,0,-0.0425440615748613,0,0,0,0,0.00684300933254457,0,0,0,0,0,0,0,0,0,0,-0.275637800393209
