,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.0122200026953384,0,0.334128365672177,0,0.0924009986735445,0,0,0,0,0,0,0,0,0,0.0701895365641949,0.129599655150921,0,0,0,-0.0156517978434071,-0.0159415331387864,0,0,0,0,0,-3.46944695195361e-18,-0.0180049206556391,0,0,0,0,0,0.161242668958756,0,0,0.158859580607634,0,0,0,0,0,0,0.0776775018376396,-0.0274844572667959,0,0,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,-0.0299883248019181,0,0,0,0,0.080295594236244,0,0,0,0,0.363376576746248,0,0.0506572621656613,0,0,0,0,0,0,0,0,0,0.0198431943384607,0,0.0445290778008582,0,0,0,0.12579782215357,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.749521943064288,0,0,0,0,0.0370219635183568,0.130109685438033,0,0,-0.0620954628310513,0,0,0,0.0456097269790718,0,0.03078167011135,0,0,0,0.0180371771933834,0,0,0.00381170430904744,0,0.0106785755001233,0,0,0,0,0,0,0.123649814471928,0,0,0,0,0.051702981781167,0,0,0,0,0,0.0418287460260382,0,0,0
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.160333716057287,0,0.0669372241095604,0,0,0,0,0,0,0.335275844267697,0,0,0.196744967114477,0,0.0888626418345242,0,0,-0.00443348418740184,0,0,0,0,0,0.160792786387722,0.0343862819065455,0.0767435546430878,0,0,0,0,0,0,0,0,0,0,0,0.150681103210552,0,0,0
X601288.CH.EQUITY,0,0,0.951137716222327,0.0107510139396221,0,0,0,-0.062139517466234,0,0,0.0701379154565667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405901851434523,0,0,0,0,0,-0.0245724967195441,0,0,0.00276395615481057,-0.0647610255069404,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.228066857431973,0.0740172246268275,0,0.159018818728378,0,0,0.0961261488668679,0,0,0,0,0,0,0.255796726690446,0,0,0.0865655355157485,0,0,0,0,0,0,0,0.203707078807708,0,0,0.0558058014978936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0820835767680903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208568213759815,0,0,0,0.0978552031823977,0,-0.0400620395013929,0,0,0,0,0,0,0,-0.0248956775391023,0,-0.0367472561096212,0,0,0,-0.146350876623615,0.904549653744501,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0320594781703994,0,0,0,0,0,0,0,0,0,0,-0.0407730513456176,0,0.280171423121186,0,0,0.122790163762903,0.0174659371297797,0,0,-0.16026525165574,0,0.0457947696983207,0,0,0,0,0.118003141571709,0.0913892970395515,0,0,0,0.152736582981307,0,0.171835515684782,-0.0941066795348873,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.22530240848207,0,0,0,0,0,-0.0474597579449357,0,0,0,0,0,0,0,0.0826446851388168,0.345556529446882,0,0.12603133744802,0,0,0,0,-0.0545534119585392,0,0,0.0917950305429315,0,0,-0.0486665992130923,0.147202598365658,0,0.313558247699429,0.0339202042928125,0,0,0,0,0.0682687280868668
X388.HK.EQUITY,0,0.112714433796605,0,0.0136934098969722,0,0,0,0.0164820138266353,0,0,0,0.135340094572528,0,0,0,0,0,0,0,0,0.117594815744513,-3.46944695195361e-18,0.103926224091678,0,0,0,0,0,0,0.0796907004646727,0,0,0,0,0,0,0.0404373821687657,0.107085711508289,0.307288223219383,0,0,0,-0.319016947946361,0.0052913218313232,0,0,0.265496874660775,-1.38777878078145e-17,0,0
