,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0,0.0954442468402418,0,0.402448510163301,0,0,0,0,-0.00950477287980977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294691604130015,0,0,0,0,0,0.0526434487199533,0,0,0,0.188973081703796,0,0,0,0,0,0,0,0,0,0.0751966537667593,0.249768404641617,0.0405583823766894
X601318.CH.EQUITY,0,0,0,0,0,0,0.0724380356590417,0,0.042283438048833,0.0109576825094087,0,0,0,0.000900759873412637,0,0,3.46944695195361e-18,0,0.266794719252248,0,0.339860926024552,0,0,0.0962782956521294,0,0.0342151147706177,-8.67361737988404e-19,0.174762749555126,0,0,0,0,0,0.0756731443764195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000745957600338766,0,0
X601939.CH.EQUITY,0,0,0,0,0.333652610330959,0,0,0.0396481778490988,0,0,-0.0684284708039425,0,0,0,0.0185571250416181,0,0,0,0,0.0756383809367588,0,0,0,-0.141128614774162,0.464149106448124,0,0.157410476879432,0.0311090069448414,0,0,0,0,0,0,0,-0.126811880122404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.187130445948299,0,0,0,0.0726157591579166,0,0.0940981364191835,0,0,0,0,0,0.217394231670456,-8.67361737988404e-19,0,0,0,0,0,0,0.0320431756526421,0,0,0,0,0,0,0.33314371655569,0.110436995961912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.242823212895067,0,0.0631804612912474,0,0,0,-0.0180605830765386,0.0799124822464256,0.0801973838947299,0,0,-0.0393214614042327,0,0,-0.0648999999495668,0.233176738765946,0.0424636696479918,0,0,0,0,0,0,0,0.133911333063392,0,0,0,0,0,0,0,0,0,0,0,-0.0716911375642586,0,0,0,0,0,0,0,0,0.210503732018683,0,0,0,0
X601628.CH.EQUITY,0.0802748397067188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149896340145128,0,0,0,0,0,0,-0.0434723825976539,0,0.129647668051897,0,0,-0.109347158905622,0,0,0,0.159811227644293,0,0,0.0678906269579753,0,0.57731166012924,0,-0.0459076853453611,0,0.094504384743966,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.210530332588318,0,0,0,0,0,0.0158460441898447,0,0.166646080731785,-0.0402205541901671,0,-0.0596380312569677,-0.0454535478254469,0,0,0.117474737731836,0,-0.00805843050813645,0,0,0.183234021019418,0,0,0,0,0,0,-0.0379282136536772,0,0,0,0,0,0,-0.0476306346236875,0,0.145717246976229,0.184216976505497,0,0.10506870470975,0.171700399884323,0.21247382845539,0,0,0,0.0198402003145655,0,0
X601988.CH.EQUITY,0.156622328608091,0.00693292048591448,0.0196887879078249,0.344561426786211,0.108811849773128,0,0,0,0,0,0,0,0,0.0115671383907438,0,0.163901655505621,0,0,0,0,0,0,0,0,0,0,0,0.0856287171525199,0,0,0,0,-0.133826990081823,0.24951623651359,0,0,0,0,-0.0842078421982045,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.112711322705344,0,0,0,0,0,0,0,0,0,0,0,0,0.00436111820898561,0,0,0,0,0.11125971470971,0,0,0.152681149688674,0.0379134307586914,0,0,0.0281651609970715,0,0,0,0,0,0,0,0,0,0,0,0.283168336798968,0,-0.0501698778326301,0.261558282211582,0.184811946996506,0,0,0,-8.67361737988404e-19,0,0,0
X601658.CH.Equity,-8.67361737988404e-19,0,0.0306151338408016,0,0,0,0,0.134394168902684,0,0,0,0,0,0.132101166376155,0.129395233998253,4.33680868994202e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.128484520142872,0,0,0,0,-0.00382647941264497,0,0,0,0,0,-0.0144891962073589,-0.0533756348619864,0,0.154849924472071,0,0
