,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.257849454468357,0,0.247921159085179,0,0,0,0,0,0,0,0,0.284040320834901,0,0,0,0.055572106642357,0,0,0,0,-0.138451619007572,0,0,0,0,-0.0622355764971491,0,0,0,0,0,0,0,0,0,0.00611295734697339,0,0,0.0721023816341542,0,0,0,0,0,0,0,0.0711750086072132,0,0
X601318.CH.EQUITY,0,0,-0.0560587413594644,0,0,0.0632172549383949,0,0,0.220609801983288,0,0,0,0.129842328114613,0,0,0,0,0.21002540932019,0,0,0,0,0,-0.01568784328745,0,0,-0.0964180692519086,0,0,0,-0.145330804182975,0,0,0,0,0.215669471624238,0,0,0,0.135490890786735,-0.239815280058416,0,0.285678475925791,0,0,0.244032593853601,0,0,0,0
X601939.CH.EQUITY,0.610519491275139,0,0,0,0.0243460874931044,0,0,0,0,0,0.137182299364067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350951047383646,0.00598352569915627,0,0,0,0,0.0434759891536793,0,0,0.259052755025575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.321978102991744,0,0,0,0,0.405325517762753,0,0,0,0,0.0748791186035836,0,0,0,0,0,0.128924575588095,0.0450680694235919,0,-0.0701545109601277,0,0,0,0,0,-0.0147687631810341,-0.00605270560555817,0,0,0,0,0,0,0,0,-0.0832128071594799,0,0,0,0,0.16983174692496,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.26290423344718,-0.0228540724710286,0,0.030664704382769,0,0.0324010902702041,0,-0.252625575428288,0,0,0,0.245979027472605,0.00543991161201336,0,0,0,0,0,0,0,0.517344655199735,0.0571683738033087,0,0,0,0,0,0,0,0,0.126237695675251,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.122198654588141,-0.00829916739391559,0
X601988.CH.EQUITY,0.163380007999005,0.144701510904379,0.231015079529373,0,0,0,0,0,0.110555620250333,0,0,0.0748867270154639,0,-0.125599890604537,0,0,0,0,0,0,0.0322949173476129,0,0,0,0,0,0,0,0,0,0,0,0,0.15030972298888,0,0,0.141615191533088,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.179895939770075,0,0,0.0257254682103755,0,0.088012555668398,0,0.393055076763879,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0697028300899677,0,0,0.077412048070989,0,0,0,0.0623249771305907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449638522708357
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0462564828780721,0,0,0,0,0,0.242723850477916,0,0,0,0.0929773606830658,0,0,0,0,0.330360323047055,0,0.180085459947474,-0.0411323126276379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.279611123207569,0.215509567656734,0,0,0,0,0,0.107536518151145,0,0,0,0,0,0,0,0,0,0.00343268325101594,0,0,-0.200891325442563,0.103414044514858,0,0,0,0.0499388904907733,0,0,0,0,0,0,0.0251262081175253,0,0.0784368396645044,0,-0.279119801362136,0,0,0,0,0.0653487928577638,0.190554904787559,0.0118645563802034,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.111826682930977,-0.43847854887415,0,0,0,0,-0.0496495571939173,0,0,0,0,0,0.770774382910725,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.616563533875719,0.196091536505026,0,0,0.133711630854218,0,0,0.219589202189192,-0.0905756289868705,0,-0.0134093385725284
X601166.CH.EQUITY,0,0,0,0,0,0,0.458192801572263,0.0320353700083715,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0448520056211164,0.0965873911946556,-0.00539439032250568,0,0,0.363205924324457,0,0,0,0,0,0,0,-0.00270228425207178,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.084855614581019,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.548051411451545,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342293024601737,0,0,0,0,0,0,0.0548445402285051,0.141149287003209,0,0,0,0,0,0,0.0540325443315724,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.142719482884109,0.0565754056330746,0.0874674981720696,0,0,0,0,0.106971154728932,0,-0.00695492242367245,0.427531433729882,0,0,-0.0677042261179849,0,0,0,0,0,0,0,-0.025575551429791,0,0,0,0,3.46944695195361e-18,0,0,-0.027402643970398,0,0,0,0,0,0,-0.0957779092243255,0,0,0,0,0.347969288154022,0,0,0,0
X000002.CH.EQUITY,0,0.0408265445291014,0,0.0548256557302363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951784028983753,0,0,0,0,0,0,0,0.496597076773109,0.0241346986400027,0,0,0,0,0,0,0.241759311273611,0,0,0,0,-0.155439966650031,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.0385037741265512,0,0,0,0,0.287499084188134,0,-0.117097833381712,0,0,0,0.192967459479593,0,0,0,0,0,0.113537972378365,0,0,0,0,0,0.0342414927260979,0,0,0,0,0.248567471260068,0,0,0,0,0,0.286587499122928,-0.0538943702015027,0,0.0963900022754871,0,0,6.93889390390723e-18,0,0.107549742982464,0,0,0,0,0,0
