,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0594325530548377,0,0.131858314724536,0.170348351470777,0,0.348046999513796,0,0,0,0.0023603990418937,0,0.133317150847317,0,0,0,0,0,0,0,0,0,0.0110488860881875,0,0.00474641391826657,0,0,0.11223516036003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.13964337698636,0,0,0,0,0,0,0,0.314895214546125,0,0,0,0,0,0.0152248338005113,0.358824639204735,0,0,0,0.00995168094233586,0,0,0,0,8.67361737988404e-19,0.124808649317283,0.0239799312770207,0,0,0,-0.127729013071245,0,0,0.122128393953739,0,0,0.0661836988055844,0,0,0.011640015391222,-0.0457386403773683,0,0,0,0,0.004522347926684,0,0,0,0
X601939.CH.EQUITY,0.267987978531395,0,0,0,0,0,0,0,0,0,0,0,0,0.414924704885154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194542066662916,0,0.108782731573726,0,0,0.00680301299180809,0,0,0,0,0,0,0.00387795776311513,0
X601288.CH.EQUITY,0.343775746948556,0,0.0423960577719808,0,0,0.468818027881651,0,0,0,0,0,0,0,0,0.0357097988138101,-1.38777878078145e-17,0,0,0,-0.0109418469836636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112837554030908,0
X5.HK.EQUITY,0,0,0,-0.0301621189578899,0,0,0,0.164595802736724,0,0.155921082808809,0,0,0.370436472225054,0,0,0,2.77555756156289e-17,0,0,0,0,0.0485919592773572,0.689625698529029,0,0,0,0.0201868628760507,0,0,0,0,0,0,0.0965690021237492,0,0,0,0,0,0,-0.29477062253051,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.134465560495571,0.0556967317309206,0,0,0,0,0,0,0.113676147235319,0,0.0704593726860459,0,0,0.115556279759673,0,0,0,0,0.0684075998293905,0,0.158384570190105,0,0,0.115094956256831,0,0,0,0,0,0.0231093129403857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110977190808184,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.197053032225869,0,0,0.229187169618895,1.38777878078145e-17,0,0,0,0.17708507180078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149006549287833,0,0.00530075179158916,0.152876065621842,0,0,0.0961322658963247,0,0,0,0,-3.46944695195361e-18,0,0,0.0374014412283254,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.14668813034754,0,0,0,0,0,0,0,0.358922546526086,0.0238531057335972,0,0,1.73472347597681e-18,0,0.180205947215176,0.266882689004797,0,0,0,0,0,0,0.268728701411452,0,0,0,0,0,0,0,0.00966940096520221,0,0,0,0,0,0,0,0,0,0,0,0.0744820592728532,0
X601628.CH.EQUITY,0.306115250744378,0,0,0,0,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0,0,0,0,0,-0.0171384961375717,0,0,0,0,0.0823781517715766,0,0,0,0.0730168954014885,0,0.267095191930024,0,0,0,0,0.177793416373598,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.267943025361535,0,0,0,0,0,0.150516885173243,0,0,0,-0.0946363128332793,0,0,0,0,0,0,0.233894267361184,0,0,0,0,0,0,0.126362269452601,0,-0.145013910603467,0,0,0,0,-0.00999953753090638,0,0,0,0.802524630478459,0,0,0,0,0,0.355589737673068,-0.228190526536885,0
