,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY
X601998.CH.EQUITY,0.0975428316157256,0,0,0,0,0.426006859204205,0,0,0,0,0,0,0,0.144848390421469,0,0,0,0,0,0,0,0.0595385869555674,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0529675278362181,0,0,0,0,0,0,-0.0792859189586328,0,-0.233904893409176,0,0,0.380118280952819,0
X300059.CH.EQUITY,0,0,0,0,0,0.0290634794495557,0,0,0,0.0743116852023503,0,0.00604408593496516,0,0,0,0,-0.0538840291308171,0,0,0,0,0,0,0,0,0,0,0,0,0.137919340443255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486942343777488,0,0,0.372159241993178,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.0622057793527824,0.397553349898215,-0.146837641305481,0,0,0.0131317570953558,0,0,-0.0833946843171324,0,0,0,0,0.179016990910413,-0.0120821698068974,0,0,0,0,0,0.0867964214598931,0,0,0,-0.102276814354025,0,0.066082373380651,0,0,0.1050854254878,0,0,0.249130028121778,0,0,0,0,-0.070951194618205,0.00677790488713235,0,0,0,0
X1109.HK.EQUITY,0.185910807175523,0,0,0,0,0,0.148019785310503,0,0.0596563001637382,-0.0556510027411225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,-0.248034857267362,0,0,0.342642882777042,-0.00750862924288483,0,0.525804543310426,0.0620223441998736,0,0,0,0,0,0,0.0277604057174471,0.0863732056737313,0,0,0,0
X2388.HK.EQUITY,0.0620156916973395,0,0,0.00697305048077018,-0.00278274147737242,0,0,0.035212878574755,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.294640234329273,0,0,0,0,0,0,0,0,0,0,0.157449342078261,0.0748192647364,0,0,0,0.000496983449250639,0,0.0471362153371331,0,0,0,0.40403428503644,0,0
X267.HK.EQUITY,0,0.130066328912283,0,0,0,0,0,0,0.0612339570010528,0.105936140888685,0,0,0.114108933466427,0,0,0,0,0,0,0,0,0.201407336494334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860357317606003,0,0
X2007.HK.EQUITY,0.0622736550366803,0,0,0,0,0,0.0696620442590086,0.248077328509781,0.132440831761636,0,0,0,0,0,0,0.0881715212812953,-0.101307644088019,0,0,0,0,0,0.0661277533893277,0,0.102973409250046,0,0.169852877276839,0,0,0,0,0,0,0,0,0,0.0135519878208854,0,0,0.0218173397759865,0,-0.0259754975264342,0,0,0,-0.0176232672464083,0,0.145741125154021,0,0
X600048.CH.EQUITY,0,0,0,1.38777878078145e-17,0.0843235859979161,0,-4.33680868994202e-19,0,0,0,0.0051674429262213,0,0,0,0.019365672064566,0,0.329147634588795,0,0,0,0,0,0,0.0514596452513024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366131366212513,0,0.0361085176065202,-0.0277137851613207,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0.0974469376392468,0.218647627893345,0,0.098797748582758,0,0,0,0,0,0,0,0,0.0460352626157539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836300995847052,0,0,0,0,0,0.0132913590153653,0,0,0,0,0,0,0.0795226339339316,0,0,0,0,0,0,0,0.0451338531048622
X601688.CH.EQUITY,0.0141506430909792,0,0,0,0,0,0,0.0346920362651975,0,0,0,0,0,0,0,0,0.0850721751895266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548664106363015,0,0,0.569588178471445,0,0.0127605516888176,0,0,0,0.0294604778516079,-0.0350310405593814,0,0,0.291659935326682,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.320442036235096,0,0.0588905631941335,0.0378438783617806,0,0,0,0,0,0,0.0704388296864614,0,0,0,0,0,0.221523220589094,0,0,0.163064162955396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206116271565673,0,0,-0.161184864972919,0,0,0,0,0,0,0
