,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0.510145151119966,0,0.0526237721098717,0,0,0,0.0964625374057155,0,0,0,0,0.00423472419823453,0,-3.46944695195361e-18,0.019396154999685,0,0,0,0,0,0,0,0.232539687358161,0.0861976206515649,0,0,0.0361736139012078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0139306385241823,0,0.318902624766289,0,0,0,0.128390772429542,0,0,0,0,0,0.0679583350680931,0,0,0,-0.0291136575843069,-0.0357410873225245,0.057970611405673,0.210374733854137,0,0,0,0,0,0,0.153952361811073,0,0,0,0,0.00779930206664025,0,0,0.0602368490852872,0,0,0,0,0,0,0,0,0.112714551760888,-0.0465296129562112,0,0,0,0,0
X601288.CH.EQUITY,0.315671811072338,0.235595744213099,0,0.21320234861706,0,0,0.120322755284961,0,0.0378506281611226,0,0,0,0,0,0,-0.142188392538643,0,0,0,0,0,0,0,0,-0.0432795522977769,0,0,0.221088136328102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0885785906225309,0,0,-0.0641004266299092,0.230135611745375,0,0,0
X601988.CH.EQUITY,0.052661665544669,0,0.469343457026615,0,0,0,0,0,0,-0.0685219414638102,0,0,0,0,0,0,-0.00142952626341897,0,0.0775944873104948,0,0,-0.0324970678642139,0,0.176600253061584,0,0,0,-0.254080593986415,0.147678095801902,0,0,0,0,0.0635131504484049,0,0,0,0,0.0627082143786656,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.25637608688817,0,0,0,0,0,0.163597501108144,0,-0.10110081893127,0,0,0,0,0,0.055624369869209,0.103355747876992,0,0,0,0,0,-0.0485248875948899,0,0.0785845521936821,0,0,0,0,0,0.0694491205601767,0.0792009215486404,0,0,-0.0182823400891444,0,0,0,-0.119768130125629,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.200393810451484,0.13220162784946,0,0,-0.0372830922068156,0,0,0,0,0.0979197512990708,0,0,0,0,0,0,0,0,0,0,0.243163652759418,0,0.150295341077158,0,0,0,-0.0167343696435676,0.0113815882551194,0,0.176348835101613,0,0,-0.10479135661298,0,0,0,0,0,0,0,0,0,0,-0.0627193058660261,0,0.305000856081431,0
X601328.CH.EQUITY,0,0,0.0533440452511253,0.189209413754606,0,0,0,0,0,0,0.0246691563756536,0.0362747217624257,0,0,0,0,0,0,0.360432561995964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0164891630685456,0,0,0.0285243400717734
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0119645213598279,0,0,0,0,0,0,0,0,0,0,0,0.214796923378583,0,0.0512184377856929,0,0,0,0,0.0244439093727468,0,0,0,0,0.25768508350367,0,0,0,0,0,0,0,0,0.205802534434618,0,0,0.102842362385983,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.209844971277439,0.141873568554944,0,0,0,0,0.229629240885182,0,0,0,0,0,0.0156385107565729,0,0,0.0802952792256506,0,0,0.0396110226091282,0,-3.46944695195361e-18,0,0.00139920833578317,0,0,0.0340475225991074,0,0,0,0,0,0,0,0,0,0,0,0.033625080534924,0,0.251372557463875,0
X601166.CH.EQUITY,0.0448929922795683,0,0,0,0.0727445595640926,0.235123729715559,0,0,0.27989595982978,0,0,0,0,0,0,0,0.250649579602544,-0.0272730500855476,0,0,-0.130347050088128,-0.0976316923562973,0,0,0,0.0685787089263183,0,0,0,0,0,0,0.194890403434714,0,0,0,0,0,0,0.11174869406747,0,0,0,0.0769783409742059,0.056223714626713,0,0,-0.0141278741663319,0,0
