,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X601838.CH.EQUITY,X2892.TT.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.0834923117066058,0.593615425520935,0,0,0,0,0,0,0.0873151970046285,0,0,0.28184462299419,0,0,0,0,0,0.0824346790905905,-0.038665849788541,-0.0855854238577154,0,0,0.220657740300125,0,0,0.00363305135837678,0,0,0,0,-0.14363686597939,0,-0.615859490140331,0,0.0903288928530541,0,-0.0177273215193187,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0496452204314957,0,0,0.225643397633376,0,0,0.0651278342881462,0,0,0,0,0,0,0.345099953374353,0,0,0,0,0.254816661930974,-0.117476636415065,0.192433937653019,0,-0.0648935160730534,0,0,0,0,0,0,0.0164660525370443,0,-0.0704976134258399,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.495866303426103,0.164028912854763,0,0,0,0,0,0,0,-0.00392306360888846,0,0,0,0,0,0,0,0,0,0,0,0,0.0627428544978975,0,0.0110707985516848,0,0.0165927211668907,0,0,0,0,0.174732067891777,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0240384027038284,0.175915595693134,0.213816503947757,0,0,0.139259320602647,0.112380584895957,0,0,0,0.305873601259488,0,0,0,0,0,0,0,0,0.0970777423260161,0,0,0,0,-0.254341363926223,0,0,4.33680868994202e-19,0,0.203159933924114,0,0,0,-0.0245532687169727,0,0,0,0,0,0,0,0,0.106313401306245,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.260388748107645,0,0,0,0,0,0,0.138936499250162,0,0,0.0675350085883242,0,0,0,0.173982000362445,0,0,0,-0.0656369248400368,0,0.492850142320966,0,0,0,0,0,0,0.0807677549456626,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.0222050271938965,0,0.102326473142707,0,0,0,0,0.281542749943427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675240041826291,0,0.0585224571321927,0,0,0.0183339953150133,0,0,0.00146710585552774,0.0296686895296861,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0424937450297674,0.0275666072688759,0,0,0,0,0,0,0,0.47749547171987,0.0763259026618527,0,0,0,0,0,0.353306212780467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103306938287908,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0809844384394021,0,0,0,0,0,0,0.250052639973499,0,0,0,0,0,0,0,0,0.152808672875089,0,0,0,0.0327791806723292,0,0,0,0,0.0399022507921173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454663958493354,0,0
X600036.CH.EQUITY,0,0.368949604871432,0,0,0,0,0,0.389458145157017,0,0,0.289443328346657,0,0,0,0,0,0,0,-0.0499040294968228,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.043499163473436,0,0,0,0.0676640989064594,0.122628490658067,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,-0.0633405320236636,0,0,0,0,0,0,0.800366704086145,0,0,0,0,0,0,0,0,0,0,-0.0306184029635779,0,-0.0706036953081735,0,0,0,0,0,0,0,0,0.198098729516929,0,0,0,0,0,0,0,0,0,0,-0.0986613963657256,0,0,0,0,0,0.0540961442296146
