,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.600896763405241,0,0.0209831314827498,0,0,0,0,0,0.0847015889659926,0,0.0890138162927911,0,0,0,0,0,0,0.069584977673059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101970153562181,0,0,0,0,0.103201112303746,0,0.00998195035683257,0,-0.000556610065262686,-0.0138370032218762,-0.0384942098240119,0,0.028025901462155
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0
X601939.CH.EQUITY,0.148208781026113,0,0,0.326903442442359,0,0.243490932134707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110123053137921,0,0,0,0,0,0,0,0.1351760758453,0,0,0,0,0.0690174682777855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023115441691106,0
X601288.CH.EQUITY,0.0133786158015538,0,0.288854601069922,0,0,0,0,0,0,0.211313023394258,0,0,0,0,0,0,0,0,0,0.0500595383545174,0,0,0,0,0.0131394113499307,0.224658615894261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720507797237486,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.013797878520869,0.584933234024015,0,0,0,0,0,0,0,0,-0.212120833613427,0.228417598810889,0.251284001222228,0,-0.0159013458205679,0,0,0,0,0,0,-0.171129037830825,0,0,0.13481869629396,0,0,0,0.228998089435971,0,0,0,0,0,0,0,0,0,0.00124894477496722,0,-0.741326388297078,-0.105366665494116,0,0
X601988.CH.EQUITY,0.0285291720697522,0,0.22915590046135,0,0.0560909138188556,0,0,0,0.0945389790907276,0,0,0,0.0724887450729901,0.143111272301191,0,0,0,0,0,0.121189948955355,0,0,0.380621583490682,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0377172452377864,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0431448990094768,0,0,0,0.26109984271739,0,0,0,0.172406455324469,0,0,0,0.074380438780609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.00546887834296026,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333184,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111989791883644,0,0,0,0,0.15036339398231,0,0,0,0,0,0.189849753338338,0,0,0,0,0,0,0,0.267046064033395,0,0,0,0,0,0,0.0409476004556112,0,0,0.00020887564871532,0,0,0,0,4.33680868994202e-19,0,0,0.0397222662032773,0.206491691032796,0.0223306207094706,0,0,0,0,0,0,0.0119106085497066
X601166.CH.EQUITY,0,0,0.212753835846775,0,0,0.0195179580478677,0,0.223122092843898,0.0585502685180103,0.0579386749995142,0,0,0.0137249011621928,0.183611963005462,0,0,0,0,0,0,-0.0337332306974729,0,0,0,0,0,0,0,0,0,0,0,-0.0181739772678762,0.132503775740082,0,-0.00670740259638152,0,0,0,0,0,0,0,0.0417569259704943,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.168744287274754,0,0,0,-0.0875777771038088,0,0,0,0,0,0,0,0,-0.112603261445054,0,0,0,0,0.169367020344956,0,0,0.12721343316503,0.140894406347793,0.276603696330765,0.325532868001378,0,0,-0.0600223446556,0,0,0.0792008267581706,0,0,0,0,0,0,0.117832787484085,-0.0206908687084695,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.147121604671497,0,0,0,0,0,0,0,0,-0.0344431057296405,0.162921304485422,0.253542279487332,0.143520370154307,0,0,0,0,0,0,0,0.161561405895434,0,-0.102734507567329,0,0.0328093301050535,0,0.242693976199475,0,0,0,0,0,0,0,0,0.0741113561786483,0,-2.16840434497101e-19,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.000485443936915401,0.0227445812602391,0.0751872962761104,0.181283471670705,0,0,0.24161500703722,0,0.0901017490571978,0,0,0,0.0566080619906104,0.0351129979659619,0,0,0,0,0.038803100010644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20571004524139,0.00736322534638717,0,0.0580158935311351,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0941290932162885,-0.00313891230496327,0,0,0,0,0,0,0.113135006765706,0,0.0888946149876846,0,0,0,0.104370202636038,0.146263797445924,0,0.682605996196583,0,0,0,0,0.121506246691141,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,-0.327457093614209,0,0,0,0,0.139580434771782,0,0.139602617193009,0,0,0,0,0,0,0,0,0,0.308864042017938,0,0,-0.254505248959525,0,0,0.206754849622469,0,0,0.167651781599086,0,0,0.5487553349772,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.107496948744492,0,0.0263838325944423,0,0,0,0,0,0.237059992775746,0,0,0,0,0,0.129795757898806,0,0.188086238812139,0,0,0,0,0,0,0,0,0,0.0798593477770804,0,0,0,0,0,0,0,0,0,0,0,0,0.0409041469877178,0,0,0,0,0
X267.HK.EQUITY,0,-0.0911129474815108,0,0,0.180528160758851,0,-0.029816453100186,-0.200268173709277,0,0,0,0.10488938558316,0,0,0,0,0.487658879630806,0,0.421343464742257,-0.158266369744434,0,0,0,0,0,0,0,0,0,0.321122609760418,0,0,0,0,0,0.105075262139644,-0.241139930577991,0,0,0,0,0.0783133089263871,0,0,0,0,0,0,0
X388.HK.EQUITY,0,6.93889390390723e-18,0,0,0,0,0.179917422436045,0,0,0,0,0,0.291044017156239,0,0,0,0.106834297507341,0,0,0.0874920735506727,0,0,0,0,0.0170384042921009,0,0,0.260119135731766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518141095263562,0,0,0
X601601.CH.EQUITY,0,0.0581044355098298,0.0393746225352132,0,0,0,0,0.154047959877794,0,0,0,0,0,0,0,0,0,0,0.0254567892968403,0,0,0,0,0,0,0.0248539168553741,0,0,0,0,0,0,0,0.139115826869421,0,0,0.0442443075384445,0,0.021149000042608,0,0,0,0,-8.67361737988404e-19,0,0,0,0.213551107950399,0
X688.HK.EQUITY,0,0,-1.0842021724855e-19,0,0.0862506779665978,0,0,0,0,0.175582656678632,0,0,0,0,0,-0.0378697427246915,0,0,0,-0.0933219413720388,0,0,0,0,0,0,0.017392204160776,0.357385500693315,0,-0.013139840952861,0,0,0,0.0745716199483732,0,0,0,0,0,0,0,0,0,0,0,0.20723975675734,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0800509526736582,0,0,0,0.397100781184134,0,0,0,0,0,0,0,0,0,0,0.0293209465473941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142070292233778,0,0,0.244099817463905,0,0,0,0,0,0
