,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0,-0.155211988982051,0,0,0,0,0,0,0,0,0.521145415796444,0,0,0.0191686698251473,0,0.0191489297887033,0,0,0,0,0,-0.189520028950729,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.308125614701379,0,0,0,-1.73472347597681e-18,0.70048557631004,0,-0.154894143809876,0.0589269882978022,0,0,0,-0.0527216388090084,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.189908417097204,0,0.025821171165003,0.0299465781485741,0,0,0,0,0,0,0.0276655521069854,0.124961719801644,0,0,0,0,0,0,0.0493371761009614,0,0,0,0,0.0991884336765052,0,0,0,0,0,0,0,0.038187949899891,0.530595557085185,0,0,-0.111002240791635,0,0,0,-0.0331843177473033,0,0,0
X601939.CH.EQUITY,0.330621389822039,0,0,0,0,0,0,0,0.0285138208186076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18176735521298,0,0,0,0,0.160797573786346,0,0.0594376129357569,0,0,0,-0.181599217309806,0,0,0.360489479740199,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0414399866256822
X601288.CH.EQUITY,0,0,0,0,0,0.230445932354044,0,0,0,0.0124531313399806,0,0,0.0527445125701612,0,0,0,0,0,0.0589797465244781,0,0,0,0,0,0,0,0.129414937359358,0,0,0,0,0,0,0,0,0,0,0,0.311908227262286,0,0,0,0,0.167041291477932,0,0,0,0,0
X5.HK.EQUITY,-0.0576401146485062,-0.136258109201213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350236992523709,0,0,0.205891599227549,0,0.175162624966377,0,0.309207882901274,0,0,0,0,0,-0.108735224409459,0,0,0,0,0,0,0,0,0,0,0.197296669604023,-0.0768234831048979,0,0,0,0,-0.0859868240986815,0,0
X601988.CH.EQUITY,0.250200508614019,0,0,0.573109422180746,0,0,0,0,0,0,0.101978222369512,0,0.103062157916015,0,0,0,-0.0540184840537912,0,0,0,0,0,0.00634955005412602,0.060536832284144,0,0,0,0.0465506821565291,0,0.00377236205543831,0,0,0,0,0,0,0,0.0217691494452761,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X600036.CH.EQUITY,0,0.581308038999751,0,0,0,0,0,0,-0.00487712022301221,0,0,0,-0.0882588623073401,-0.141445337628707,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.255165917138475,0,-0.125898274316665,0,0,0.0201941374340612,0,0,0,0,0,0,0,0,0,0.172371900547726,0,0,0,0,0.132206195329465,0,0,0
X1299.HK.EQUITY,0,0.180370968972999,0,0,0,0,0,0,0,0,-0.0922112211023571,0,0,0,0,0.260821408613069,0,-0.154051503538737,0.0711339829235018,0,0,0.0608735553759546,-0.0253210387422903,0,0.548941311522281,0,0,-0.0957979516067099,0,0,0,0,0,0,0,0,0,0,0,-0.0873469107602215,0,0,0,-0.0119805251045366,-0.134049569357384,0,0,0,0
X601628.CH.EQUITY,0,0.18654925799269,0,0,0,0,0,0,0,0,0.0142723229211839,0,0.0261931205095491,0.266857612457431,0,0,0,0,0.000183307773284307,0,0,0,0,0,0.100241738096931,0,0,0,0,-0.0424609847326688,0,0,0,0,0,0,0.0226647483192344,0,0.17157404836926,-0.0594576241047456,0,0,0,0,0,0,0,0,0.107297444381673
X601328.CH.EQUITY,0,0.224939407353474,0.167821691058698,0.31214486154799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236811983600667,0,0,0.111585757471942,0,0,0.258143778844841,0,-0.0340163588671703,-0.0745296983771362,0,0,0,0,0,0,0,0,0,0,0,0,0.0736346596779454,0,0,-0.0296772636066308,0,-0.286284065753387
