,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0.274462165044255,0.19200234953482,0,0.120445945029793,0,-0.113598548068134,0,0,0.136150905962787,0,0,0,0,-0.101747074492659,0,0.111810242967415,0,0,0,0,0,0,0,0.15193353260292,0,0,-0.0861648379770328,0,0.100748499670431,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,-0.0289833982585074,0,-0.0556730637876149,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.185836936020554,0,0,0,0.29338061733701,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0674342427333655,0,0,0,0,0,0,0,-0.249496321681554,0.274039088813655,0,0.190008943309349,0,-0.00144959280125074,0,0,0,0.0635194009827381,0
X601939.CH.EQUITY,0.425902088947898,0,0,0.0869103563895247,0.107531595067135,0,0,0,0,0,0,0,0.141614119580237,0,0,0,0,0,0,0.0136953212819154,0.128146602756581,0.0123043816893171,0,0.0302697194956085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321648887946692,0,0,0,0,0,0,-0.170911586560904,0,0,0
X601288.CH.EQUITY,0.441075574789148,0.0348183468197069,0.127061333289624,0,0.0356308624428708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137608780976389,0,0,-0.0367545505500781,0,0.0418612964646302,0.0753563270805209,0,0,0.234673826318043,0,0,0,0,0,0,0.10681112931721
X5.HK.EQUITY,0,-0.190472236465717,0,0.237124549804489,0,0,0,0,-0.191631630153744,0,0.118399575501197,0,0,0,0.186327495711308,0,0,0.261278991145961,0,0,0,0,-0.0160416159374894,0.339631348913081,0,0,0,0,0,0,0,0,0,0,0,-0.161822455324737,0.158226834648404,0,0.00418444827041269,0,0.160916662541133,0,0.0699926745685523,0,0,0,0,0,-0.225937054918896
X601988.CH.EQUITY,0.0718536313590229,0,0,0.255163598535446,0,0,0,0.0952075647352808,0,0.135941370850577,0.0663159091640373,0,0,0,-0.310623911171908,0,0,0,0,0,0,0.393952963768624,0,0,0,0,0,0.0218940038256355,0,0,0,0,0,-0.0579174328596255,0,0,0,0,0,0,0,0,0,0,0,0.0406434724971489,0,0,0
X600036.CH.EQUITY,0,0.350677792074596,0,0,0,0,0,-0.0267611155084241,0,0,0,0,0.185810109771384,0,0,0,0,0,0.0607074223860386,0,0.0224373349089139,0,0,0.267697827892951,0,0,0,-0.0051649070454763,0,-0.00111750625071848,0.218936942885084,0,0,0,0,0,0,0,0,0,0.0623681688047444,0,0,0,0,0,0.0191560477376094,0,0
X601628.CH.EQUITY,0,0,0,0.389774021416218,0,0,0,0,0,0,0,0,0,0.273875103444554,0,0,0,-0.0156467930490079,0,0,4.33680868994202e-19,0,0.049001881370096,0,0,0,0,0.088567159360244,0,0,-0.041008224229155,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0.14672292588847,0,0,0,0,0,0,-0.00998134765925009,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390258790963184,0,0,0,0,0,0.188603884601169,-0.0107594498529572,0.137855550373257,0,0.177576420163596,0,0,0,0,0.0198425472769181,0.370976123529595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570079720331182,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.153015874049479,0,0,0,0,0,0,0,0,0,0.265111466936125,0,0,0,0,0,0,0,0,0,0,0,0.0346792267466046,0,0,0.507026165220258,0,0.183869437329625,0,0,-0.067172579419378,0,0,0,0.193812465870666,0,-0.131026868169068,0,0,0,0,-0.0154152460708872,0,0
