,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0.42194272309445,0,0,0,0.0128390448457862,0,0,0.0837255088214345,0.225220280862132,0,0,0.169093235129811,-0.0473440535230269,0,0,0.0853551803100449,0,0,0,0,0,0,0,0,0,0,0,0,0.0936905229324237,0,0,0,0,0,0,-0.0329844248571338,0,0.0369843336739133,0,-0.0219023953021632,0.0219274725566801,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0142335482407341,0.125867837392156,0.211835452029911,0,0,0,0.0470703649672764,0,0,0,0,0.330461974429258,0.0914213663758851,0,0.0511824174191541,0,0,0,0,0.0250835341529011,0,0,0,-0.0685025814438856,0,0,0,0,0,0,0,0,0,0.0635531950353307,0,0.0496863153242942,0,0,0.0386544807302362,0,0.0191863719714756,0,0
X601939.CH.EQUITY,0.247665701147194,0,0,0.479832603214713,0.0840145064938865,0.0770738557987312,0,0,0,0.0302393330052259,0,0,0,-0.00106777875813376,0,0,0,-0.0429161574498507,0,0,0,0,0,0,0,0,0,0.16036952606793,0,-0.0509429493453073,0,0,0,0,0,0,0,-0.0111790909896712,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.159502639793757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288757246672014,0,0,0.124295152095853,0,0,0,0.0767863702101301,0,0,0,0.0533177336171993,0,0,0,0,0,0,0.0855553710486597,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0565648907262114,0,0,0.20614233815887,0,0.206671198048524,0,0,0,0.211964156981041,-0.00846458746603652,0,0,0,0,0,0.195456860151327,0,-0.242527039531151,0,0,0,0,0.0447018325356523,0,0,-0.0597645892742293,0,0,0,0,0,0.1964218438145,0,0,0,0,0.0805513570720829,0,0,0,0,0,0,0.171783475127205,-0.00758655728133461,0
X601988.CH.EQUITY,0,0,0,0,0.420405143096843,0,0,0,0,1.38777878078145e-17,0.0629046207624475,0,0,0,0,0.195855444120826,0,0,0,-0.200028174843406,-0.104477298032955,0,0,0,0.316694695590542,0,0,0,-0.0990044986481245,-0.259513415819537,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0509906170488349,0,0,0,0,-0.0403076287059679,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0883786281561375,-0.0823091742414799,-0.0328354677239984,0,0.121787124893535,0,-0.130331891558862,0,0,0.0603933398193366,0,0,0.542301101329745,0,0,0.0608788788538827,0,0,0.0915944504502763,0,-0.0517566143263033,0,0,0,0.0101199159954917,0,0,0,0,0.0391185469346747,0.250788192287096,0,0,0,0.105342098191931,0,0
X1299.HK.EQUITY,0,0,0,0,0.133659623280805,0,0,0,0,0,0,0,0,0.0460747052272051,0,0,0.191471603378337,0,0,0,0,0,0,0,0,0.0375611585639592,0.159773112523299,0,0.153395986603508,0,0.0480938706223609,0,0,0,0.111375800083313,0,0,0,0,0,0,0,0,0,-0.0944429397684544,0,0,0,0
X601628.CH.EQUITY,0,0.182528167417604,0,0.164797672319936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682508149251704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754647756993817,0,0,0.386991038929634,0,0,0.0348514977832804,0.0187345137935336,0,0.133414713656148,0,0.0563583120934536,0,0,0,0
X601328.CH.EQUITY,0,0,0.36002887229088,0.0316595169539746,0,0,0,0,0,0,0,0.416136837530047,0,0,0,0,0,0,0,0,0.022877935744821,0.0860115314943645,0.127806960680762,0,0,0,0,0,0,0,-0.0117352910847945,0,0,0,0,0,0,0,0,0.0688954055379153,0,-0.0786824344671598,0.217131402248408,0,0,0,0.0813877264553281,0,0
