,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.213673756170946,0,0,0.0118614038312784,0,0.405095135169063,0,0,0.0132617250958847,0,0,0.023977992229594,0,0,0,0,0,0,0,0,0,0,0.246760641630088,0,0,0,0,0,0,0,0,0.0671548703801879,0.06408216926843,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912010750349762,0
X601318.CH.EQUITY,0,0,0.117930622497174,0,0,0,0,0,0.24557484950101,0,0,0,0.0332766070047702,0,0.266356960563415,0,0.041768901319832,0,0,0,0,0,0,0,0,0,0,0.217856984923836,0.179791353036346,0,0.0611488612380555,0,0,0,0,0,0,0,0,0.0173784656369719,0,0,0,0,-0.112688749997489,0,0.061396048072178,0.0208057327862849,0,0
X601939.CH.EQUITY,0.348521368198446,0,0,0,0,0,0.0455129268105386,0.380916872161382,0.319251738430608,0,0,0,0,0,0,0.018504436301143,0,0.0634564220728002,0,0,0,0,0,0,0,0.065415833215681,0,0.173275981024788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0195013853646134,0,0,0,0,0.211099384957194,0,0,0,-0.117592445894511,0,-0.016914324204996,0.0815066939980853,0,0,0.112697593337009,0,0,0.134798223144704,0,0,0,0,0,0,0.43635561469917,0,0.0460753347026167,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604596211635305,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0379075106631824,0,0,0,0,0.535281516045726,0,-0.0497921170428275,0,0.00729741385257432,0,0,0,0,0,0,0.074455609033813,0,0,0,0.083617082195944,0,0.105173019180884,0,0,0.10567664481909,0,0,0,0,0,0.0295337059663096,0,0,0,0,0,0,0,0,0,0,0,0,0.030117244425113,0,0.0210255227721055,0.0504199397245698
X1299.HK.EQUITY,0,0,-0.00133661956178504,0,0,0,0,-0.103044473099642,0,0.280141457252332,0,-0.108712255689232,-0.00431742598463521,0,0,0,0,0,0,0,0,0,0.175458847523844,0,0,0,0,0,0,0.0721069673170263,0,0,0,0.182299326601056,0.0239266531888064,0,0,0,0,0.210189194520089,0,0,0.20211586373274,0,0,0,0,0,0.160462487159583,0
X601628.CH.EQUITY,0.0698209456783574,0,0,0,0,0,0,0,0,0,0,0,-0.0236893325222342,0,0,-0.0223695897026518,0.117104096425632,0,0,0,-0.0233266947025487,0,0,-0.145554810474433,0,0,0,0,0,0,-0.0401638845776056,0,0,0,0,0,0,0.456166592050887,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0191234626842647,0,0,0
X601988.CH.EQUITY,-3.46944695195361e-18,0,0,0,0.523859151400674,0,0,0,-0.00783591984507154,0,0,0,0,0,0,0,0,0.283628274949748,0.042840868050194,0.146079735889457,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041795984835833,0,0,0,0,0,0,0,0,0,0,-0.0982890774990588,0,0,0.00140916998604018,0,0
X5.HK.EQUITY,0,0,0.00889171736599093,0,0,0,0,0,0,0,0.166683303077858,0,0,0,0,0,0,0,0,0,0,0,0.241738318731875,0.0509272485069909,0,0,0.0778515507019742,0,0,0,0,0.015789064645643,0,0.219572678703356,-6.93889390390723e-18,0,0,0,0,0,0.295641093351069,0,0.14281237164878,0,0,0,0.101019254636776,0,0,0
X388.HK.EQUITY,0,0,0,-0.181983752910474,0.0571458528215869,0,-0.142633757503032,0,-0.172043468567267,0,0,0,0,0,0,0,0,0,0,0,0,0.140131874077161,0,0,0,0,0,0,0,0,0,0,0,-0.22847357947325,0,0,0,0.2252839950805,0.180291994559482,0,0,0,0,0,0,0.277720905774808,0,0,0.199162062176536,0
