,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.27690681502133,0.446206718540577,0.0316808350963881,0,0,0,0,0,0,0,0,0.207913507257065,0,0,0,-0.104239623277301,0,0.146201077762267,0,0,-6.93889390390723e-18,0,0.17463557076624,0,0,0.130200244003876,0,0,0,0,-0.0767365584457605,0,0,-0.308060145550206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276624881978654,-0.200551789588594
X601939.CH.EQUITY,0,0,0,0.274755084869322,0,0,0.156688701770949,0,0,0,0,0,0,0.336188922261942,0,0,0,0,0.13317774286634,-0.101322354973939,-0.041755726093138,0.145922018004319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231948253576843,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132707885357965
X601288.CH.EQUITY,0.46004558195364,0.150333836886918,0,0,0,0,0.00263467137557656,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0504444849174569,0,0,0,0,0,0.0165049262416442,0,0,0,0,0.173229168559891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157793862392739
X601988.CH.EQUITY,0.0929573869545645,0.150203168695586,0,0,0,0.227185448406296,0.0711088399074544,0,0,0.170012760004366,0,0,0.00767433708668393,0,0.223590230687588,-0.047889748784159,0,0,0,0.0517732448116496,0,0.000636322349240733,0,0,-0.254148967317714,0,0,0,0,0.249666351321487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.022028157654333,0,0.251566096136776,0,0,0,0,0,0,0,0,0,0.25640374320016,0,0,0,0,0,0,-0.0759537152382699,0,0.449392485579944,0,0,0,0.122216784885074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214521704850792,0
X601658.CH.Equity,0,0.0255240973525928,0,0.111814556832502,0,0,0,0,0.284992410813431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647335211423364,0,0.0633874034882127,0,0,0,0,0.02093022931242,0,0.024224739594913,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0415442394708209,0.02758152482809,0,0,0,0,0,0,0,0.451788213493004,0.0695608372716788,0,0,0,0,0,0.332188321533859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959478160070864,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.0742618158813835,0,0,0,0,0,0,0,0,0,0,0,0.122364615877669,0,0.00852019397356434,0,0,0,0,0,0,0,0.0932390531826346,0,0,0,0.00530859825965064,0,0,0,0,0,0.130530311815982,0,0,0,0,0,0,0,0,0,0,0,0,0.307859037098199,0,0.0170111678544819
X600036.CH.EQUITY,0,0.511835080709401,0,0,0,0,0,0.197347218739592,0,0,0,0,0,0,0,0,0.159849532127639,0,-0.137844360085738,0,0,0,0,0.0237974093913426,0,0.175538776411259,0.0146594528585195,0,0,0,0.0742402328485481,0,0,0,0,0,0,0.163418317364127,0,0.014803025053039,0,0,0,0,0,0.111614895016541,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.146286955981287,0,0,0,0,0,0,0.332781580106082,0,0.0323300585183526,0,0.104412532745846,0,0.121131945497411,0,0,0,0,0,0,0,0,0,0,0.206680272282199,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.142222857359558,-0.300436879292264,0,0,0,0,0,0,0,0,2.16840434497101e-19
