,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.473702921700388,0,0,0,0,0,0,0.185916019102424,0,0.264703460249597,0,0,0,0,0,0,-0.00787095006942988,0,0,0,0,0,0,0,0,0,0,0.00562487535296164,0,0.244178750929432,0,0,0,0,0,-0.0377216191303561,0,0,-0.0232196143862413
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0367071643457138,0,0,0,0,0,0,0,-4.33680868994202e-19,0.286584049134316,0.0845120430954815,0,0,0,0.0375442069209191,0,0,0.101240219203878,0,-2.71050543121376e-20,0,0,-0.0100423442731091,0,0,0,0,0.225943523268132,0,0,0,0.222694832621831,0,0.0281661996385317,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.61109569925871,0,0,0,0,0,0,0,0,0.01817665191695,0,0,0,0,0,-0.0409809471799295,0,-0.0543215380411034,0,0,0.213593897507373,0,0.0555983770625993,0,0,0,-0.548646698548771,0,0,-0.0194296584944791,0,0,0,0,-0.16585111295745,0,0,0,0,0,0.566620051562648,0,-0.0565155882741939,0,0,0,0.119392451878148,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.306303556389652,0,0.208196823950187,0,0.63857029363986,0,0.0412923849909275,0,0,0,0,0,0,-0.016281287975416,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0384527826155854,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0584959059986497,0,0,0,0.173575619122047,0.367836806411743,0,0,0,0,0,0,0,0,0.0168256140374792,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.00166335798159016,0,-0.207362988781737,0,0,0,0,0,0,0,0,0.12014493750489,0,0,0.296172172625315,0,0,0,0,0,0,-0.0882796439361073,0,0.0485499374583548
X601988.CH.EQUITY,0,0,0,0,0.334085992294481,0,0,0,-1.38777878078145e-17,0,0.180668448940035,0,0,0,0.190433840740209,0,0,0,0,-0.109160721266228,-0.0854263705453971,0,0,0,0.218928863952714,0,0,0,0,0,-0.23806119710726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299817946597699
X1299.HK.EQUITY,0,0,0,0,0.199401746402519,0,0,0,0,0,0,0,0,0,0,0.050096420570975,0.136553722967501,0,0,0,0,0,0,0,0,0.0622942093870037,0,0,-0.0188012638314702,0.112145708858327,0.0555453332813805,0,0,0,0,0,0.520712215970651,0,0,0,0,0,-5.42101086242752e-20,-0.0438651703539436,0,0,0,0,0
X600036.CH.EQUITY,0.0215656513249988,0,0,0,0,0,0,0,0,0.597723203596107,0,0.134421259404872,0.0759770908584462,0,0,0,0,0.13389767195149,0,0.0055116070281962,0,0,0,0,0,0,0,0,0,0.047123366787834,0,0,0,0,0,0.00601490986723772,0,0,0,0,0.106654758038849,-0.195638570405582,0,0.267975981658163,0,0,0,0,0
X601628.CH.EQUITY,0,0.185224438161131,0,0.0783067809411786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135262453828091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183909999440006,0.132211207590389,0,0,0,0,0,0.150687543728021,0.0997170912031399,0.139612160925335,0,0,0,0,0
X601328.CH.EQUITY,0.0131145479141392,0,0.0269524945036302,0,0,0,0,0.741424040609671,0,0,0,0,0,0,0,0,0,0,-0.164812770344478,0.128941995279105,0,0,0,0.00502648985537545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515564920815956,0,0,-0.173499774312483,0,0
