,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY,X601997.CH.EQUITY,X2887.TT.EQUITY,X601881.CH.EQUITY,X000002.CH.EQUITY,X000166.CH.EQUITY
X601398.CH.EQUITY,0,0,0.864059955575572,0,0,0,0,0,0,0.150444927608175,0,0,0,-0.0139358216991248,0,0,0,0.157638173833824,0,0,0.130943251164437,-0.387238427449474,0,0,0,0,0,0,0,0,0,-0.00739154395507786,0,0,0,0,0,0,-0.0201536710853228,0,0,0,0,-0.00544281640808161,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.682351757813015,0.131506655986608,0,0.133129919286455,0,0,0,0,0,0,0,0,0,0,0,-0.0350825849742806,0,0,0,0,0,0,0,0,0,0,0,-0.0558320269828669,0,0,0.0823144024663903,0,0,0,0,0,0,-0.218591018277667,0,-0.0759664692599827,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.222499795046864,0.262941510733173,0,0,0.128466123796989,0,0,0,0,0,0,0,0.26932093427035,0,0,0.0439241297498882,0,0,0,0,0,0,-0.0929050780735454,0.242207481425631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823293208156027,0,0,-0.10962549549332,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.477988616482143,0.105750924696522,0,0,0.161771949111956,0,0,0,0,0,0,0,0,0,0,0,-0.109689441885502,0,0,0,0,0,-0.347599528922256,0,0.357359977533787,0,0,0,0,0,0,0,0,0,0.0642277123930339,0.0918427609096355,-0.0439460531173623,0,-0.0262792223206593,0,0,0,0,-0.0586769147149612,0,0.18349799332974,0,-4.33680868994202e-19,0,0.0135937956331686
X601658.CH.Equity,0,0,0,0.0575977013511728,0,0,0,0.437357532284732,0,0,0,0,0,0,0.199342838369399,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.298509852601724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000664672198173479,0,0,0,0,0,0.200106985234408
X601328.CH.EQUITY,0.514763897146639,0,0,0.0425123641645785,0,0,0,0,0,0,0,0,0.256381902133075,0,0,0,0,0,0.0559188664426798,0,0,0,0,0,0,-0.132005558189424,0.00607588967252778,0,0,0,0,0,0,-0.0402864585294911,0,0,0,0,0,0,0,0,0,0.0734757258254576,0,-0.0161789825895553,-0.00777778953470827,0,0,0.0552863419601749
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0957499101068687,0,0,0,0,0,0.394611009123495,0,0,0,0.0248958801332785,0.0967127861185497,0,0,0,0,0.0101479140694914,0,0,0,0,0,0.436381549304384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0476395500276571,0,0,0,0,0,0,0,0,0,0,0,0.165107002819403,0,1.0179700271533,0,-0.0507770651350061,8.67361737988404e-19,0,0.00699848088030946,0,-0.0202706196071786,0,0,0,0,0,-0.050285738821232,0,0,0,0,-0.078115773001822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107523592935328,-0.241349530388456,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.297484551668851,0,0,0.0757712630806314,0,0,0,0,0,0.302809806967123,0,0.0615463566675777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146870750877604,0,0,0.196351210160169,0,0,0,0.104676746411595,0,0,0.00304676175501615,0
X601998.CH.EQUITY,0.27834839732829,0,0,0,0,0,0,0.0111746102941742,0,0,0,0,0,0.149673943341829,0,0,0,0,0,0.0660381626426189,0.311945006861247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0674230005344344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
