,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.0657973210474754,0,-2.77555756156289e-17,0,0,0,0,-0.143790502705141,0,0,0,0,0,0,0,0,0,-0.145440227760139,0.646332647349464,0,0.762753980063845,0,0.0410214909915865,0,-0.107888097722348,0,0,-0.15022295534508,0,0.00697806622024161,0,0,0,-0.0167278168967112,0,-0.303802706686597,0,-0.083449846415254,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.224913864964039,0.108972131405875,0,0,0.000476733216511727,0,0,0,0,0,0,0,0,0,0.262900280897258,0,0,0,0,0,0,0,0,0.127343179767172,0.0368723169312158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.817477098661594,0,0,0.038521490699951,0,0,0,0,0,0.0292566753217722,0.0547508031670955,0,0,0.0462066822246164,0,0,0,0,0,0.00140638286579931,0,0,0,0,0,0.00586676273650737,0,0,0,0.0158850755333374,0,0,0.0332532201904469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.880173166626713,0,0,0,-0.0682998512105156,0,0,0,0,0,0,0.0405495712425715,0.0153040988723521,0,0.0326000550893185,0.125605053823532,0,0,0,0,0,0,0,-0.119637783427571,0.0305836553515126,0,0,0,0,0.00538058034185525,0,0,0,0,-0.0992576813007314,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.682708037449407,0,0,0,0,0,0,-0.113410493563663,0,-0.0446054896834467,0,0,0,0,0.190705656306048,0,-0.238731912837142,0,0,0,0,0,0,0,-0.174157374875164,-0.164534116236067,0,0,0,0,0,0,0.198842029975082,0,0,0,0.111283957498083,0.451251569949214
X600036.CH.EQUITY,0,0,0.383881549656841,0,0,0,0,0,0.0768450757866671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371898871117607,0,0,0,0.435054013983875,0,0,0,0,0,0,0,0,-0.0314989183527496,0,0,0.078589745868328,0,0.097637573042387,0,0,0
X601628.CH.EQUITY,0,0.15586278778437,0,0,0,0,0,0.0389019540942202,0,-0.129580194613621,0.00159046767966754,0.74069441074933,0,0,0,0,0,0,0,0,0,0,0.0940290691755497,0,0,0,0,0,0.0401578540932094,0,-0.154211567074677,0,1.38777878078145e-17,0,0,0.152394123473469,0,0,-0.0441340373265771,0,0,0.150677434465761,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.225765555854582,0,0.0341323245787635,0,0,0,0,0,0,0,0,0,0.109742971630024,0.0022751503119787,0,-0.217053342502758,0,0,0,0,0.11132385822519,0,0.239900197882965,0,0,0.104117091571391,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.114489480617714,0,0,0.411140035557479,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.174009240279756,0,0,0,0.0447724269891417,0,0,0,0,0,0.277527702334599,0,0,0,0,0.25265086428501,0,0,0.527704887732315,0.068879299031679,0,0,0.0511543357469029,0,0,0,0,0,0,0,0,0,0,-0.213170928711032,0,-0.0452639677983905,0,0,0.0522238613701448,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.22640487087555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257349849530362,0.111821492952727,-3.46944695195361e-18,-0.17429542746167,0,0,0,0,-0.127482025830665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411215453606754,0,0,0,1.0842021724855e-19,0,0,0
