,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY
X600030.CH.EQUITY,0,0,0,0,0,0.137155895177291,0,0,-0.0253677292834352,0.00525583489568941,0,0,0,0.0522118286911155,0.142215362702446,0,0,0,0,0,0,0,0,0,0.0229895858077129,-0.0133214486293122,0,0,0.108383767377088,0,0,0,0,0.602671404117349,0.029813623214493,0,0,0,-0.0740979198296637,0,0,0,-0.00917299503995661,0.0310414430736025,0,0,0,0,0,-0.0509513599667117
X601166.CH.EQUITY,0,0.0131513260715461,0.012113507495717,0,0.530865143283658,0,-1.73472347597681e-18,0,0,0,0.0648715956290772,0,0,0,0,0.0881357279556692,0.0558403668068715,0,0,0,0,0,0.0389051453672348,0.0880530413426134,0,0,0.0727846403352393,0,0.0175774018857967,0,0,0.0441090971148419,0,0,0,0,0,0,0,0,0,0,0,-0.0319844918977403,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.134206860400647,0.0278498443240769,0,0,0,0,0,0,0,0,0,0,0.00653956957597262,0,0,0,0,0,0,0.349909944347318,0,0,0,0,0.0144587555131075,0,0,0,0,0,0,0,0,0,0,0,0.0248509488477117,0,0,0,0,0.236608910889618,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.325295482325009,0,0,0,0,0,0,0,0,0,0,0,0,0.240883011505169,0,0,0.00195408960433866,0,0,0,0,0,0.0742164671585006,0,0,0,0.245317794520646,0.0390334413096713,0,0,0,0.0533594879574004,0.0451461253494376,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0.394885836488247,0,0.098309545135504,0,0.0605794871474124,0,0,0,0,0,0.0248873998762569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200276764336502,0,0,0,0,0,0.221110237240433,0.577855143221472,0,0,0,0,0,0,0,0,-0.155108604382646,0
X000002.CH.EQUITY,0,0,0.145273134907799,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0392188049005185,0,0,0,0,0.214576044818756,0,0,0,0.0469034013704238,0,4.33680868994202e-19,0.0896282872373032,0,0,0,0,0.0190755908588355,0.00932345380179303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423528195028696,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.271565319515953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670097807155525,0,0,0,0.109034188948314,0,0,-0.10891708123211,0,0,0,0,0,0,0.166395334110302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331967857042751,-0.0275263162413473,0
X000001.CH.EQUITY,0,0.16571691977465,0,0,0.1000328108618,0,0.00557317742536592,0,0.0726756188004305,0,0,0,0,0,0,0.176054220979261,0,0,0,0.0716396780666351,0.0845824128804375,0,0,0,0,0,0,0,0,0,0,0.145604623950103,0,0,0,0,0.131326193223314,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.734380867691496,0,0,0,0,0.029288324436176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100347661780179,0,0,0,0.083617073513738,0,0,0,0,0,0,0,0,0,0,0.0927665069501331,0,0,0,0,0,0.0900656849590831,-0.0835840584330858,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.00957215017944663,0.273708093491201,0,-0.0444179649398004,0,0,0,0.0354177997687855,0,0,0,0,0,0,0,0,0,0.0759112297534865,0.0651249885890246,0,0.0872173811891134,0,0,0.155271119011651,0,0,0.0431395356243527,0,0.223755200326806,-0.0303211747065022,0,0,0,0,0,0,0,0,0,0.130904248443636,0,0,0
