,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.42679271364303,0,0,0,0,-1.73472347597681e-18,0.00332119097391676,0,0,0,0,0.365229365636356,0,0,0,0,-0.0458170026079039,0,0,0,0,0,0,0,0,0,0.0758150811272433,0,0,0,0,0,0,0.000820615762179768,0,0,0,0,0,0,0,0,0.00468492550698363,0,0.111274224368901,0,6.93889390390723e-18
X601939.CH.EQUITY,0.143617357455957,0,0,0,0,0,0,0,0,0,0,0.0262637611393533,0,0.263036278904094,0.297122625118902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116493952326112,0,0,0,0,0,0,0,0,0,0,0,0.132348564770699,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377928222581253,0.0839481584937452,0,0,0.313264907857991,0,0,0,0,0,0.111466626225381,0,0,0,0,0.0478341289091724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153588274661184,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184611840766724,0,0,0,0,0,0,0.18609966746599,0,0,0.0605838185297215,0,0,0,0,0,0,0,0.0322662957007519,0,0,0,0.136922178236181,0,0,0.0167036296827173,0,0,0,0,0,0,0.0651956863485637,0,0,0,0.12034053536064,0,0,0,0,0,0.119277723381915,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.312938434650318,0,0,0.229007355764682,0,0,0,0.70281904580809,0,0,0,0,0,0.682260472537335,-0.646159577302847,0,0,0,0,0.0942309743955402,0,0,0,0,-0.00743170767965399,0,0,0,0,0.0867057761488526,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447
X1299.HK.EQUITY,0,0,0,0,0,0.0644033819881511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174508438510965,0,0,0.100680756288589,0,0,0.0777794694528203,0.0785079362686522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364325751273482
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0
X601658.CH.Equity,0,0,0,-0.0394803376669036,0,0,-0.110929896355861,0,0,0,0,0,0.149681061183122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122696605091765,0,0,0,-0.341674201145087,0.238623175213563,0.0710505215120699,0,0,0,0.414103327876987,0,0,3.46944695195361e-18,0,0,0,1.12493818680347,0,0,-0.427801902492097
