,X601398.CH.EQUITY,X601288.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X601998.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X600030.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X2801.TT.EQUITY
X601398.CH.EQUITY,0,0.0012570687257624,0.853652714456804,0,0,0,0,0,0,0,0,0.0182811992386072,0,0,0,0,0,0,0,0.0236414823552012,0.184902633599665,0,0,0,0.0740301864628275,0,-0.184817843076027,0,0,0.0838491310054542,0,0,-0.0487884399040498,0,0,0,0,0,0,0,0,0,-0.103641926439117,-0.0244974163652654,0,0,0,0,-0.0278993098709848,0
X601288.CH.EQUITY,0,0,0.583509369852224,0,0,0,0.0439674061662783,0,0,0,0,0,0,0,0.166677181744818,0.141318602145572,0,0,0,0,0,0,0,0,-0.143611573091042,0,0,0,0,0,0,0,0,0,0,0,0,0.0764706052947704,0,0,0,0,0,0,-0.243221157178537,0,0,-0.113961045586818,0,0
X601939.CH.EQUITY,0.216982717271728,0.220879262925058,0,0.0823531635391016,0,0,0,0,0,0,0.00302634163035059,0,0,0.021317724360371,0,0,0,0.381758670207587,0,0,0,0,-0.165849162495435,0,0,0,0,0.101087772735339,0,0,0,0,0.00191717055377425,0,0,0,0,0.149786269535084,0,0.183305598906823,-0.0607752424106748,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.234601767194612,0.134448576308204,0.40777474981004,0,0,0.138412575509716,0.0735902872416085,0,0,0,0,0,0,0,0,0,0,0.0327083541542502,0,0,0,0,-0.0810778101969115,0,0,-0.114826158340658,0,0.0619636075581231,0,-0.153168072428574,0,0,0,0.0233962276627945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0.150941825451547,0,0.0786613396307198,0,0,1.38777878078145e-17,0.415035941140738,0,0,0,0,-8.67361737988404e-19,-0.475800402908336,0,0,0,0.0682681654321782,-0.351356323107614,0,0,0,0,0,0.0080222053797248,0,0,0.302056857553574,0.184060369221969,0,0,0,0.521000450210414,0,0,0,0,0,0.102089914272941,0,0,0,0,0,0,0,0.00835320833105114,0.0564902412937433
X601658.CH.Equity,0,-0.0255580615222876,0,0,0,0,0,0,0.578828060259598,0,0,0,0,0,0,0.099814818647765,0.126466487544178,0,0,0.0783836903188266,0,0,-0.330677948419775,3.46944695195361e-18,0,0,0,0,0,0,0,0.223643860168437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.487641314653828,0.124746989426742,0,1.38777878078145e-17,0,0,0,0,0,0.075859127424293,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.20638827630895,0,0,0,0,0,0,0.0204730622128057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382416146207339,0,0.0921975397574532,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00354095438617978,0,0,0,0.288431478624723,0,0,0,0,0.15669417557761,0.36941679825885,0.193983654179142,0,0,0,0,0.0135791910898965,0,0,0,0,0,0,0,-0.0895830029269404,-3.46944695195361e-18,0,0,0,0,0,0,-0.14956944299531,0,0,0,0,0
X600036.CH.EQUITY,-0.109867015271967,0,0,0,0,0.153987809413024,0,0,0,0.0335958851349909,0,0,0,0,0.103905011419733,0,0.760986922067786,0,-0.0349946028526821,0.107196915532703,0,0,0,0,0,0,0,0,0,0,0,0,-0.18453564445986,0,0,0,0.02264186781698,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,-3.46944695195361e-18,0,0.559589649414383,0,0.13099309509289,0,0,0,0,0,0,0,0.254152225978131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154864167164504,0,0,0,0,0,0,0,0,0.0367108508605387,0.240071103026681,0.00666822998547712,0,-0.188726641379886,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0720496505811996,0.0559247492044495,0,0.0258636526035498,0.153935601696111,0,0,0,0,0,-6.93889390390723e-18,0.100093199542015,0,0,0.248562809763646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168255962203813,0,0.181751670683734,0,0,0
