,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY
X601398.CH.EQUITY,0,0.196673193722248,0,0,0,0,0,0.315743245789185,0,0,0,0,0,0,0,0,0,0.00897616643318324,0,0,0,0,0.137804362485658,0,0,0,0,0.161941933388764,0,0.306578147547181,0,0,0,0,0,0,-0.13656137972619,0,0,0,-0.101297400860055,0,0,0,0,0,0,0.0297181823179153,0.0140930354962928,-0.125710360682871
X601939.CH.EQUITY,0.399876514336532,0,0,0.202691498196542,0,0,0,0,0,0,0,0,0,0.157467256360828,-0.208296457133247,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.224069361660636,0,0,0,0,-0.00547118826150205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105626579212025,0.0570138726897311,-0.0326072290815594
X601318.CH.EQUITY,0,0,0,0,0.152115166501465,0.160675004362274,0,0,0,0,0,0,0.0309731349727221,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.136964652411634,0,0,0,0,0,0.0569381609425964,0,0.0308150399255032,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296420339297812,0.0946281591113093,0,0,0.174313718910163,0,0,0,0,0,0,0,0,0.185035905756009,0,0,0,0,0.0448151485398882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119218807359785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.240269469815886,0.0407686612912866,0.303418712102398,0,0,0,0,0,0.253475146396589,0,0,0,0,0,0.122962733953289,0,0.0930099532090335,0,0,0,0.0131020857176931,0,0,0.122112349353971,0,0.132450611503658,0,0,0,0,0,0,0,0,0,0,-0.617717537351721,0,0,0,0,0,0,0,0,0.0771629870293391,0,0,0
X600036.CH.EQUITY,0,0.0497158805132182,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.169972962964404,0,0,0,0,0.028658349568102,0,0,0,0,0.207891275246379,0.0133352535006092,0,0,0,0,0,0,0,0,0.35786777057794,0,0,0,0,0,0,0,0,0.112134018320427,0,0.142535281171227,0,0,0,0.00283960259828833,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.212712225115564,0,0,0.434887920551538,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0708877243005617,0,0,0,0,0,0,0,0,0,0,0.0405805293098921,0,0.0777521349194106,2.16840434497101e-19,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0564516151215021,0,0,0.0997933682173815,0,0,0,0,0,-0.160662628648734,0,0,0,0,0,0,0,0,0,0.260390155237441,0.163632726165333,0,0,0.065515494797509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101870913741478,0,0,0,0,0,0.257537788235548,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363041620748175,0,0,-0.0781773693335529,0,0,0,-0.405456192643432,0,0.629779554417928,0,0.0661278580007786,0,0.695753463613482,0,0,0,0,0,0,0,0,0,0,0.0433631222816394,0,0,0,0,0,0,-0.135913218946036,0,0.257831407142272,0,0
X601658.CH.Equity,0,0,0,-1.38777878078145e-17,0.0832424713936995,0,0,0,0,0,0,-0.0971847102815191,0,0.189830335462978,0,0,-0.209069447294051,0.125362511813611,0,0,0.230007521968688,0,0,0,0,0,0,0,0,0.106529179873453,0,0,0,0,0,0.47742436166869,0,0.163454258283866,0,-0.171492862707404,-0.145743574443556,0,0,0,0,0,0,0,0,0
