,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0332512885642555,0,0,0,0,0,0,0,0,0,0,0,0,0.508762491111903,0.758993147131345,0.010678218968618,0,0,-0.110855310249382,0,0.218613493170741,0,-0.226726343899016,0,0,-0.320921703838413,0,0,0,0,-0.045390034720503,-0.0585281859700336,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.215872616171237,0,0,0,-0.0988023371817356,0,0,0,0,0,0.113538932451658,0,0,0,0,0,0.00779861328370563,0,0,0,0,0,0,0.136050103471748,0,0.0886133946343279,0,0,0,0,0,0,0.184417648265031,0,0,0,0,0,0,0,0,0.226430652185757,0,0,0.0874017122139441
X601939.CH.EQUITY,0,0,0,0.81825999588351,0,0,0.028811459449522,0,0,0.026830349792951,0,0,-0.0472720896100134,0,0,0,0.0668760739134771,0.0698240994266966,0,0,0,0.00569483579307561,0,0,0,0.0649632707520146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0442601398209718,0
X601288.CH.EQUITY,0,0,0.853986660483742,0,-0.0651122140395191,0,0,0,0,0,0,0,0,0,0.00313887404692915,0.0393310951812062,0.0591025367041892,0.16752579040841,0,0,0,0,0,0,-0.0913432348354194,0.0173035288695557,0,0,0,0,0,0,0.00705578486744283,0,0,0,0,0,0.0116890166560778,-0.135381619661005,0,0,0,0,0,0,-0.036100795997073,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0547626700999321,0,0.484093636064046,0,0,0,0,0,0,0,0,0,0.0631158662030744,-0.105733639157785,0,0,0,0,0,0.10418977726103,0,0,0,0,0,-0.162133617577092,0.220543985323218,0,0.0986604634795491,0,0,0,0,0,0,0.144450365999393,0.232024739122228,0,0,0,0
X600036.CH.EQUITY,0,0,0.36275422505235,0,0,0,0,0,0.0218705717934992,0,0,0,0,0,0,0,0.142288774743034,0,0,0.00457668712189355,0,0,0,0,0,0.166213304018501,0,0,0,0.226737552108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403282328283143,0.0226319985579718,-0.00297442817165656,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.118692091906453,0.111656855610856,0,0.0670643640080068,0,0,-0.0392449840300756,-0.0275576344001082,0,0.0072145680652169,0,0,0,0,0,0,-0.0455314932796355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110290482474758,0,0,0.016562645367598,0,0,0,0,0,0,1.04315596118087
X1299.HK.EQUITY,0,0.0793773382678901,0,0,0.197567805980839,0,0,0,0,0.206236837299658,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234745452291856,0.0259511657308948,0.326477058713458,0,0,0.183867105325276,0,0.121524412851169,0.156200065903466,0,0,0,0,0,0,0,0,0,0.0809586980649333,0,-0.0857228158289048,0.106450277656127,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288562442793717,0,0.344483057353167,0,0,-0.34862192647721,0,0,0,0.0899639034649141,0,0.108690555704671,0.201711318401535,0.410736393407867,0,0,0,0.0128215813121278,0,0,0,0,-0.203881298058988,0,0,0.00975342598954023,0,0,0,0.114098315234508,0.0640161568693883,0,-0.111184944962877,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.361553681879794,0,0,0,0.142824055899092,0,-0.0814875002516077,0,0,0,0,0,0,0,-0.451795948645547,0,0,-0.0833252443807941,0.245119555517832,0,0.186722941585083,0,0,0.0339866499326978,0,0.126827140149043,0,0,0,0,0,0,0,0,0,0,0,0,-0.253001798297351,0,0.128537419170694,0.131896779992393,0.0766459879985042,0,0,0
