,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,3.46944695195361e-18,0.0503684201602972,0,0.076096009688157,0.128646022185423,0,0.360579707359506,0,0,0,0,0.00138327177391039,0.100929445771004,0,0,0,0,0,0,0,0,0,0.0846274308247337,0,0.0130622469050661,0,0,0.152482344859587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.15638410610374,0,0,0,0,0,0,0,0.245529317877168,0,0,6.93889390390723e-18,0,0,0.0714184664274497,0.210526054154361,0,0,0.176403995493705,0,0,0,0,-1.38777878078145e-17,0,0,0.0297593605244074,0,0,0.0547805379105526,-0.107235982707998,0,0,0,0,0,0.09140301551147,0.0886949341003527,0,0,-0.0100700880163087,0,0,0,0,0,0.0291121901033405,0,0,0.00358400531776401
X601939.CH.EQUITY,0.309832324107536,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.262355683110804,0,0,0,0,0.0114173571743823,0,0,0,0,0,0,0,0,-0.0324451291627391,0,0,0,0,0,0,0,0,0,0.220897587758432,0,0.0921693405957062,0,0,0,0,0.0995557567621264,0,6.93889390390723e-18,0.0463499280469145,0,0,0
X601288.CH.EQUITY,0.347210145335676,0,0.0266314115543056,0,0,0.489678031004603,0,0,0,0,0.00735621354820519,0,0,0,0.0357975199670352,0,0,0,-0.0256622454461844,0,0.00929035973365737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101065293145885
X5.HK.EQUITY,0,0,0,0,0,0,0,0.191690712663424,0,0.0554897706191938,0,0,0,0.322213755114779,0,0,0,0,0,0,0,0.0218419295260184,0.66787841621123,-6.93889390390723e-18,0,0,0.0464477958781503,0,0,0,0,0,0,0.0954263750951855,0,0,0,6.93889390390723e-18,0,0,0,0,-0.221170194627634,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0770399625600846,0,0,0,0,0,0,0.151640968426638,0,0,0,0.181397106137385,0,0,0,0,0,0,0.118952233718765,0.133334201269653,0,0,0.268739127261411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.063815757335569,0,0,0,0.437548181435892,0,0,0,0,0,0.167143209798274,0.132256893113299,0,0,0,0,0,0,0.288673748769831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440312129715214,0,0,0,0,0,0,0.228951085273874,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452853473569573,0,0,0,0.140170631126764,0,-0.094926545387409,0,0.332466707815801,0,0,0,0,-0.0271413398484086,0,0.861797880995127,0,0,0,0,0,0.298298375134169,0,-0.235339903983368
