,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.196439723470295,0,0,0.261551888070213,0,0,0,0,0,0,0,0.0949893219551968,0,0,0,0,0,0.264942872382547,0.110561401562264,0,0.0228915058937987,0.103038996413525,0,0,0,-0.0393864757146429,0,0,0,0.0139310792259158,0,0,0,0,0,0,0,0,0,0,0.0337121065863026,0,0.0494739068330226,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0165172570007809,0,0,0,0.076957858629263,0,0,0.0793597287575444,3.46944695195361e-18,0.223805372936003,0,0.0489147876835586,0,0,0,0.0303331952672052,0.309031704706483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137143987456572,0,0,0,0,0,0.079812388981447
X601288.CH.EQUITY,0.240270244418137,0,0,0.266088811377413,0,0,0,0,0,0,0,0,0,0.144789557876246,0,0,0,0,0,0,0,0,0,0,0,0,0.0917621064675169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409241906360987,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.338161756511115,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.128531420505426,0.0804893274477798,0,0,0,0,0,0,0,0,0,0,0.0314616749229047,0,0,0,0,0,0,0,0.239587418151354,0,0,0,0,0,0,0.0764026423647622,0,0,0,0,0,0,0.0115635714486643,0,0,0
X5.HK.EQUITY,-0.17375126263977,0,-0.0408961176320753,-0.125034672078862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539886721281998,0,0,0,0.298316284343873,0,0,0,0,-0.0382657087201368,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0322104330148895,0.061175482889732,0.233597890768932,0,0,0.0982594266072837,0,0,0,0,0,0,0
X601658.CH.Equity,0,0.122578737133601,0,0,0,0,0,0.13139898850613,0,0,0,0.152810195204894,0.0351378959839235,0,0.240325434371015,0,0,0,0,0.045004973208174,0,0,0,0,0,0,0,0,0,-0.00528090814103427,0,0,0,0,0,0,0,-0.039507105983763,0,0,-0.0138289030268934,0,0,-0.0114115216704532,0,0,0,0,-0.130032217757511,0
X601328.CH.EQUITY,0.389411062669034,0,0.108675861493474,0,0,0,0,0,0,0.0884806355078293,0.0124442923671764,0.221287950070071,0,0,0.109465480167373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266409611217708,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0543998019550533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167451759458381,0,0.563732225777852,0,-0.0737229230067225,0,0,0,0,0,0,0.21275042738137,0,-0.0661412884614127,0,0,0,0.0265467092603977,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.13850533634212,0,0,0,0,0.240935251298305,0.251853358789338,-0.0861957890468716,0,0,0,0,0.0392289109541255,0.203531413391929,0,0.100533386071989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648809620694244,0,0,0.0451869368815892,0,0,0,0
X601166.CH.EQUITY,0.151180387246909,-0.286564189543028,0,0,0.0150049967970724,0,0,0,0.124513061412619,0,0,0.0693992580618386,0.270525326934694,0,0,0,0.316996760957292,0,0,0,0.0378396351078947,0,0,0,0,0,0.131784647207338,0.0645199505412709,0,0,0,0,0,0,0,0,-0.0509788579583122,0,0,0,0,0,0,0,0,0,0,0.0731541319452413,0,0
