,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.464235695862553,0.147802282399821,0.101167744561385,0,0,0,0,0.0878636315649903,-0.117490552908834,0.043102497229138,0,0,-0.0145208801929095,0,0,0,0,0,0,0,0,0,0,-0.031329418201004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580290968930485,-0.0296984539075884,0,0,0,0,0,0,0,0.0854207973762092,0.0874653288045392
X601939.CH.EQUITY,0.139609070425253,0,0,0.232209929056814,0,0,0,0,-0.0908140945876571,0,0.12642393530763,0,0,0.18989435267572,-0.0685142681669571,0,0,0,0,0,0,0,0.220914213120149,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223549602211278,0,0,0,0,0,0,0,-0.0490393264420525,0,0,0,0,0.180356828880516,0
X601318.CH.EQUITY,0,0,0,0,0.306213989123177,0.0922673763927026,0,0,0,0,0,0,0,0,0.00418511897146008,0,0,0,0,0,0,0.192592845173027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10893898203381,0,0,0.0761147456657815,0.129458056136193,0,0,0,0,0,0
X601288.CH.EQUITY,0.327699711544448,0,0,0,0.285603128140277,0,0,0,0,0,0.0523554206453009,0,0,0.0710088120232791,0,0,0,0.118066288617094,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.110073423432726,0,0,0,0,0,0,0.00735859436454608,0,0,0,0,3.46944695195361e-18,0,0,0,0,0
X601988.CH.EQUITY,0,1.38777878078145e-17,0,0.3945242822658,0,0,0,0,0,0.222814824518254,0,0,0,0,0,0.332658526232209,0.123866530783451,0,0,0,0.0102173808061863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.466678317568393,0,0,0,0,0,0,0,0,0,0.00490969488832787,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,-0.0697117171048791,0,0,0,0,0,0,0.340225124258554,-0.0278361247360609,0,0,0,0.0671576859912452,0,0,0,0,0.157457793936151,0,0,0.0129968688254502,0,0,0,0,0,0,0.283458071700373,0,0,0,-0.0426105745281132,0,0,0,0.0128417800570037,0.0995331433940765,0,0.0522999542920046,0,0,0,0.120523922401509,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0104160302761034,0,0,0,0,0,0,0,0,0.24431736249242,0,0,0,0,0.482243217383886,0,0,0,0,0,0.106292409561435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059824735173,0.0334842909742667,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216130226770541,0,-0.240545617559658,0,-0.114126472943513,0,0,0,0,0,0.504671084357128,-0.102470809395948,0,0.762915175426353,0,0,0,0,0,0,0,0,0,0.426843393968051,0,0,0,0,-6.93889390390723e-18,-0.238497091161452,0,0,0,0.00374544173822717,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0309343634583853,0,0,0,0,0,0,-0.171793533546909,0,0,0,0,0,0,0,0,0.250691552645261,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.327454347383139,0,0,0,0,0,0,0.217311131884724,0.111622894047345,0
X601658.CH.Equity,0,0,0,0.167276399037511,0.197359463901733,0,0,0,0,0,0,0,-0.0474252135327706,0.114250731579524,0,0,0,0,0,0,0,-0.0686254232914715,0,6.93889390390723e-18,0,0,0,0,0.144532413903563,0,0,0,0,0,0,0,0,0.251000365248436,0,0,0,0,0,0,0,0,0,0,0.434268409384945,0
X601328.CH.EQUITY,0.0669587461156253,0,0,0.612780065169447,0,0,0,0,0,-0.0587802050668065,0,0,0.0141574722311787,0,0.0479488663973293,0.0272212962752647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149633088308312,0,0,0,0,0.0725730787415487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111192280726475
X601166.CH.EQUITY,0,0,0,0,0,0.367164812136499,0,0,0,0,0.0719383687700669,0,0,0,0,0,0.0654631905051613,0,0,0,0,0,0,0,0,0,0,0,0,0.216021821114458,0.0100151405581595,0,0,0,0,0,0,0,0,0.0538331480548925,0,0,0,0,0,0,0.0196814703916111,0.0872222681469604,0.108898088255134,0
