,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY
X601398.CH.EQUITY,0,0,0.317997134764701,0,0.00253459196229682,0,0,0.343206169633808,0,0,0,0,0,0,0,0.0185809047943021,0,0,0,0,0,0,0,0.175422813679459,0,0,0.0201662337120607,0,0,0,0,0,0,0,0,0,0,0.107030113186691,0,0,0,0,0,0,0,0,0,0,-0.0316116621031773,0
X601318.CH.EQUITY,0,0,0.336152329054944,0,0,0.182592612015908,0,0,0.00320599066739615,0,0,0,-8.67361737988404e-19,0,0.139441189813612,0,0,0,0,0.0163088596890538,0,0,0,0,0,0,0,0,0,0,0.15792762138565,0,0,0,0,0.0929795187172102,0,0,0,0,0,0,0,0,0,0,0.0318644139293742,0,0,0
X601939.CH.EQUITY,0.354961992097086,0.218678802017607,0,0,0,0,0.101694930735353,0.293164493096087,0,0,0,0,0,0,0,0,0.120320591807915,0,0,0,0,-0.180103375045462,0,0,0,0,0,-0.0281935109822572,0,0,0.0292974619967883,0,0.196108364187688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.144750021187396,0.0762080964139477,0,0.100162276830379,0,0,-0.147221567718606,0.147282544636541,0,0,0.067763266121287,0,0.276890329391206,0,0,0,0,0,0.0470622127257442,0.347339139916887,0.0520911032651765,0,0,0,0,0.00755825528410021,0,0,0,0,0,0,0,0,0,0.00116566090885138,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.00461889012115757,0.533073947235831,0,-0.0837456455441866,0,0.0642326326909711,0,0,0,0,0,0,0,0,0,0,0.0640001700150332,0.143039342111332,0,0,0,0,0,0,0.097819007195086,0,0.0448612569055425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045502235350859,0,0.0161541330907279,0
X1299.HK.EQUITY,0,0,0,0.036948045441864,0,0,0,-0.16511955119826,0,0.152575978467596,0,-0.0151674304602683,0,0,0.0116719951547478,0,0,0,0,0,0,0,0.138046397884315,0,0,0,0,0,0,0,0,0,0.0983103466145357,0,0,0,0,0.143614733634605,0,0.0915248569765264,0.16624921331869,0.035190229361604,0.096896852459654,0,0,0,0,0,0.294570322794895,0
X601628.CH.EQUITY,0.157134977213735,0,0,0,0,0.00190696515672734,0,0,0,0,0,0,0,0,0,-0.263581995251207,0,0,0,-0.070244849742171,0,0.20729256176361,0,0,0.0122297428443996,0,-0.156297370509152,0,0,0,0,-1.73472347597681e-18,0,0.634897229694589,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0437094393120708,0
X601988.CH.EQUITY,0.12536202058423,0,0.0537684747018152,0,0.540290649159979,0,0,0,0,0.0940900797975475,0,0,0.154033292537031,0,0,0,0,0,0.00666315960024075,0,0,0,0.129389344440888,0,0,0,0.0143989453703707,0.08263625265561,0,0,0,0,0,0,0,0,0.0682013964591917,0,0.00253908693360168,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.260379957035093,0,0,0,0,0,0,0,0,0,0.0279858745579239,-0.1063899359964,-0.0214488764985948,0,0,0,0,0,0,0,-0.263125802821737,0.184024853543665,0,0,0.0655582918474904,0.179758145298474,0,0,0,0,0,0.128956537747309,-0.038209131675495,0,0,0,0,0,0,0.129984519631904,0.142243199244317,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.271143183023513,0,0.224193131951848,-0.0192448520896357,0,0,0,0,0,0.0635834291954535,0,-0.0304451248805443,0.157998815802222,0,0,0.032076949900058,0,-0.06954887917613,0.493150602568187,0,0,0,0,0,-1.73472347597681e-18,0.0313307434372809,0,0,0,-0.11758526516996,0,0,0,0,0,0.233296813060593,0.06569187781445,0,0,0,0,0,-0.278611264048253,0,0.0432929863080178,0.0681027338832535,0
