,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0.146451031835433,0,0.0778613130640424,0,0,0,0,0,0,0.34616105531322,0.129642714509881,0,0,0,-0.137896237857058,0,0,0,0,0,0,0,0,0,0,0,0.00100018823149704,0,0,0,0,0.172251009282354,0,0,0,0,0,0,0,0,0.127803072825585,0,1.73472347597681e-18,0,0.064113984615898,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0464250723471723,0,0,0.237854477878438,0,1.38777878078145e-17,0.152159530322644,0,0,0,0.0547401657083687,0,0,0,0,0,-0.122710828278225,0,0,0,0,0,0,0,0,0,0.181874781656105,0,0,0,0,0,0,-0.311227130187621,0,0.339869505164818,0.0396079839417066,0.198256483257087,0,0,0,0,0.0901379255049669,0
X601939.CH.EQUITY,0.484107630300611,0,0,0,0,0.178930353258659,0,0,0,0,0,0,0,0.0590595464187929,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375062573678496,-0.120865225683794,0,0,0.0496637497931291,0,0,-0.0474857200946875,0,0,0
X601288.CH.EQUITY,0.577991658652356,0.0534371537010036,0.173303832427013,0,0.00357554077852572,0.040113207939697,0,0,0.045160569488496,0,0,0,0,0,0.0219249487475257,0,0,0,0,0,0,0,0,0,0,0,0.00832932832448532,0,0,0,0,0,0,0.127855962331516,0.0526090381629751,0,0,0,0.103682598946677,0,0,0,0,0,0,0,0,0,0.103035054832837
X5.HK.EQUITY,0,-0.0566205075837639,0.104095131042659,0.0920924160809785,0,0.165589632691143,0,-0.0566404998974987,0,0,0,0.273932230304018,0,0,0,0,0,0.691013673920911,0,0,0,0,0,0,0,0,-0.194727411319393,0,0,0,0,0,0,0,0.0240629369813859,0,0,0,0,0,0,0,0,0,0,0.0865609060806106,0,0,-0.0597673662015638
X601988.CH.EQUITY,0.173793128208085,0,0,0.188284802368524,0.0667351693060037,0,0,0,0.066807755357992,0.059017779340214,0,0,-0.414539715005885,0,0,0,0,0,0,0,0.40866845883583,0,0.00595566491456909,0,0,0,0,0,0,0,0,0,0.011853946477397,0,0,0,0,0,0,0,0.117445215534005,0,0.0746413094694469,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0723909031083014,0,0,0,0,0,0.0390659759338141,0,0,0,0,0,0.243300336697656,0,0.132867120597428,0,0,0,0,0,0,0,0,0.15528296731499,0,0,0,0,0,0,0.146125341519541,0,0,0,0.0415898672153165,0.126390763144924,0,0,0,0.0107579032055231,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0136835202053968,0.0357346251663696,0,0,0.216200354574185,0,0,0,-0.159162421176933,0,0,0.288188182515649,0.240763608862879,0,0,0,0,0.0503428817610409,0,0,0,0.150373138252726,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.0766956855384004,0,0.157170892550071,0,0,0
X601628.CH.EQUITY,0.366186161493425,0.280377855826853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315524257069787,0.00124982421412064,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190425279586714,0.0530503825584259,0,0,0,0,0,0,0,0,0,0,-0.113951037133452,0.177623976946108,0,-0.177792504023986,0
X601166.CH.EQUITY,0.0537571011468086,0,0,0,0,0,0.493993261232313,0,0,0,0,0,0,0.0199235867614724,0,0.202237613956106,0,0,0,0.0520798123283284,0,0,0,0,0,0,0,0.0355422086892104,0,0,0,0,0,0,0,0,0,0.00902857243047566,0,0,0,0,0,0.179325848940785,0,0,0,0,0
