,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.0416578246400131,0.461598307947873,0,0,0,1.73472347597681e-18,0,0,0.158717170804854,0.103945566289374,0,0,0.197413632687492,-0.00965232667627947,0,0.089954095740123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126488231448455,0,0,0,0,0,0.0729272042680542,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0368326415384139,0,0.0550096467450262,0,0,0,0,0,0,0,0.266480162974074,0.0935131069388847,0,0,0.0109524774497309,0,0,0,0.0975458550734547,0,0,0,0,0,0,0,0,0.108776093458385,0,0,0,0,0.248405459935745,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0704567984902464
X601939.CH.EQUITY,0.151308943081377,0,0,0.54907401895972,0,0.0570201709642379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151182394399697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.102594490290246,0,0.306260380607484,0,-0.024085172360897,0,0,0,0,0.115947646142514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198051150995939,0,0,0.181929936970493,0,0,0,0.060479569015411,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0686713639553538,0,0,0.193833190071846,0,0.258566811513977,0,0,0,0,0.276133384913415,-8.67361737988404e-19,0,0,0,0.115301086791487,0.0641018778883509,0.00244790676296678,-0.262923105165301,0,0,0,0,0.187945557568829,0,0,-0.185721856656633,0,0,0,0,0,0.129619010960758,0,0,0,0,0,0,0,0,0,0,0,0.0999890514873201,0,0
X601988.CH.EQUITY,0,0,-6.93889390390723e-18,0,0.219546579694,0,0,0.019021721274548,0,0.186638205483628,0,0,0,0.177309223114505,0,0,0,0,0,0,0,0,0,0,0.268895055298959,0.031610111804628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284719457996089,0,-0.0251894475578344,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031704067506945,0,0,0,0,0,0,0,0,0,0.626644317679429,0,0,0.144414494681071,0,0,0,0,0,0,0,0,0.0185349941602483,0,0,0,0,0,0.125790018726907,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.252646220892721,0,0,0,0,0,0,0,0,0.0595714083276454,0,0,0,0,0,0.0840448970052909,0,0,0,0,0,0,0.0582964144604323,0,0.114455909770615,0,0.0199461410958739,0.28709697149649,0.0307985627255016,0,0.160897246713065,0,0,0,0,0,0,0,-0.0666496930727262,-0.0607259862822172,0,0.0572447031278666,0,0,0
X601628.CH.EQUITY,0,0.158827505577581,0,0.0227138809494056,0,0,0,0,0,0,0,0,0,0,0,0,0.0748598809299044,0,0,0,0,0,0,0,0.150578650464277,0,0,0,0,0,0,0,0,0,0,0,0.363417501351152,0,0,0,0.138958823948124,0,0.0640018952480696,0.0102504067281501,0,0,0,0,0
X601328.CH.EQUITY,0.121575377364082,-1.73472347597681e-18,0.0578895000504486,0.0815862240332911,0,0,0.0742368602921284,0,0,0,0,0,0.224957290631437,0,0,0,0,0,0,0,0,0,0.286794745341407,0,0,0,0,0,0,0,0,0,-0.0278998266139949,0.0139815620351305,0,0,0,0,0.158140695363226,0,-6.93889390390723e-18,0,0.00285725669779463,0,0,0,0.0878788982854117,0,0
