,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601077.CH.Equity,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601398.CH.EQUITY,0,0.164573238143966,0.0966631759812141,0.00568617079165157,0,0,0,0,0,0,-0.0907588213325168,0.0517186836073015,0.0804594516189617,0.0481995406347939,0,0.0543476998061799,0,0,0,0,0,0.323867540305858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575119539833222,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0716691484686725,0,0,0.182314796672682,0,0,0.160951658383914,0,0,0,0,0.101673194187545,0,0.0990941237543595,0.0211962910568214,0,0,0,0,0,0,0.0674328475523538,0.0861787607731792,0.0398130782200193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151246739727009,0,0,0.119269922708143,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.166065392951593,0.269108583633074,0,0.130228138549992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611566727326224,0,0,0,0,0.1237455080089,0,0,0,0.182604212559298,0,0,-0.0707804227504049,0,0,0,0,0.0278313647089231,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.250119519247885,0,0,0.302320328332561,0.0119207115610447,0,0,0,0,0,0,0.211007699633579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341114351482466,0,0,0,0,0.0065248497070061,0,0,0,0,0.233933017001451,0,0,0,0.0459596668997546,0,0,0
X5.HK.EQUITY,0,-0.0585228519603976,0,0,0,0,0,0,0,0.168252592963293,0,0,0,0,0,0,0,0,0.201188575225953,0,0,0,0,0,0,0,0.1618116817401,0,0,0.0928145735286208,0,0,0,0,0,0.0683938012506553,-0.125639038729377,0,0,0,0,-0.0293405822909325,0,0.146580161348932,-0.314104883138186,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.134320483443694,0,0.299311533266984,0,-0.224327754457388,0,0,0,0.028584453294795,-0.0420754334613114,0,0.177828819879753,0,0,0.0329479295478596,0,0,0,0,0,0,0,0,-0.11542220183811,0,0,0,0.00581194294766114,0,0,0,0,0,0.10439887743425
X601328.CH.EQUITY,0.133794245570472,0.0450388698420996,0,0,0,0.017427485443046,0,0,0,0,0,0,0,0.287832450827502,0,0.248319230113149,0,0,0.0501220283952516,0.010109164567436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171426809247082,0,0,0,0,-0.104405792853185,0,0,0,0,0.00975668245452773,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.166514549081035,0.0319617105095422,0,0,0,0.00536167821588106,-0.112708643845191,0,0,0,0,0.0920886656495545,0,0,0,0,0,0,0,0,0,0,0.497140495325239,0,0,0,0,0,0,0,0,0.047780536690744,-0.0277972640964094,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.016572453419524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149320683885023,0.368325825435951,0,0,0,0,0,0,0,0.0375602930518035,0,0,0.267828812984998,0,-0.014884441629904,0,0,0,0,0,0,0,-0.0915674636338701,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0807116673923896,0.0433452889587392,0,0,0.358175017919467,0,0,0.0481118291305824,0,0.161486842105746,0,0,0,0,0,0,0,0.0731287696869488,0,0,0,0,0.0332174059565769,0,0,0,0,0,0.110327067690841,0,0,0,0,0,0,0,0,0.0790834454335441,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0.629915230951075,0,-0.11482413536248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239383567420316,0.0108256767391597,0,0.065522739480476,-0.1670655629075,0,0,0,0,0,0.0710080012501818,0,0,0,0,0.150560411243168,0,0,0,0,0,0.104873758835664,-0.138843744846473,0,0,0,0.0517923556781952,0,0,0.0437600531413911,0
X600000.CH.EQUITY,0,0,0,0,2.71050543121376e-20,-0.14598268813653,-0.118591621208342,0,0,0,-0.0593991928567231,0,0,0,0.841818237309584,0.0817902981479223,0,0,0,0,0,0.160242569492185,0,0,0,0,0,0,0,-0.0470986027388512,-0.0289896815983754,-0.0120580776610771,0.177762751134032,0,0,0,0,0,0,-0.0922266482126809,0.0852140247906785,0,0,0,-0.226390931093245,0,0,0,-0.029281011988157,0.134120900451629
X601998.CH.EQUITY,0.186733673169771,0,0,3.46944695195361e-18,0,0.160487156708012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090423747275538,0,0,0.0283643341435336,0,0,0,0,0,0,0,0,0.319344789320886,0,0,0,0,0,0,0.388223273409102,0,0,0,-0.149854757429426,0,0,0,0,0,0
X600016.CH.EQUITY,0.138634083293499,0,0.0660430516610253,0,0,0,0,0,0,0,0,0,0.0151884701705206,0,0,0,0,0.0313916367426967,0.124784304702294,0,0,0.287682556572704,0,0,0,0,0,0,0,0,0,0,0.0630264997201583,0,0.288188505776665,0,0,0,0,0,0,0,0,-0.118351151885127,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,1.00405697339283,0,0,0,-0.135651116932442,0,0,0,0,0,0,0,0,0,0,0.0074375717104756,0,0,-0.0771759220404497,0,0.0148065957209459,0,0,0,0,0,-0.0190879043471513,0,0,0,0,0,-0.0522495916902375,0,0.0446622212186128,-0.151965879780353,0.115770520552314,0,0
X601628.CH.EQUITY,0.135819189120307,0,0,0,0,-0.0324584290655744,0.0621596202604739,0.215701464837112,0.129532466178457,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174307132722003,0,0,0.0210260668008829,0,0,0,0,0,0.113938414446794,0.121969666248728,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,-0.208568951679031,0,0,0.106870886416308,0,0,0.281795864780381,0.040565736839473,0,0,0,0,0,0,0,0.13660920023571,0,0,0.203688279897403,0,0.0116965593513898,0,0,0,0.187140394315223,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245967464084709,0,0,0,0,0.0873781723368967,0,0,0,0
