,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0.113965309257342,4.2351647362715e-22,0.0509585642413539,0,0,0,-0.0758091326657841,0,0,0,0.497563077606656,0,0,0,-0.0741721722770614,0,0,0,0,0,0,0,0,0,0,0,0,0.0562997941683037,0,0,0,0,0,0,0,0.0889430240642847,0,0,0,0,0,0.218404131719251,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.152002902906936,0,0,0.148957203461716,0,0.0982874411305281,0,0.0847746356443141,-0.106858295017121,0.122018211433332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918040239211352,0,0,0,-0.20091328073733,0,0.146485306461153,0.138307737435849,0.0908115194196831,0,0,0,0,0.317188231592776,0
X601939.CH.EQUITY,0.292859173584063,0,0,0.312094478374827,0,0.132040008943132,0,-0.0433607365654917,0,0,0,0,0,0,0.10472004364568,0.0721955137075934,0,0,0,-0.0180312111628391,0,0.0538163365038863,0,0,0,-0.0990201180158527,0,0,0,0,0,0,0,0,0,0,-0.104298394133213,0,0,0.348206363331395,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.332923246192276,0,0.251671124465677,0,0.0571279280974002,0.221556163044878,0,0,0.039235077209075,0,0,0,0,0.0117051449402215,-0.0400581607341578,-0.0816530456308313,0.0464879264461014,0,0,0,0,0,-0.0988839784861387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11338099548703,0,0,0,0,0,0,0,0,0,0.18521894933779
X5.HK.EQUITY,0,-0.0759153337157022,0,0.320012630913177,0,0.0144617874675933,0,-0.287200173436462,0,0,0,0,0.120966474690403,0,0,0,0,0,0,0,0.54187770247828,0,0,0,0,0.320979824724,0,0,0,0,0,0,0,0.01908971079437,0,0,0,0,0,0,0,0,0,0,0,0,0.217030589500684,0,0,-0.101371785132865
X601988.CH.EQUITY,0.181086133941619,0,0.245201871022477,0.0437898216742448,0,0,0,0,0.0945221090062579,0,0.134097384066366,0,0,-0.218111486467197,0,0,0,0,0,0,0,0,0.0663660113237691,0.191348991603588,0,0,0,0.0409560648478127,0,-0.0579448289785827,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.113570731523793,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.111486694149478,-0.0533469166060781,0,0.260211010045148,0,-0.0428308250339616,0.0110362174300492,0,0.350665998865589,0,0.249426376368035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774714657260169,0,0,0,0,0.0851919746760339,0,0,0.130922454209256,0,0.0388614175880731,0,0,0,0,0,0,0,0,2.73595043179345e-05
X1299.HK.EQUITY,0,0,0,0,0,0,0.0395892334583078,0,0,0,0.136116440328711,0,0,0,-0.134062552509545,0,0,0,0.313482005605532,0,0.231584763881363,0,0,0,0,0,0,0.151457217119053,0,0.0240606689702243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561492099941902,0,0,0
X601628.CH.EQUITY,0.213683446168744,0.204876928890459,0,0,0,0,0,0,0,0.0260867576617244,0.114759953258449,0,0,0,0,0,0,0.0211347163566513,0,0,-0.0230651731498011,0,0,0,0,0,0,0.0477231897684576,0,-0.061146366249279,0,0,0,0,0,0,-0.321097496002602,0,0,0,0.0405190513787715,0,0.228637776559553,0,0,-0.136309418991451,0.0583661586114827,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440353528626862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
