,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0.370158057908432,0,0,0.099511135830374,0,0.319697623388263,0,0,0.0923708611563534,0,0,0,0,0,0.0891879572984253,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0162670144012649,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.00696769672332557,0,0,0
X601939.CH.EQUITY,0.423646691984734,0,0,0.0418010626902188,0,1.73472347597681e-18,0,-0.115321702288915,0,0.0455235797473948,0,0,0.431135482731492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504289525505816,0,0,0,0,0,0,0,0.0482715255757307,0,0,0,0,0,0,0,0,0,0,0.0271131566210724,0,0,0.0390076887589924
X601318.CH.EQUITY,0,0,0,0,0,0,0.0700711493039319,0,0.0685534333369469,0,0,0.257847688203667,0,0,0,0,0,0,0,0,0,0,0,0,0.0963693411508488,0.00367078500395232,0,0,0,0,0,0,0,0,0,0,0.0474319933330758,0,0.0793206671332221,0.183090686391507,0,0,0,0,0,0.124980816940948,0,0,0,0
X601288.CH.EQUITY,0.414996573940913,0,0,0,0.399348064123817,0,0,0,0,0,0.0651470517190922,0,0,0,0,0.0696641114071451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340428647136962,0,0,0,0,0,-0.0144880117429252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.280745322778582,0,0,0,0,0,0.00352957450543171,0,0,0,0.0064662999964163,0,0,0,0.137518849776188,0,0.135398406469539,0,0,0,0,0,0,0,0,0,0,0.0682764887413428,0,0.00946251088139658,0,0,0,0.0419649656107569,0,0,0,0,0,0,0,0.172245472256971,0,0.139438442169603,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0897659994727798,0,0,0,0.0448715792599938,0,0,0,0,0,0,0.479814915923454,0,0.0214339689529807,0,0,0.457737404365275,-0.400194627686944,0,0,0,0,0,0,0,0,0.0418684448057099,0,0,0,0,0,0.337670375804168,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0286161970884589,0,0,0.0498615264469764,0,0,0,0,0,0.327444915344159,0,0,0,0,0,0,0,0,0,0,0.0249804758592352,0,0,0,0,0.0919991419142122,0.00154400285886917,0,0,0,0,0.133287053993959,0,0,0,0,0,0,0.0719549359809768,0,0,0,0,0,0,0,0,0.27147264515909
X1299.HK.EQUITY,0,0,0,0,0,0,0.0180221818866678,0,0.0174231172404612,0,0,-1.38777878078145e-17,0,0,0,0.330891866826522,0.00697209223681376,0,0,0,0.0970843129669972,0,0.0641582721125454,0,0,0,0.186835769222017,0,0,0,0,0,0,0,0,0,0.168023727678717,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0
X601628.CH.EQUITY,0.0584987113190277,0,0,0,0,0,0,0,0,0,0,0.0781048637786212,0,0,0,0,0,0.211748817359462,0,0,0,0,0,0.176533735513814,0,0,0,0,0,0,0.0337135931930007,0,0,0,0.0557575783420634,0,0,0,0,0.176021428612968,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.276499046530532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0,0,0.719177601481187,0,0,0,0,0,0,0,0,0.0405939491370187,0,-0.356468971690823,0,0,0,0,0.224947563180426,0,0,0
X601328.CH.EQUITY,0,0,0,0.27489959768898,0,0,0,0,0,-0.022510958273737,0,0,0.222810393187206,0,0,0,0,0,0,0.32094100521592,0,0,0,0,0,0,0,0,0,0.0391995663849435,0,0,0,0,0.0889428732891622,0,0,0.0635981156924419,0,0,0,0.0484763261875372,0,0,0,0,0.00376424294568529,0,0,0
X601166.CH.EQUITY,0,0.0912904290943932,0,0.0161841393881416,0,0,0.16221088633563,0,0,0,0,0,0.0374798149427579,0,0,0,0,0.0250699256503948,0,0,0,0,0,0,0,0,0,0,0,0.315605203563691,0,0,0,0,0,0,0,0,0.0690555118301357,0,0,0,0,0,0,0.232101738729668,0,0,0,0.0834806029666996
X600000.CH.EQUITY,0,0,0,0.0185401724796548,0,0,0,0,0,0,0.323586024944915,0,0,0,0,0,0,0,0,0.224254904291052,0,0,0,0.151298156022119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1391719609475,0,0,0,0.111981988775673,0,6.93889390390723e-18,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.0403155788831703,0,0,0,0,0.00195300982631153,0,0,0,0,0,0,0,0,0,0,0,0,-0.0975719536407036,0,0,0,0.0783278899374561,0,0.532463472205927,0,0,0,0,0,0,0.147888249311068,0.143792444750324,0,0,0,0,0,0,0,0,0,0,0,0,0
