,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.142915015433412,0.145968793875489,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0373341848833812,0,0,0,0,0,-0.00719095694973309,0,-0.129731431459107,0,0,0.00949116301705145,-0.203334779071806,0,0.0569388356058419,0,0,0.63424672490581,0,-0.0426251160076179,0.0552519455438132,0,0,0,0,-1.35525271560688e-20,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.204716409491864,0,0.171186197224568,0.0182261186767506,0,0,0,0,0,0,0,0,0,0.0808455809667181,0,0,0,0,0.123294774564538,0,0,0,0.000944437807067786,0.0595654625168881,0.038061747894778,0,0,0,0,0,0.254314086594115,0,0,0,0,0,0.0785698970976649,0.0227614596097195,0.0383989977044696,0,0,-0.0670138806264548,0
X601939.CH.EQUITY,0.268059205250511,0,0,0,0,0,0,0,0,0.22082629868102,0,0,0,0,0,0,0,0.21406999734454,0,0,0,0.0451540137328559,0,0,0,0,0,0,0.00681684723017885,0.0999256885165064,0,0,0,-0.305832279009336,-0.240828573148759,0,0,8.67361737988404e-19,0.0618817763588722,0.512911309030864,0,0,0,0.0143201141201075,0,0.0835801909520592,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.308260386478035,0.244143102515569,0,0.66920236214764,0,0,0,0.270305338813404,0.0639631170507148,-0.240765714589022,0,0,0,0,0,-0.173308555279609,0,0,0,0,0,0,0,0,0,-0.696994671407803,0,0,0,0,0,0,-0.174595824007309,0,0.298052085795634,0,0,0,0,0,0.25041070411221,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458045915084809,0,0,0.490062899501655,0,0,0.0561983858787271,0.0649323629381014,0,0,0,0,0,-0.0388439171790642,-0.0422070004430738,-0.232717026517927,0,0,0,0,0,0,0,0,0,-0.153391850005201,0,0.110133370291784,0,0,0,0,0,-0.105098922213831
X601988.CH.EQUITY,-0.251429072085807,0,0,-0.0256183940337103,0.462675910491646,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0982539538629233,0,0.666390431033464,0,0.0369363495313189,0,0,-0.508904135769304,0,0,0,0,0,0,0,0,0,0,0.122049769353416,0,0,0,0,0.108470681398877,0,0,0
X600036.CH.EQUITY,0,0.40351262018641,-0.0530225779210595,0,-0.0384759906659478,0,0,0,-0.167136265504752,0.153995120605224,0,0.493020399392327,0,0,0,0,0,0,0,-0.128981251379052,0,0,0.265192402001408,0,-0.00944471964273092,0,0,0.0587222128209486,0,0,0.15618452922796,0,0,0,0,0,0,0,0,0,0,0,0.0864652150796423,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0517750131051013,0,0,0.190674617250845,0.0139877326055232,0,0,0,0,0,-0.0208332595582315,0,0.0237117173372995,0.124962341863147,0,0,0,0.00723172017610529,3.46944695195361e-18,0,0,0,0,0,0.205140912182992,0,0,0,0.0364901763328886,0,0.0537297503967433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0542976893631963,0.0234771338571953,0.0664734402674977,0,0,0,0,0,0,0.0291825607790094,0,0,0.325848873954695,0,0,0,0,0,0.0652203298410122,0,0,0,0,0.0468397849680369,0,0,0,0,0.0198238345459764,-0.0514105633565451,0,0,0,0,0.166645235772026,0.144531059428365,0,0,0,0,0,0,0,0,0.045535986055291,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.602645043331188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266432119695995,0,0,0.0689739177518565,0,0,0,0,0,0,0,0,0,0,0,-0.0486627483412103,-0.0583445779252929,0,0,0,0,0,0.0487751484514664,0,-0.00401784495614426,0,0
X601166.CH.EQUITY,0,0,0,0.231073787996919,0,0,0,0,0,0,0,0,0,0.631833218311672,0,0,0,0,-0.110399762082712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162499285178978,0,0,0,-0.0348909944257921,0,0,0,0,0
X600000.CH.EQUITY,0.04160536147885,0,0,0,0,0,0.506006796759634,0,0,0.0534882811957104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269654832920236,0,0,0.139111072208365,0,0.0279830548286681,0,0,0,0,-0.147987392083922,0,0,0,0,0,0,-0.319147356564286,0,0,0,0,0,0
X601319.CH.EQUITY,0,0.0851117640070808,0,-1.73472347597681e-18,0,0,0,0,0,-0.069407521484342,0,0,0,0.350228482878503,0,0,0,0,0,0.0394246854021016,0,0,0,0,0,0,0,0,0,0,-0.0164433689363721,-0.107526269483592,0,0,0,0,0.309962723188028,0,0,0,0,0.195062710545217,-0.0779136780268485,0,0,0,0,0,0
