,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY
X601398.CH.EQUITY,0,0.0440134387371662,0,0,0,0.216407497410774,0.065287098893798,0,0,-0.068580700960756,0,0,0,0,0,0,0,0,0,0,0,0,0.143876547092841,0.743753570965303,0.142812869606497,0,0,0,0,-0.116629668604566,0,0,0,0.031284751858561,-0.171309104041496,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.522501773887605,0
X601318.CH.EQUITY,0,0,0,0,0.0789637464058978,0.0168105016170553,0.0606594659176853,0,0,0,0,0,0,0,0,0,0,0,0,0.299743396995598,0,0,0,0,0,0,0,0,0,0,0.150521051936486,0,0,0,0,0,0,0,0,0.317517062115042,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0
X601939.CH.EQUITY,0,0,0,0.8890061698867,0,0,0,0.0743079366969363,0.0590098682444164,0,0,0,0,0,0,0,0,0,0.0150108819907301,0,0,0,0,0.0429097022842915,0,0,0,0,-0.0813224673618868,0,0.049488220149308,0,0,0,0,0,0,-0.0965964704859532,0,0,0,0.0708150956301022,0,-0.049476762460451,0,0,0.0493008896216894,0,0,0
X601288.CH.EQUITY,0,0,0.822599950077052,0,0,-0.0817738641039667,0,0,0,0,0,-0.0399122746097399,0,0.192464225425321,0,0,0.0260164245804718,0.138729348151291,-0.0480652847065415,0,0,0,0,0,-0.0185570209508177,0,0.00583897056824703,0,0.0258542187542984,0,0,0,0,-0.01486470098446,0,0,-0.0931843326122251,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.653097503098361,0,0.296348816889859,0,0,0.112440478486103,0,0,0,0,0.0103296143693974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834922341834334,0,0,0,0,0,0,0,0.0495981313747036,0,0,0,0,0
X601628.CH.EQUITY,0,0.267388782135387,0.0245891235572557,0,0,0,0.245565002445166,-3.46944695195361e-18,0,-0.138311602142022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299352633374097,0.0331875284066268,0.0651193894777862,0,0.0776624112897109,0.0800256606957884,-0.0552893128971724,0,0,0,0,0.139936672149125,0.0280242355519319
X600036.CH.EQUITY,0,0,0.438292624498256,0.00585410501672878,0.0163789228253143,0,0,0.148522672825958,0.0507514786470955,-0.0629530411333041,0,0,0,0,0.0456683826014118,0,0,0,0,0.0331662310132662,0,0,0,0,0,0,0,0,0,-0.00760585908423049,0,0,-0.0428182846887422,0.29408656884611,0,0,0,0,0,0,0,-0.0868103588681672,0,0,0.0627631972843264,0,0,0.0626361647202483,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.201656086352982,0,0,0,0,0,0,0,0,0,0,0.0288834485033499,0,0,0,0,0.173048555574882,0,-0.0699731575467074,0,0.0116001113879357,0,0,0.129710651109293,0,0,0,0,0,0,0,0,0,0,0,0,0.143507152532653,0.146277801082988,0,0,0,0,0.469248849016949,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346970377990033,0,0,0.0269710779389506,0,0,0,0,0,0.823285684562719,-0.604403617365133,0,0,0,0.623124669367496,0,0,0,0,0,0.205315073333763,0,0,-0.150371767276605,0,0,0,0.100120455747649,0.22424413712587,0,0,0.0167706081762889,0,0
X388.HK.EQUITY,0,0.236735709818488,0,0,0.0472794779686538,0,0,0,0,0,0,0,0,0,0.00323689543075834,0,0,0,-0.278538117316055,0,0,0.232832641114016,0.502085304782265,0,0,0,0.0166498150221513,-0.0776646529416992,0,0,0,0,0,0.149230359030357,0,0,0.0605093629018927,0.268149816332826,0,0,0,0,-0.347426657137331,-0.0494648673111243,-0.0414276869172214,0,0,0,0,0
