,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X000001.CH.EQUITY,X601628.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2880.TT.EQUITY,X2888.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601398.CH.EQUITY,0,0.055804723772304,0.417970126882853,0.274376578129372,0,0,0,0,0,0,0,0,0.0625886765134179,0,0,0,0,0,0,-0.0944645291500774,0,0,0,0.22511543425349,0,0,0.0751533493445503,0,0,0,0,0,0,0,-0.149985777014275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242924432192979,0
X601939.CH.EQUITY,0.0727713955125135,0,0,0.080475962187544,-0.0530677236913578,0.046978226173146,0.0701934239154983,0,0,0,0,0,0,0.218387270296912,0.248249812806867,0,0,0,0,0,0.120454770696108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354427488532331,0.135610971340345,0,0,0,0,0,0.0648400047920153,0,0,0,0,0,0,0,0,0,0,0.0776013091812902,0,6.93889390390723e-18,0,0.0391239804861199,0,-1.73472347597681e-18,0,0.176837411892535,0,0,0,0,0,0,0,0,0,0,0,0,0.0649757188761807,0,0,0,0,0,0,0,0,0,0.0721903601893614
X601988.CH.EQUITY,0.0375131374249492,0,0.471386084407072,0,0.110564669101043,0.138814192100636,0,0,0,0.120818981152244,0,0,0,0,0,0,0,0,0,0,0.153870681665902,0,0,0,0,0,0,0.1578980206551,0.0725361856798385,0,0,0,0,-0.10176459181195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.553815416483049,0,0,0,0,0,0,0,0,0.00127991578878831,0,0,0,0,0,0,0,-0.065537885992869,0,0.67892987690184,0,0,0,-0.0654309881519332,0.326284520590375,-8.67361737988404e-19,0,0,0,0,0,0.0796687621423447,0,0,0.00725235577011638,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.123236487545899,0,0,0,0.0789248712218887,0.288996359853632,0,0,0,0,0.0361226386016475,0.0223544540624901,0,0,0,0,0,0,0,0,0.205067215719665,0,0,0,0.00450358208247675,0,0,-0.0137799488664146,0,0,0,0,0.0215541272357396,-0.0148919068412464,0,0,0.104196626840328,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.133897180273657,0,0.0963849441047275,0,0,0,0,0,0,0,0,0.0815442073996327,0,0.182397647160188,0,0,0,0.364228687706923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041999979103751,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0897380341204168,0,0,0,0,0,0,0,0.140145610346512,0.118965286357796,0.0820565498348007,0.144212938600324,0,0,0,0,0,0.0136850232739752,0,0.0650061522502864,0.0945087129770728,0,0,0,0,0,0,0.0649163352504166,0,0,0.0700678691177767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.446510666925273,0,0,0,0,0,0.0119066397878003,0,0.285973335097879,0,0,0,0,0,0,0.137488311574582,0,-0.0829547327548346,0,0,0,0,0,0,0.131956206280395,0,0,0,0,0.040117316578393,0,0,0,0,0,0,0.188872108945014,0,0,3.46944695195361e-18,0,0,0,0,0.0909312052664386,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0237808194831117,0,0.0365945890843301,0.071457459489378,0,0,0,0.240396970214226,0,0,0,0,0.0961229185077499,0,0,0,0,0,0,0,0,0,0,0,0.319576998811866,0,-0.134926614496998,0,0,0,0,0,0,0,-0.135680814079752,0,0.227218161059681,0,0,0,0,0,0,0,0,0.0618071264018118,0
