,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY
X601398.CH.EQUITY,0,0,0.0306634449004024,0,0,0.200285197803681,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.0900112924377686,0,0,0.312535893372246,0,0,0,0,0,0,0,0,0,0,0,-0.0201421353975163,0,6.93889390390723e-18,0,0,0.202411379251417,0,0.116454644593039,0,0,0,0,-0.104807742785536,0,0,-0.0633733154154322
X601318.CH.EQUITY,0,0,0,0,0,0,0.129475871483119,0,0,0,0.0186851214283644,0,0,0.220741519701812,0.0155554755026707,0.0282854734551829,0,0,0,0,0,0,0.0547653550847055,0,0,0,0,0,0.044632863368337,0,0,0,0,0,0,0.00537690692108849,0,0,0,0.518079391221977,-0.0687658704841843,0,0,0,0,0.0873597855024771,0,0,0
X601939.CH.EQUITY,0.207456393260628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.431086864739626,0,0,0.0118217443609258,0,0,0,0,0.112220445927531,0,-0.0456273738486922,0,0,0.0485585463942179
X601288.CH.EQUITY,0.0410304744233384,0,0,0,0,0.0645537117037403,0,0,0.0637179506867274,0,0,0,0.115347415942574,0,0,0,0,0,0,0,0.0672726152812985,0.32353557076331,0,0,0,0,0.142211296268575,0,0,0,0,0,-0.0548854942777744,0,0,0,0,0.0712846324327627,0,0.077342609129735,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0270553972014947,-0.25213908714929,0,0.193087185030343,0,0,0,0.134701958254621,0,0.109426922950484,0,0,0,0,0,0.338571186825893,0,0.195735802351547,0,0.224409661763988,0,0,-0.241321008787772,0.402341734953228,0,-0.0178807475682381,0,0,-0.24468878071607,0,0,0,-0.0668019851289431,0,0,0,0,0,0,0,0,0.160595446911463,0,0.138158231541239,-0.101421528218255,-0.00751183439725222,0,-0.132793323443168,0
X601988.CH.EQUITY,0.231219805116994,0,0,0.387201870447026,0,0,0,0,0,0.110731521147725,0,-0.085135150165271,0,0,0,0,0,0,0,0,0,0.289485813230814,-0.0733830826481161,0,0,0,0,0.106795535351112,0,0,0,-0.0477809175287148,0,0,0,0.0354457634844065,0,0,0,0.030284340377979,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.650273444543826,0.0376802403581543,0,0,0,0,0,-0.178414194828608,0,0,0,-0.0156350717890659,0,0,0,0,0,0.145473166519932,0,-4.33680868994202e-19,0,0,0,0,0.0398145469722091,0,0,0.030277633060379,0,0,0,0,0,0,0,0,0,0,0,0,0.247327356269617,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0247521907510448,-8.67361737988404e-19,0,0,0,0,0,0,-0.102405238827121,0,0,0,-0.0820279862871071,0,0,0,0.316024772136549,0.111079874867801,0,0.221566158294843,-0.10879419106593,0.164411223788206,0,0,0.189985627047767,0,-0.0393367730031643,0,0,0,0,0,0,0,0.0310288210461869,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.073179282515932,0,0.0648124515760345,0,0,0,0,0,0.158579518753111,0,0,0.0339290746143463,0,0.297284536829836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169861618221215,0,0.0819514311116472,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.294547621394376,0,0,0,0,0,0,0,0,0.456456570223308,0,0,0,0,0,0,0,0,0,0,0,0,0.130167719650744,0,0,0,0,-0.115067418958115,0.198990033520647,0,0.381677386159346,0,0,0,0,0,-0.0594044796052105,0,-0.0860921235974283,0,0,0,-0.0719454084146186,0
X601328.CH.EQUITY,0,0.00552378127213817,0.0353754702949893,0.245098756547013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171810838509159,0.105292556733346,0,0.162904043325744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.125342678256849,0.0431229669514637,0,0.0517635930314909,0,0,0.236247704481344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265521851000016,0,0,0,0,0,0,0,0,0,0.017487252597781,0,0,0.12680107166447,0,-0.0651215466931595,0.0292735822000164,0,0,0,0,0,0,0.0757193005488493
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.411294482905322,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.195469165793623,0,0,0,0,0,0.0262877697176889,0,0,0,0,0.052383225237998,0,0.0300729332520151,0,0,0,0,0,-0.039647091719796,0,0,0.0268524864672456,0,0,0.279250019996206,0.15366800272324,0,0,0
X000001.CH.EQUITY,0,0.176991041576853,0,0,0,0,0,0,0,0.106247628251334,0,0,0.0119530793840649,0,0.0121991308724265,0,0,0,0,0,0.0773733982084282,0,0,0,0,-0.209414819783985,0,0,0,0.0467261702018486,0,0,0.16308198277525,0,0,0.139185266272047,0,0,0.311664327497476,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,-0.126326055713583,0.100618677393501,-0.0365076142031907,0.408589341030825,0,0,0,0,0.224607623829898,0,0.244091822222384,0,0,0,0,0,0,0,0,0,0.101790063886255,0.113243606744668,0,-1.73472347597681e-18,0,0,0,0,-0.089993329061816,0,0,0,0,0,0,0,-0.268097561726646,0,0,0,0,0,0,0
