,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,-0.0187299529456751,0.795297725047232,0,0.0365749615630416,0,0,0,0,0,0,0,0,0,0.0407703942850442,0,0.113388845084673,0,0,-0.0102909805893254,0,0,0,0,0,0,0,0,0,0,0,0.146504919043282,0,0,0.0141869396301681,0,0.0504597004027152,0,0,0.00506196122391514,0,0.0204924358437968,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0202101624792128,-0.0618533173510464,0,0,0,0,0,0.133066984739662,0,0,0,0.264450388265059,0,0,0.0791809168751565,0,0,0,0,0,0,0,0.117074171317909,0,0,0,0,0.252820270065664,0,0.0831365889288863,0,0,0,0,0,0,0,0,0,0,0,0.0767514645929902
X601939.CH.EQUITY,0,0,0,0,0.737113817149961,0,0,0,0,0.039253333718892,0,0.145187335048157,0,-0.0460559766388396,0.027972484936137,0,0,0,0.0280431029644201,0.0519156317292796,0,0,0,0.0212119885537107,0,0,0.0102914072452637,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0899699811975301,0,0,0,0,0,0.0466911168486391,0,0,0,0,0.041215126291873,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.131026031725528,0.165298288873917,0,0,0,0,0,0,0.300785631068468,0,0,0,0,0.18052194089302,0.0934606733186955,0,0,0,0,0,0,0,0,0.118649783165826,0.0182219242088681,0.0715227518606283,0,0,0,0,0,0,0,0,0,0,0,0.13913312157305,0,0,0
X601288.CH.EQUITY,0.17912811952494,0,0.829519790577913,0,0,0,0,-0.0801876734779846,0,0,0,0,0,0,0,0,0.0189450973604754,0,0,0,0.0205416557842394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065055811260067,0,0,0,-0.0206356065232646,0.0214823292833154,-0.168708595975396,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.211329738686615,0.0796343317781334,0,0.155352308029562,0,0,0.0957211108749415,0,0,0,0,0,0,0,0.26415696830864,0,0,0.0864313775632897,0,0,0,0,0,0,0.212830893306376,0,0,0.0588398008480848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.030545667858402,0,0,-0.0578378608997153,1.38777878078145e-17,0.143964086985667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676993310080255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579363844704853,6.93889390390723e-18,-0.0479530504462456,0.908734979421661,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0752137895582756,0,0,0,0,0,0,0,0,0,0,-0.0324951820082032,0.288789107523955,0,0,0,0.137334531482628,0.019655511574727,0,0,-0.130598378547891,0.0693759308012818,0,0,0,0,0,0.113197652668737,0.0395068630704856,0,0,0,-1.73472347597681e-18,0.117484068412962,0.170667555735742,-0.06685705544096,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.25188918465842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637560373681447,0.36540811824509,0.0234429679527899,0.112893117405128,0,0,0,0,-0.0650910816020139,0,0,0.0846808446909335,0,0,0,0,0.147021994190801,0.323232743690216,0,0,0,0,0,0
X388.HK.EQUITY,0,0.117057376040834,0,0.163523645323178,0,0,0,0.0310298535749803,0,0,0,0,0,0,0,0,0,0,0,0,0.125415258357611,0.233569604936717,0.0283955486241494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118580989760259,0.287587778668801,0,-0.309150054933087,0,0,0.0212143155920424,0,0,0.156107834464877,0,0,0
X600030.CH.EQUITY,0,0,0,0.0212529569546775,0,0,0,0,0,0,0,0,0,0.418097048670479,0,0,0.0073253439799861,0,0,0.12833799083166,-0.00104846713848721,0,0,0,0,0,0,0,0,0,0,0,0.249002313626496,0.0101829194690598,0,0,0,0,0.197663485203994,0,0,-0.0178422004906784,0,0.0384993977648649,0,0,-0.0877245179389076,0.111683823215106,0,0
X601658.CH.Equity,0.115976253962487,0.0371742968711637,0.3285033962007,0,0.0111797460046057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190695292194658,0,0,0.181060672690367,0,0,0,0,0.0465601423373722,0,0,0.0108144545067599,0,0,-0.0387364784418432,0,0,0.074244557136803,0,0,0,0.0591347042189966
X601166.CH.EQUITY,0,0,0.00780211406853227,0,0.0448654227120219,0,0.0937966666953966,0,0,0,0,0,0,0,0,0.0617929348563769,0,0,0,0,0,0.0791393218225533,0,0.0547507128012658,0.357631328784603,0,0,0,0,0,0,0.0338991309079157,0,0,0,0,0,0,0,0,0,0,0,0,0.0212919262368597,0,0,0,0.261788040687848,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.669385258135958,0,0,0,0.0565372337952202,0,0,-0.0138738267109322,0,-0.075699890221193,0,0.0312912392616306,0,0,0,0,0,0,-0.00245254141529545,0,0,0,0,0,0,0,-0.0197330829370014,0,0.198339352384785,0,0,0,0,0,0,0,0,0,0,-0.0104680346152146
X000002.CH.EQUITY,0,0,0,-0.260218742812727,0.15690210768854,0,0,0,0.35519667248312,0,0,0,0.17115828358004,0.407153136560255,0,0,0,0,0,0,0.0644604868055976,0,0,0,0,-0.00870098879468395,0,-0.0154293632685741,0,-0.0887168027523984,0.074427808193357,0,0,-0.0267848947470756,0,0,0,0,0,0,0,0,0,0.0217369156068455,0,0,0,0,0.000595986743607108,0
X000001.CH.EQUITY,0,0,0,0,0,0.516204481473809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134010914799175,0,0,0,0,0.213888366621622,0,0.117495578075121,0,0.0739659377988069,-0.242734461599699,0.188231238801581,0,0,0,0,0,0,0.0275320518897172,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.324217708050739,0,0.0105393150892823,0,0,0,0,0,0,0,0,0.00436445291040982,0,0,0,0,0,0,0.108875447914165,0,0,0,0,0,0.00733015278898548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473972488524101,0,0,0,0,0,0.161561419946041,0,0,0,0,0
