,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY,X2885.TT.EQUITY
X601398.CH.EQUITY,0,0.355354689296163,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0530571071562277,0,0,0.0592325470700733,0.0962057832589176,0,0,0,0,0,0,0,0.0323014765821041,0,0.0804426874784276,0,0,0,0,0,0.0276654287969644,0,0,0,0,0,0,0,0,0,0,0,0.00683139628914222,0,0,0,0,0,0
X601939.CH.EQUITY,0.150293281232708,0,0.209966967500168,0,0,0.0952848883199962,0,0,0,0,1.38777878078145e-17,0.118435385930502,0,0,0,0,0,0,0.188665277533779,0.158434103198064,0,0,0,0,0,0,0.0544629920543489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312923526731632,0,0,-0.00301405572629061,-0.0178719869025185,8.67361737988404e-19,0
X601288.CH.EQUITY,0.802968395668353,0,0,0.110847812704004,0,0,0,0,0,0,0.0812474994598925,0,-0.0326667922990202,0,0,-0.210328642370175,0,0,0,0,0,0,0,0.0699465369488119,0,-0.117568500073072,0,0,0,0.0216160669309988,0,0,0,0,0,0,0,0,0,0,-0.0995803317221973,0,0,0,0,0,0.183231013998531,0,0,0
X601988.CH.EQUITY,0,0,0.376512179588731,0,0,0,0.108679543054161,0,0,-0.0383844324274236,0.0887160293144552,0,0,0,0,0,0,0,0,0,0,0,-0.0435414003570398,0,-0.134976898279161,0,0,0,0.151675681773611,0,0,0,0,0.283660936382638,0,0,0,0,0,0,0,0,0,0,-0.015872187871753,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.268846517528836,0,0,-0.0684059746742025,0,0,0,0,-0.059583365302058,0,0,0,0,0,0.115746056961927,0.174323637155862,0,0,0.0819109845438497,0,0,0,0,0.143572897793489,0,0,0,-0.0323609169340304,0,0.0745300577580693,0,0,0,-0.0223712733229819,0,0,0,-0.225340942065396,0,0,0,0,0,0,0
X601658.CH.Equity,0.159187502278094,0,0,0,0.0607174003055128,0,0,-0.0367246546970872,0,0.210646875603571,0,0,0,0,0,0.0197794112547757,0,0,0,0,0,0.0362379030860041,-0.0524369355561033,0.0482107912570494,0,0,0,0.249104786929821,0,0,0,0,0,0,0.0189507861677658,0,0,0,0,0,0,0,0,0,-0.0699479716931915,0,0,0,0.318567561010691,0
X601328.CH.EQUITY,0,0,0.0570357564739894,0.279769263396373,0,0,0,0,0,0,0,0.215853844653591,0,0,0,0.0511901837784735,0,0,0,0,0,0.204935222086112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00907493719067656,0,0,0,0,0,0,0,0,0.0361762636015747,0,0.0402449068986871,0,0
X601318.CH.EQUITY,0.0997483493832602,0.116498727353823,0.0363229915792227,0,0,0,0,0,0,0,0,0,0,0,-0.0059837729568494,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156597832127625,0.0579685203783237,0,0,0,0,0,0.524792974807631,0,0,0,0,0,0,0,0,0,0,0,0,0.0230694637882756,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.118352117610496,0.00750407948987948,0,0,0,0.15223772678516,0.331804661849637,0,0.035401108368408,0.0820070521914582,0,0,0,0,0,0,0,0.201947212049679,0,0,0,0,0.00841373849328066,0,0.013773176556548,0,0,0,0,0,0,0,0,0,0.0296654352945096,0,0,0.021551523315901,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.0409520229230307,0.229769146992011,0,-0.0912684467793063,0.484513300388659,0,0.0259492835107584,0,0,0,0,0,0,0,0,0,0,0,-0.0215006442076082,0,0,0,0,0,0,-0.0188452554131336,0,0,0.438664164072192,0,0,0,0,0,0,0,-0.21477550358902,0,0,0,-0.0551500372030974,-0.0435100308377522,0,0,0,0
